place,title,time,pay,date
강원 원주시, (주)대연 나이키 원주타운점,10:30~21:30,"월급2,030,000",
충남 천안시, 나이키 갤러리아 센터시티점,10:00~20:00,"월급1,980,000",
경기 이천시, 경기 이천점 나이키,10:00~21:00,"월급2,030,000",
인천 연수구, LF스퀘어(브이플러스) 나이키 연수점,10:30~21:00,"월급1,980,000",
서울 중구, 신세계 명동,09:30~20:00,"월급1,980,000",
대전 전체, 갤러리아타임월드 나이키,09:30~20:30,"월급1,980,000",
인천 부평구, 부평,10:30~22:00,"월급2,030,000",
충남 천안시, 나이키 갤러리아 센터시티점,10:00~20:00,"월급1,980,000",
경기 용인시, 신세계 죽전,09:30~20:30,"월급1,980,000",
인천 부평구, 부평,10:30~22:00,"월급2,030,000",
경기 하남시, 스타필드 신세계 하남 나이키,시간협의,"월급2,050,000",
경기 안성시, (주)대연,시간협의,"시급9,000",
서울 서초구, (주)대연,10:00~20:00,"월급1,980,000",
부산 해운대, 신세계 센텀,10:00~20:00,"월급1,980,000",
경남 진주시, 갤러리아 진주 나이키,10:00~20:30,"월급1,980,000",
대전 유성구, 대전 유성,시간협의,"월급2,030,000",
서울 영등포, 타임스퀘어,10:00~10:00,"월급2,050,000",
대구 동구, 신세계 동대구,10:00~20:30,"월급1,980,000",
충남 천안시, 신세계 아라리오점,09:30~20:30,"월급1,980,000",
경기 안성시, (주)대연,10:00~20:00,"월급2,050,000",
경기 시흥시, 경기 시흥점,10:00~21:00,"월급2,030,000",
대구 동구, 신세계 동대구,10:00~20:30,"월급1,980,000",
서울 서초구, (주)대연,10:00~20:00,"월급1,980,000",
강원 원주시, (주)대연,10:30~21:30,"월급2,030,000",
서울 영등포, (주)대연,09:30~20:00,"월급1,980,000",
서울 영등포, (주)대연,시간협의,"시급9,000",
경기 하남시, 스타필드 하남 나이키,10:00~22:00,"월급2,050,000",
경기 시흥시, 경기 시흥점,10:00~21:00,"월급2,030,000",
경기 시흥시, 경기 시흥점,10:00~21:00,"월급2,030,000",
충남 천안시, 신세계 아라리오점,09:30~20:30,"월급1,980,000",
경기 하남시, 스타필드 하남 나이키,10:00~22:00,"월급2,050,000",
부산 해운대, 신세계 센텀,10:00~20:00,"월급1,980,000",
경남 진주시, 갤러리아 진주 나이키,10:00~20:30,"월급1,980,000",
경기 하남시, 스타필드 신세계 하남 나이키,시간협의,"월급2,050,000",
경기 이천시, 경기 이천점 나이키,10:00~21:00,"월급2,030,000",
충남 천안시, 신세계 아라리오점,09:30~20:30,"월급1,980,000",
대전 전체, 갤러리아타임월드 나이키,09:30~20:30,"월급1,980,000",
인천 부평구, 부평,10:30~22:00,"월급2,030,000",
경기 하남시, 스타필드 하남 나이키,10:00~22:00,"월급2,050,000",
서울 영등포, 타임스퀘어,10:00~10:00,"월급2,050,000",
