place,title,time,pay,date
서울 강남구, 박앤박 혼밥대왕 논현점,시간협의,"시급11,000",
서울 강남구, 박앤박 혼밥대왕 논현점,시간협의,"시급11,000",
서울 강남구, 박앤박 혼밥대왕 논현점,시간협의,"시급11,000",
서울 강남구, 박앤박 혼밥대왕 논현점,시간협의,"시급11,000",
서울 광진구, 박앤박 혼밥대왕 건대점,시간협의,"시급11,000",
서울 광진구, 박앤박 혼밥대왕 건대점,시간협의,"시급11,000",
서울 광진구, 박앤박 혼밥대왕 건대점,시간협의,"시급11,000",
서울 광진구, 박앤박 혼밥대왕 건대점,시간협의,"시급11,000",
충북 증평군, 박앤박 혼밥대왕 증평점,17:00~22:00,"시급8,720",
충북 증평군, 박앤박 혼밥대왕 증평점,17:00~22:00,"시급8,720",
경기 수원시, 박앤박 혼밥대왕 영통점,10:00~14:00,"시급9,000",
경기 수원시, 박앤박 혼밥대왕 영통점,18:00~22:00,"시급9,000",
인천 서구, 박앤박 혼밥대왕 인천검단점,09:30~21:30,"월급2,700,000",
충남 천안시, 박앤박 혼밥대왕 천안청당점,08:00~15:00,"시급9,000",
서울 서초구, 박앤박 혼밥대왕 방배점,10:30~14:30,"시급10,000",
서울 서초구, 박앤박 혼밥대왕 방배점,10:30~14:30,"시급10,000",
경기 김포시, 박앤박 혼밥대왕 김포마산점,10:00~10:00,"월급3,000,000",
경기 안성시, 박앤박 혼밥대왕 경기안성점,11:00~17:00,"시급9,000",
대전 동구, 박앤박 혼밥대왕 대전가양점,19:00~23:00,"시급8,720",
경기 하남시, 박앤박 비돈이제돈이 하남점,22:00~10:00,"월급2,900,000",
경기 안성시, 박앤박 혼밥대왕 경기안성점,시간협의,"월급3,000,000",
경기 안성시, 박앤박 혼밥대왕 경기안성점,11:00~17:00,"시급9,000",
경기 하남시, 박앤박 비돈이제돈이 하남점,22:00~10:00,"월급2,900,000",
경기 하남시, 박앤박 혼밥대왕 하남점,22:00~10:00,"월급2,900,000",
