place,title,time,pay,date
부산 연제구, 생각대로 연산시청점,10:00~03:00,"일급200,000",
부산 연제구, 생각대로 연산시청점,10:00~03:00,"일급200,000",
부산 연제구, 생각대로 연산시청점,10:00~03:00,"일급200,000",
부산 연제구, 생각대로 연산점어벤,10:00~01:00,"일급200,000",
부산 연제구, 생각대로 연산점어벤,10:00~01:00,"일급200,000",
부산 연제구, 생각대로 망미점,10:00~02:00,"일급200,000",
부산 연제구, 생각대로 망미점,10:00~02:00,"일급200,000",
부산 연제구, 생각대로 망미점,10:00~02:00,"일급200,000",
경기 성남시, 생각대로 북위례지점,10:00~01:00,"건별3,800",
경기 성남시, 생각대로 북위례지점,10:00~01:00,"건별3,800",
경기 광주시, 생각대로 이천1지점,시간협의,"월급4,800,000",
경기 여주시, 생각대로 이천1지점,시간협의,"월급4,800,000",
경기 광주시, 생각대로 오포지사,10:30~00:30,"일급210,000",
경기 광주시, 생각대로 오포지사,10:30~00:30,"일급210,000",
경기 광주시, 생각대로 오포지사,10:30~00:30,"일급210,000",
광주 서구, 생각대로 농성지사,시간협의,"월급5,000,000",
경기 안산시, 생각대로 안산선부지사,00:00~24:00,"건별3,200",
경기 안산시, 생각대로 안산선부지사,00:00~24:00,"건별3,200",
경기 안산시, 생각대로 안산선부지사,00:00~24:00,"건별3,200",
경기 안산시, 생각대로 안산고잔지사,00:00~24:00,"건별3,200",
경기 안산시, 생각대로 안산고잔지사,00:00~24:00,"건별3,200",
광주 서구, 생각대로 농성지사,시간협의,"월급5,000,000",
경기 안양시, 생각대로 동안지사,10:00~02:00,"건별3,500",
제주 제주시, 생각대로 06Family,시간협의,"일급200,000",
광주 동구, 생각대로 동구학동점,09:00~24:00,"일급200,000",
광주 동구, 생각대로 동구학동점,09:00~24:00,"일급200,000",
경기 오산시, 생각대로 오산7지사,시간협의,"일급150,000",
경기 오산시, 생각대로 오산7지사,시간협의,"일급150,000",
경기 오산시, 생각대로 오산3지사,시간협의,"일급150,000",
경기 오산시, 생각대로 오산3지사,시간협의,"일급150,000",
경기 오산시, 생각대로 오산3지사,시간협의,"일급150,000",
부산 북구, 생각대로 화명2호점,09:00~03:00,"건별3,000",
부산 북구, 생각대로 화명2호점,09:00~03:00,"건별3,000",
경기 남양주, 생각대로 남양주1지점,10:00~01:00,"일급300,000",
서울 관악구, 생각대로 낙성대 제우스,10:30~02:00,"월급4,000,000",
충남 아산시, 생각대로 신창TFC,시간협의,"일급200,000",
충남 아산시, 생각대로 신창TFC,시간협의,"일급200,000",
서울 관악구, 생각대로 낙성대 제우스,10:30~02:00,"월급4,000,000",
서울 관악구, 생각대로 낙성대 제우스,10:30~02:00,"월급4,000,000",
경기 고양시, 생각대로 탄현점,11:00~01:00,"건별3,300",
