place,title,time,pay,date
서울 중구, 신세계백화점 본점,12:00~20:00,"시급8,800",
경기 용인시, 신세계 경기점,10:30~20:00,"시급8,800",
대구 동구, 신세계 백화점 대구점,11:00~19:00,"시급8,800",
경기 용인시, 신세계 경기점,10:30~18:30,"시급8,800",
경기 성남시, (주)신세계 상품과학연구소,09:00~17:00,"시급9,000",
서울 노원구, (주)신세계 상품과학연구소,09:00~17:00,"시급9,000",
서울 중구, (주)신세계 상품과학연구소,09:00~17:00,"시급9,000",
서울 전체, (주)신세계 상품과학연구소,09:00~17:00,"시급9,000",
대구 동구, 신세계백화점 대구점,10:30~18:30,"시급8,800",
서울 서초구, 신세계백화점 강남점,10:00~18:00,"시급8,800",
부산 해운대, 신세계백화점 센텀시티점,11:00~19:00,"시급8,800",
대전 동구, 신세계 경기점,11:00~21:00,"시급8,800",
경기 용인시, 신세계 경기점,10:30~20:00,"시급8,800",
서울 서초구, 신세계백화점 강남점,10:30~18:30,"시급8,800",
서울 서초구, 신세계백화점 강남점,10:30~18:30,"시급8,800",
서울 영등포, 신세계백화점 타임스퀘어점,10:00~18:00,"시급8,800",
광주 서구, 신세계백화점 광주점,10:00~18:00,"시급8,800",
서울 전체, 신세계백화점 강남점,10:30~18:30,"시급8,800",
경기 하남시, 신세계백화점 하남점,10:30~18:30,"시급8,800",
경남 김해시, 신세계백화점 김해점,11:00~19:00,"시급8,800",
경기 고양시, 신세계백화점 본점,10:00~18:00,"시급8,800",
서울 중구, 신세계백화점 본점,12:00~20:00,"시급8,800",
서울 서초구, 신세계백화점 강남점,10:30~18:30,"시급8,800",
서울 중구, 신세계백화점 본점,09:00~17:00,"시급8,800",
