place,title,time,pay,date
서울 관악구, (주)신세계엘앤비,10:00~15:00,"일급52,500",
서울 동작구, (주)신세계엘앤비,10:00~15:00,"일급52,500",
서울 강남구, (주)신세계엘앤비,14:00~22:00,"일급85,000",
경기 광명시, (주)신세계엘앤비,09:00~17:00,"일급85,000",
경기 여주시, (주)신세계엘앤비,10:00~18:00,"일급85,000",
경기 김포시, (주)신세계엘앤비,13:00~21:00,"일급85,000",
부산 연제구, (주)신세계엘앤비,13:00~21:00,"일급85,000",
경기 고양시, (주)신세계엘앤비,13:00~21:00,"일급85,000",
제주 서귀포, (주)신세계엘앤비,13:00~21:00,"일급85,000",
경기 안양시, (주)신세계엘앤비,13:00~21:00,"일급85,000",
경기 안양시, (주)신세계엘앤비,13:00~21:00,"일급85,000",
서울 송파구, (주)신세계엘앤비,12:00~20:00,"일급85,000",
서울 관악구, (주)신세계엘앤비,12:00~20:00,"일급85,000",
서울 동작구, (주)신세계엘앤비,12:00~20:00,"일급85,000",
경기 구리시, (주)신세계엘앤비,13:00~21:00,"일급85,000",
서울 강동구, (주)신세계엘앤비,13:00~21:00,"일급85,000",
서울 도봉구, (주)신세계엘앤비,13:00~21:00,"일급85,000",
서울 노원구, (주)신세계엘앤비,13:00~21:00,"일급85,000",
서울 영등포, (주)신세계엘앤비,13:00~21:00,"일급85,000",
경기 과천시, (주)신세계엘앤비,12:00~20:00,"일급85,000",
서울 서대문, (주)신세계엘앤비,13:00~21:00,"일급85,000",
서울 마포구, (주)신세계엘앤비,13:00~21:00,"일급85,000",
경기 용인시, (주)신세계엘앤비,13:00~21:00,"일급85,000",
경기 용인시, (주)신세계엘앤비,13:00~21:00,"일급85,000",
경기 수원시, (주)신세계엘앤비,13:00~21:00,"일급85,000",
세종 가람동, (주)신세계엘앤비,12:00~20:00,"일급85,000",
경기 성남시, (주)신세계엘앤비,13:00~21:00,"일급85,000",
광주 남구, (주)신세계엘앤비,13:00~21:00,"일급85,000",
경기 남양주, (주)신세계엘앤비,13:00~21:00,"일급85,000",
서울 성북구, (주)신세계엘앤비,13:00~21:00,"일급85,000",
서울 강북구, (주)신세계엘앤비,13:00~21:00,"일급85,000",
경기 평택시, (주)신세계엘앤비,12:00~20:00,"일급85,000",
대전 동구, (주)신세계엘앤비,시간협의,"일급85,000",
대전 유성구, (주)신세계엘앤비,시간협의,"일급85,000",
대전 서구, (주)신세계엘앤비,시간협의,"일급85,000",
인천 미추홀, (주)신세계엘앤비,13:00~21:00,"일급85,000",
경기 안산시, (주)신세계엘앤비,12:00~20:00,"일급85,000",
경기 안산시, (주)신세계엘앤비,12:00~20:00,"일급85,000",
경기 의왕시, (주)신세계엘앤비,12:00~20:00,"일급85,000",
경기 안양시, (주)신세계엘앤비,12:00~20:00,"일급85,000",
