place,title,time,pay,date
서울 전체, 에이비씨마트코리아 ST 왕십리비트플렉,10:00~22:00,"월급2,345,680",
경기 시흥시, 에이비씨마트코리아 ST 시흥신세계아울,09:30~21:00,"월급2,345,680",
제주 전체, 에이비씨마트코리아 ST 서귀포중앙점,10:00~22:00,"월급2,345,680",
제주 제주시, 에이비씨마트코리아 ST 제주칠성점,10:00~22:00,"월급2,345,680",
인천 연수구, 에이비씨마트코리아 ST 송도현대아울렛,09:30~21:00,"월급2,345,680",
인천 연수구, 에이비씨마트코리아 ST 송도현대아울렛,09:30~21:00,"월급2,345,680",
인천 연수구, 에이비씨마트코리아 ST 송도현대아울렛,09:30~21:00,"월급2,345,680",
경북 영주시, 에이비씨마트코리아 ST 영주명동점,10:00~21:00,"월급2,345,680",
울산 남구, 에이비씨마트코리아 ST 울산무거점,10:00~21:00,"월급2,345,680",
울산 전체, 에이비씨마트코리아 ST 울산무거점,10:00~21:00,"월급2,345,680",
서울 송파구, 에이비씨마트코리아 ST 가든파이브현대,10:00~20:30,"월급2,345,680",
서울 송파구, 에이비씨마트코리아 ST 가든파이브현대,10:00~20:30,"월급2,345,680",
경기 광명시, 에이비씨마트코리아 ST 광명점,12:00~21:00,"시급8,720",
인천 연수구, 에이비씨마트코리아 MS 인천스퀘어원점,10:00~22:00,"월급2,345,600",
인천 연수구, 에이비씨마트코리아 MS 인천스퀘어원점,10:00~22:00,"월급2,345,600",
경북 포항시, 에이비씨마트코리아 ST 포항이마트점,10:00~22:00,"월급2,345,680",
대구 달서구, 에이비씨마트코리아 ST 성서홈플러스점,10:00~22:00,"월급2,345,680",
경남 통영시, 에이비씨마트코리아 ST 통영무전점,10:00~21:00,"월급2,345,680",
경기 시흥시, 에이비씨마트코리아 ST 시흥신세계아울,09:30~21:00,"월급2,345,680",
서울 동대문, 에이비씨마트코리아 ST 청량리롯데마트,10:00~22:00,"월급2,345,680",
충남 당진시, 에이비씨마트코리아 ST 당진읍내점,12:30~21:30,"월급1,456,240",
경기 용인시, 에이비씨마트코리아 MS 기흥롯데아울렛,10:00~21:00,"월급2,345,680",
전북 군산시, 에이비씨마트코리아 ST 군산롯데아울렛,10:30~21:00,"월급2,345,680",
경기 수원시, 에이비씨마트코리아 MS 수원롯데몰점,10:00~22:00,"월급2,345,680",
광주 서구, 에이비씨마트코리아 ST 광주세정아울렛,10:00~21:00,"월급2,345,680",
서울 광진구, 에이비씨마트코리아 GS 건대스타시티점,13:00~22:00,"월급1,098,720",
서울 광진구, 에이비씨마트코리아 GS 건대스타시티점,10:00~22:00,"월급1,822,480",
부산 전체, 에이비씨마트코리아 ST 사상롯데마트점,13:00~19:30,"월급1,456,240",
서울 전체, 에이비씨마트코리아 SP 성신여대점,10:00~22:00,"월급2,345,680",
전남 여수시, 에이비씨마트코리아 ST 여수이마트점,13:00~22:00,"월급1,456,240",
경기 수원시, 에이비씨마트코리아 MS 광교롯데아울렛,10:30~21:00,"월급2,345,680",
부산 전체, 에이비씨마트코리아 ST 명지스타필드시,시간협의,"월급2,345,680",
전남 목포시, 에이비씨마트코리아 ST 목포하당점,11:00~21:30,"월급2,345,680",
서울 중구, 에이비씨마트코리아 GS 명동중앙점,10:30~22:00,"월급2,345,680",
서울 중구, 에이비씨마트코리아 GS 명동중앙점,10:30~22:00,"월급2,345,680",
서울 중구, 에이비씨마트코리아 GS 명동중앙점,10:30~22:00,"월급2,345,680",
경기 화성시, 에이비씨마트코리아 ST 화성봉담점,10:00~21:00,"월급2,345,680",
경기 오산시, 에이비씨마트코리아 ST 오산모다아울렛,10:00~20:30,"월급2,345,680",
경기 수원시, 에이비씨마트코리아 MS 광교롯데아울렛,10:30~21:00,"월급2,345,680",
경기 여주시, 에이비씨마트코리아 ST 여주375점,11:30~20:30,"월급1,456,240",
