place,title,time,pay,date
경기 성남시, 디플러스 위례지사,시간협의,"일급200,000",
경기 하남시, 디플러스 미사지사,시간협의,"월급5,000,000",
서울 전체, 디플러스 방이지사,시간협의,"일급200,000",
경기 하남시, 디플러스 미사지사,시간협의,"월급5,000,000",
인천 미추홀, 디플러스 미르본사,시간협의,"건별3,500",
서울 강동구, 디플러스 암사지사,시간협의,"건별4,500",
서울 강동구, 디플러스 암사지사,시간협의,"건별4,500",
서울 강동구, 디플러스 암사지사,시간협의,"건별4,500",
광주 광산구, 디플러스 첨단Plz,09:30~05:00,"월급5,000,000",
경기 성남시, 디플러스 위례지사,시간협의,"월급5,000,000",
경기 성남시, 디플러스 위례지사,시간협의,"건별3,800",
서울 강남구, 디플러스 강남지사,시간협의,"건별3,800",
서울 강남구, 디플러스 강남지사,시간협의,"월급6,500,000",
경기 하남시, 디플러스 미사B지사,시간협의,"월급5,000,000",
경기 하남시, 디플러스 미사B지사,시간협의,"월급5,000,000",
경기 하남시, 디플러스 미사B지사,시간협의,"월급5,000,000",
인천 미추홀, 디플러스 미르본사,시간협의,"건별3,500",
전국 전체, 디플러스 둔촌지사,시간협의,"건별4,300",
전국 전체, 디플러스 둔촌지사,시간협의,"건별4,300",
전국 전체, 디플러스 둔촌지사,시간협의,"건별4,300",
경기 전체, 디플러스 하남.[풍산]지사,시간협의,"월급4,500,000",
경기 하남시, 디플러스 미사S지사,시간협의,"월급5,000,000",
경기 하남시, 디플러스 미사S지사,시간협의,"월급5,000,000",
경기 하남시, 디플러스 미사S지사,시간협의,"월급5,000,000",
인천 부평구, 디플러스 부평4동지사,시간협의,"건별3,500",
인천 미추홀, 디플러스 미르본사,시간협의,"건별3,500",
광주 광산구, 디플러스 첨단Plz,09:30~05:00,"월급5,000,000",
서울 강동구, 디플러스 플러스천호지사,09:00~05:00,"건별4,500",
서울 강동구, 디플러스 플러스천호지사,09:00~05:00,"건별4,500",
서울 강동구, 디플러스 길동지사,09:00~05:00,"건별4,500",
인천 미추홀, 디플러스 IC지사,시간협의,"일급250,000",
인천 미추홀, 디플러스 IC지사,시간협의,"일급250,000",
인천 부평구, 디플러스 부평4동지사,시간협의,"건별3,500",
서울 강동구, 디플러스 천호지사,시간협의,"일급200,000",
서울 강동구, 디플러스 천호지사,시간협의,"일급200,000",
서울 강동구, 디플러스 천호지사,시간협의,"일급200,000",
경남 양산시, 디플러스 양산(물금)지사,시간협의,"시급20,000",
경남 양산시, 디플러스 양산(물금)지사,09:00~24:00,"월급4,000,000",
경남 양산시, 디플러스 양산(중부)지사,시간협의,"일급200,000",
대구 북구, 디플러스 산격지사,11:00~23:00,"일급200,000",
