place,title,time,pay,date
경기 이천시, 플레이타임그룹 롯데아울렛 이천점 챔피,14:00~20:00,"시급9,220",
경기 이천시, 플레이타임그룹 롯데아울렛 이천점 챔피,14:00~20:00,"시급9,220",
경기 이천시, 플레이타임그룹 롯데아울렛 이천점 챔피,14:00~20:00,"시급9,220",
경기 이천시, 플레이타임그룹 롯데아울렛 이천점 챔피,14:00~20:00,"시급9,220",
대구 동구, 플레이타임그룹 롯데아울렛 이시아폴리스,14:00~20:00,"시급8,720",
대구 동구, 플레이타임그룹 롯데아울렛 이시아폴리스,14:00~20:00,"시급8,720",
대구 동구, 플레이타임그룹 롯데아울렛 이시아폴리스,14:00~20:00,"시급8,720",
대구 동구, 플레이타임그룹 롯데아울렛 이시아폴리스,14:00~20:00,"시급8,720",
부산 부산진, 플레이타임그룹 삼정타워 서면점 챔피언,시간협의,"시급8,720",
부산 부산진, 플레이타임그룹 삼정타워 서면점 챔피언,시간협의,"시급8,720",
부산 부산진, 플레이타임그룹 삼정타워 서면점 챔피언,시간협의,"시급8,720",
부산 부산진, 플레이타임그룹 삼정타워 서면점 챔피언,시간협의,"시급8,720",
경기 고양시, 플레이타임그룹 이마트 킨텍스점 키즈올,시간협의,"시급8,720",
경기 고양시, 플레이타임그룹 이마트 킨텍스점 키즈올,시간협의,"시급8,720",
경기 고양시, 플레이타임그룹 이마트 킨텍스점 키즈올,시간협의,"시급8,720",
경기 고양시, 플레이타임그룹 이마트 킨텍스점 키즈올,시간협의,"시급8,720",
경기 용인시, 플레이타임그룹 롯데몰 수지점 챔피언,시간협의,"시급8,720",
경기 용인시, 플레이타임그룹 롯데몰 수지점 챔피언,시간협의,"시급8,720",
경기 용인시, 플레이타임그룹 롯데몰 수지점 챔피언,시간협의,"시급8,720",
경기 용인시, 플레이타임그룹 롯데몰 수지점 챔피언,시간협의,"시급8,720",
경기 화성시, 플레이타임 롯데백화점 동탄점 챔피언,시간협의,"시급9,220",
경기 화성시, 플레이타임 롯데백화점 동탄점 챔피언,시간협의,"시급9,220",
경기 화성시, 플레이타임 롯데백화점 동탄점 챔피언,시간협의,"시급9,220",
경기 화성시, 플레이타임 롯데백화점 동탄점 챔피언,시간협의,"시급9,220",
경기 고양시, 플레이타임그룹 롯데아울렛 고양점 챔피,16:00~21:00,"시급8,720",
경기 고양시, 플레이타임그룹 롯데아울렛 고양점 챔피,16:00~21:00,"시급8,720",
경기 고양시, 플레이타임그룹 롯데아울렛 고양점 챔피,16:00~21:00,"시급8,720",
경기 고양시, 플레이타임그룹 롯데아울렛 고양점 챔피,16:00~21:00,"시급8,720",
대구 중구, 플레이타임그룹 대구백화점 프라자점 챔,14:30~20:30,"시급8,720",
대구 중구, 플레이타임그룹 대구백화점 프라자점 챔,14:30~20:30,"시급8,720",
대구 중구, 플레이타임그룹 대구백화점 프라자점 챔,14:30~20:30,"시급8,720",
대구 중구, 플레이타임그룹 대구백화점 프라자점 챔,14:30~20:30,"시급8,720",
제주 서귀포, 플레이타임그룹 롯데호텔 제주중문점 챔,시간협의,"시급9,220",
제주 서귀포, 플레이타임그룹 롯데호텔 제주중문점 챔,시간협의,"시급9,220",
제주 서귀포, 플레이타임그룹 롯데호텔 제주중문점 챔,시간협의,"시급9,220",
제주 서귀포, 플레이타임그룹 롯데호텔 제주중문점 챔,시간협의,"시급9,220",
서울 용산구, 플레이타임그룹 아이파크몰 용산점 챔피,시간협의,"시급8,720",
서울 용산구, 플레이타임그룹 아이파크몰 용산점 챔피,시간협의,"시급8,720",
서울 용산구, 플레이타임그룹 아이파크몰 용산점 챔피,시간협의,"시급8,720",
서울 용산구, 플레이타임그룹 아이파크몰 용산점 챔피,시간협의,"시급8,720",
