place,title,time,pay,date
경기 고양시, 현대백화점 킨텍스점,09:00~18:00,"시급8,800",
서울 강남구, 현대백화점,09:30~18:30,"시급9,410",
서울 강남구, 현대백화점,09:30~18:30,"시급9,410",
서울 강남구, 현대백화점,09:30~18:30,"시급9,410",
경기 부천시, 현대백화점 중동점,12:00~18:00,"시급8,800",
서울 강남구, 현대백화점 무역센터점,10:30~20:00,"시급8,800",
서울 강동구, 현대백화점 천호점,09:00~18:30,"시급8,800",
서울 강남구, 한무쇼핑(주),10:00~19:30,"시급9,000",
대전 유성구, 현대백화점 현대프리미엄아울렛 대전점,10:00~20:30,"시급8,800",
서울 영등포, 더현대서울,10:00~19:30,"시급8,800",
서울 중구, 현대시티아울렛 동대문점,10:00~19:30,"시급8,800",
서울 중구, 현대시티아울렛 동대문점,10:00~19:30,"시급8,800",
서울 중구, 현대시티아울렛 동대문점,10:00~19:30,"시급8,800",
서울 영등포, 더현대서울,11:00~20:30,"시급8,800",
경기 성남시, 현대백화점 판교점,10:00~20:30,"시급8,800",
대구 동구, 현대시티아울렛대구점,10:00~21:00,"시급8,800",
서울 양천구, 한무쇼핑(주),09:00~18:30,"시급8,800",
경기 성남시, 현대백화점 판교점,10:00~20:00,"시급8,800",
경기 김포시, 현대백화점 킨텍스점,10:00~19:00,"시급8,800",
경기 부천시, 현대백화점 중동점,09:30~18:00,"시급8,800",
경기 남양주, 현대프리미엄아울렛 SPACE1,10:00~19:30,"시급8,800",
서울 강남구, 한무쇼핑(주),10:00~19:30,"시급8,800",
울산 남구, 현대백화점,10:30~20:30,"시급8,800",
대전 전체, 현대백화점 현대프리미엄아울렛 대전점,10:00~19:30,"시급8,800",
서울 강동구, 현대백화점 천호점,09:00~18:30,"시급8,800",
경기 성남시, 현대백화점 판교점,10:00~21:00,"시급8,800",
서울 영등포, 더현대서울,10:00~19:00,"시급8,800",
서울 성북구, 현대백화점 미아점,11:30~20:00,"시급8,800",
충북 청주시, 현대백화점 충청점,12:00~18:30,"시급8,800",
