place,title,time,pay,date
부산 북구, 홍대개미 덕천점,10:00~22:00,"시급8,720",
서울 강남구, 홍대개미 강남역점,11:00~21:00,"월급2,150,000",
서울 강남구, 홍대개미 파르나스몰점,09:00~19:00,"월급2,150,000",
서울 광진구, 홍대개미 롯데백화점 스타시티점,10:00~20:00,"월급1,850,000",
서울 동대문, 홍대개미청량리역사점,11:30~21:30,"월급2,150,000",
서울 마포구, 홍대개미 공덕점,17:00~21:00,"시급8,720",
경남 김해시, 홍대개미 김해롯데아울렛점,시간협의,"월급2,400,000",
부산 중구, 홍대개미 롯데백화점 광복점,10:00~22:00,"월급2,150,000",
부산 중구, 홍대개미 롯데백화점 광복점,10:00~21:00,"월급2,150,000",
대구 수성구, 홍대개미 대구신세계백화점,09:00~20:00,"월급2,150,000",
부산 부산진, 홍대개미 삼정타워점,시간협의,"월급2,500,000",
서울 강남구, 홍대개미 파르나스몰점,09:00~19:00,"월급2,150,000",
광주 서구, 홍대개미 신세계백화점 광주점,09:00~20:00,"월급2,150,000",
부산 부산진, 홍대개미 삼정타워점,시간협의,"월급2,500,000",
경기 평택시, 홍대개미 스타필드 안성,시간협의,"시급9,000",
부산 부산진, 홍대개미 삼정타워점,시간협의,"월급2,500,000",
경기 평택시, 홍대개미 스타필드 안성,시간협의,"시급9,000",
서울 중구, 홍대개미신세계백화점본점,10:00~20:00,"월급2,150,000",
경기 안성시, 홍대개미 스타필드 안성,시간협의,"시급9,000",
경기 안성시, 홍대개미 스타필드 안성,시간협의,"시급9,000",
서울 강남구, 홍대개미 강남역점,11:00~21:00,"월급2,150,000",
부산 부산진, 홍대개미 롯대백화점 부산본점,10:00~20:00,"월급2,150,000",
부산 중구, 홍대개미 롯데백화점 광복점,10:00~22:00,"월급2,150,000",
부산 중구, 홍대개미 롯데백화점 광복점,10:00~22:00,"월급2,150,000",
광주 서구, 홍대개미상무점,시간협의,"월급2,000,000",
서울 광진구, 홍대개미 롯데백화점 스타시티점,10:00~20:00,"월급1,850,000",
경기 평택시, 홍대개미스타필드안성,11:00~21:00,"월급2,200,000",
경기 안성시, 홍대개미스타필드안성,11:00~21:00,"월급2,200,000",
서울 광진구, 홍대개미 롯데백화점 스타시티점,10:00~20:00,"월급1,850,000",
서울 강남구, 홍대개미 파르나스몰점,09:00~19:00,"월급2,150,000",
광주 서구, 홍대개미 신세계백화점 광주점,09:00~20:00,"월급2,150,000",
서울 마포구, 홍대개미 공덕점,17:00~21:00,"시급8,720",
부산 부산진, 홍대개미 삼정타워점,시간협의,"월급2,500,000",
경기 안산시, 홍대개미,시간협의,"시급8,720",
경기 안산시, 홍대개미,시간협의,"시급8,720",
서울 강남구, 홍대개미 파르나스몰점,09:00~19:00,"월급2,150,000",
광주 서구, 홍대개미 신세계백화점 광주점,09:00~20:00,"월급2,150,000",
서울 마포구, 홍대개미 공덕점,17:00~21:00,"시급8,720",
서울 중구, 홍대개미신세계백화점본점,10:00~20:00,"월급2,150,000",
경기 의정부, 홍대개미청량리역사점,10:00~20:00,"월급1,850,000",
