place,title,time,pay,date
서울 동대문, 7번가피자 장안점,시간협의,"시급10,000",
서울 동대문, 7번가피자 장안점,시간협의,"시급10,000",
서울 동대문, 7번가피자 장안점,시간협의,"시급10,000",
부산 서구, 7번가피자 부산송도점,18:00~22:00,"시급8,720",
부산 기장군, 7번가피자 기장점,12:00~23:00,"시급10,000",
부산 기장군, 7번가피자 기장점,17:00~23:00,"시급10,000",
부산 기장군, 7번가피자 기장점,17:00~23:00,"시급10,000",
경기 용인시, 7번가피자 동백점,17:00~22:00,"시급11,500",
경기 부천시, 7번가피자 범박점,시간협의,"시급11,000",
충북 청주시, 7번가피자  용암점,17:30~22:30,"시급8,800",
경기 용인시, 7번가피자 죽전점,17:00~21:00,"시급9,000",
전남 순천시, 7번가피자 순천호수공원점,17:00~22:00,"시급9,000",
서울 동대문, 7번가피자 장안점,시간협의,"시급10,000",
대구 달서구, 7번가피자 성서점,시간협의,"시급9,500",
대구 달서구, 7번가피자 성서점,시간협의,"시급9,500",
서울 노원구, 7번가 피자 상계점,11:00~21:00,"주급600,000",
광주 광산구, 7번가피자 광주수완점,18:00~21:00,"시급8,720",
광주 광산구, 7번가피자 광주수완점,17:00~22:30,"시급8,720",
서울 동대문, 7번가피자 장안점,시간협의,"시급10,000",
대구 달서구, 7번가피자 달서점,시간협의,"시급8,720",
전남 순천시, 7번가피자 순천호수공원점,11:00~17:00,"시급9,000",
대전 서구, 7번가피자 관저점,시간협의,"시급9,000",
서울 노원구, 7번가 피자 공릉점,12:00~20:00,"시급8,720",
인천 서구, 7번가피자 청라점,17:30~21:30,"시급8,720",
충북 청주시, 7번가피자  용암점,17:30~22:30,"시급8,800",
대전 전체, 7번가피자 노은점,17:00~21:00,"시급13,000",
부산 기장군, 7번가피자 기장점,17:00~23:00,"시급10,000",
대전 서구, 7번가피자 관저점,시간협의,"시급9,000",
경기 김포시, 7번가피자 김포사우점,시간협의,"시급8,720",
대전 서구, 7번가피자 관저점,시간협의,"시급9,000",
경기 용인시, 7번가피자 죽전점,17:00~21:00,"시급9,000",
대구 남구, 7번가피자 남구점,시간협의,"시급8,720",
경남 김해시, 7번가피자 김해내외동점,18:00~22:00,"시급8,720",
서울 노원구, 7번가 피자 상계점,11:00~21:00,"주급600,000",
서울 노원구, 7번가 피자 상계점,11:00~21:00,"주급700,000",
서울 노원구, 7번가 피자 상계점,11:00~23:00,"월급3,000,000",
경기 용인시, 7번가피자 죽전점,17:00~21:00,"시급9,000",
대구 남구, 7번가피자 남구점,시간협의,"시급8,720",
충북 청주시, 7번가피자  용암점,17:30~22:30,"시급8,800",
전남 순천시, 7번가피자 순천오천점,16:00~22:00,"시급9,000",
