place,title,time,pay,date
광주 동구, 60계치킨 광주동명계림점,19:00~02:10,"시급8,720",
부산 부산진, 탑피시,22:00~08:00,"시급8,720",
부산 부산진, 탑피시 시즌2,15:00~22:00,"시급8,720",
부산 부산진, 탑피시 시즌2,15:00~22:00,"시급8,720",
경북 김천시, 이디야 덕곡점,시간협의,"시급8,720",
경북 김천시, 이디야 덕곡점,시간협의,"월급1,822,480",
부산 전체, 아리랑목살,10:00~22:00,"월급2,600,000",
부산 사하구, 아리랑목살,17:00~22:00,"시급9,000",
전북 전주시, 짱PC클럽,17:00~00:00,"시급8,720",
전북 전주시, 짱PC클럽,10:30~17:00,"시급8,720",
전남 여수시, 앨리스,21:00~02:00,"시급15,000",
대구 달서구, 욜로PC용산점,17:00~23:00,"시급8,720",
서울 마포구, 카페 너와늘,18:00~20:00,"시급8,720",
전남 순천시, 샤브향 오천점,10:00~15:00,"시급9,000",
전남 순천시, 샤브향 오천점,10:00~21:30,"월급2,300,000",
대구 달서구, 욜로PC용산점,17:00~23:00,"시급8,720",
경기 성남시, 프로(%),17:00~22:00,"월급18,000,000",
경기 성남시, 프로(%),17:00~22:00,"월급1,800,000",
강원 춘천시, 헤라PC방 교동점,시간협의,"시급9,000",
강원 원주시, 정가계닭목살구이(천매점),17:00~21:00,"시급9,000",
서울 송파구, 탄탄코인노래연습장,19:00~01:00,"시급8,720",
강원 원주시, 정가계닭목살구이(천매점),17:00~21:00,"시급9,000",
강원 원주시, 정가계닭목살구이(천매점),19:00~22:00,"시급10,000",
서울 전체, 우승태권도,13:00~19:30,"월급1,822,480",
광주 동구, 60계치킨 광주동명계림점,19:00~02:10,"시급8,720",
대구 수성구, 고기부심,15:00~23:00,"월급2,000,000",
부산 기장군, 해운대31cm해물칼국수 일광신도시점,10:00~21:00,"월급2,600,000",
경기 오산시, 푸라닭 오산수청점,17:00~01:00,"시급8,720",
전북 완주군, 스터디카페 포커스(전주혁신점),07:00~09:00,"시급9,000",
경기 안성시, 베스트잡,08:30~17:30,"일급140,000",
충북 청주시, 피시 태그(PC TAG),13:00~19:00,"시급8,720",
강원 강릉시, 헤라,19:30~02:00,"월급3,000,000",
서울 성동구, 웨스트 PC방(WEST PC),15:00~23:00,"시급11,400",
서울 성동구, 웨스트 PC방(WEST PC),15:00~23:00,"시급11,400",
서울 성동구, 웨스트 PC방(WEST PC),15:00~23:00,"시급11,400",
울산 전체, 전국최대휴대폰할인매장,10:00~19:00,"월급2,200,000",
대구 달서구, 욜로PC용산점,17:00~23:00,"시급8,720",
경기 수원시, 이화수전통육개장 수원권선점,09:00~21:00,"월급2,350,000",
경기 수원시, 이화수전통육개장 수원권선점,09:00~21:00,"월급2,350,000",
경기 수원시, 이화수전통육개장 수원권선점,09:00~21:00,"월급2,350,000",
