place,title,time,pay,date
서울 중랑구, CU 중랑행복점,18:00~24:00,"시급8,720",
서울 강남구, CU 논현윤진점,15:00~21:00,"시급8,720",
울산 동구, CU 방어경인점,09:00~19:00,"시급8,720",
경북 예천군, CU 예천서본효자점,시간협의,"시급8,720",
전북 익산시, CU 익산왕궁스타점,20:00~09:00,"시급8,720",
경기 고양시, CU 정발산으뜸점,01:30~22:00,"시급8,720",
서울 양천구, CU 목동1단지점,24:00~07:00,"시급8,720",
경기 군포시, CU 군포공단점,12:30~17:00,"시급8,720",
경북 예천군, CU 예천서본효자점,시간협의,"시급8,720",
부산 중구, CU 부산부평점,00:00~08:00,"시급8,720",
경기 구리시, CU 구리클래시아점,23:00~09:00,"시급8,720",
대구 동구, CU 뉴신기타운점,22:00~08:00,"시급8,720",
대구 동구, CU 뉴신기타운점,22:00~08:00,"시급8,720",
경기 부천시, CU 상동풍림점,23:00~09:00,"시급8,720",
서울 강동구, CU 고덕에이스점,11:00~18:00,"시급8,720",
서울 도봉구, CU 도봉신창점,23:00~05:00,"시급8,720",
서울 강남구, CU 청담삼환점,22:00~07:00,"시급9,000",
부산 동래구, CU 동래스타점,21:00~09:00,"시급8,720",
경기 평택시, CU 평택서재법원점,20:00~24:00,"시급8,720",
서울 성북구, CU 삼선중앙점,08:00~16:00,"시급10,000",
제주 서귀포, CU 제주풍림리조트점,16:00~24:00,"시급9,810",
전남 여수시, CU 웅천베이원파크점,00:00~07:00,"시급8,720",
대전 중구, CU 대전성모장례식장점,07:00~11:00,"시급9,000",
전북 전주시, CU 에코KCC스위첸점,20:00~08:00,"시급8,720",
경기 김포시, CU 감정신안점,16:00~23:00,"시급8,720",
경북 경산시, CU 러브로드점,18:00~24:00,"시급8,720",
서울 서초구, CU 서초포레스타점,22:00~08:00,"시급8,720",
서울 서초구, CU 서초포레스타점,22:00~08:00,"시급8,720",
서울 강남구, CU 청담삼환점,22:00~07:00,"시급9,000",
경남 양산시, CU 신기대동점,23:00~07:00,"시급8,720",
경기 화성시, CU 화성정림점,22:00~07:00,"시급8,720",
경기 고양시, CU 탄현동문10단지점,01:00~08:00,"시급8,720",
울산 남구, CU 신정돋질로점,23:00~08:00,"시급8,720",
대구 서구, CU 남평리점,18:00~23:00,"시급8,720",
강원 춘천시, CU 춘천온의동점,10:00~16:30,"시급8,720",
충남 천안시, CU 천안입장가산점,15:00~22:00,"시급8,720",
충남 천안시, CU 천안입장가산점,18:00~01:00,"시급8,720",
전남 고흥군, CU 고흥녹동신항점,21:00~09:00,"시급9,000",
충남 논산시, CU 논산은진점,19:00~24:00,"시급8,720",
서울 구로구, CU 구로개웅교점,24:00~07:00,"시급8,720",
