place,title,time,pay,date
경기 용인시, (주)이랜드월드 스파오,시간협의,"시급8,720",
서울 영등포, (주)이랜드월드 미쏘 타임스퀘어점,20:30~23:30,"시급8,720",
충북 청주시, (주)이랜드월드 스파오,시간협의,"시급8,720",
경기 안성시, (주)이랜드월드 스파오,시간협의,"시급8,720",
경기 화성시, (주)이랜드월드 스파오,시간협의,"시급8,720",
충북 충주시, (주)이랜드월드 FOLDE 충주점,12:00~21:00,"시급8,720",
서울 영등포, (주)이랜드월드 스파오 타임스퀘어점,시간협의,"시급8,720",
서울 송파구, (주)이랜드월드 미쏘 송파NC점,시간협의,"일급69,760",
서울 송파구, 미쏘 잠실점,시간협의,"시급8,720",
서울 노원구, (주)이랜드월드,시간협의,"시급8,720",
전북 익산시, (주)이랜드월드 스파오,시간협의,"시급8,720",
서울 송파구, 미쏘 잠실점,시간협의,"시급8,720",
서울 영등포, (주)이랜드월드 미쏘 IFC몰점,13:30~22:30,"시급8,720",
경기 부천시, (주)이랜드월드 미쏘 부천NC점,13:00~21:00,"시급8,720",
부산 사하구, MIXXO 아트몰링하단점,시간협의,"시급8,720",
경기 부천시, (주)이랜드월드 미쏘 부천NC점,13:00~22:00,"시급8,720",
경기 부천시, (주)이랜드월드 미쏘 부천NC점,12:00~21:00,"시급8,720",
서울 금천구, (주)이랜드월드 스파오,시간협의,"시급8,720",
울산 전체, (주)이랜드월드 스파오,14:00~22:00,"시급8,720",
경기 안양시, (주)이랜드 스파오 엔터식스 안양점,시간협의,"시급8,720",
서울 강남구, (주)이랜드월드 스파오 코엑스몰점,시간협의,"시급8,720",
부산 남구, (주)이랜드월드 스파오 경성대점,시간협의,"시급8,720",
전남 순천시, (주)이랜드월드 스파오,시간협의,"시급8,720",
경기 고양시, (주)이랜드월드 스파오,시간협의,"시급8,720",
전남 광양시, 미쏘 광양점,시간협의,"시급8,720",
서울 금천구, (주)이랜드월드 스파오,시간협의,"시급8,720",
세종 전체, 미쏘 세종AK점,14:00~20:30,"시급8,720",
경기 안성시, 미쏘 안성 스타필드점,시간협의,"시급8,720",
서울 영등포, (주)이랜드월드 미쏘 타임스퀘어점,10:00~19:00,"시급8,720",
대전 서구, (주)이랜드월드 스파오,시간협의,"시급8,720",
서울 마포구, 스파오 홍대점,시간협의,"시급8,720",
광주 동구, (주)이랜드월드 미쏘 광주NC점,시간협의,"시급8,720",
서울 관악구, (주)이랜드월드 스파오,시간협의,"시급8,720",
대전 서구, (주)이랜드월드 미쏘 대전롯데점,14:00~22:00,"시급8,720",
서울 강북구, (주)이랜드월드 스파오,시간협의,"시급8,720",
대구 중구, (주)이랜드월드 스파오 동성로중앙점,시간협의,"시급8,720",
대전 서구, (주)이랜드월드 미쏘 대전롯데점,14:00~22:00,"시급8,720",
전북 전주시, (주)이랜드월드 스파오,시간협의,"시급8,720",
충남 아산시, (주)이랜드월드 스파오,시간협의,"시급8,720",
충남 아산시, (주)이랜드월드 스파오,시간협의,"시급8,720",
