place,title,time,pay,date
울산 울주군, GS25 신규오픈55호점,23:00~07:00,"시급8,720",
인천 연수구, GS25퍼스트파크15점,16:00~23:00,"시급8,720",
경기 용인시, GS25용인죽전점,07:30~14:30,"시급8,720",
대구 수성구, GS25황금중앙점,시간협의,"시급8,720",
경기 광명시, GS25광명한사랑점,00:00~24:00,"시급8,720",
경기 고양시, GS25 중산영원점,24:00~07:00,"시급8,720",
충북 청주시, GS25 강서중앙점,17:00~22:00,"시급8,720",
경기 수원시, GS25 망포원룸점,15:00~23:00,"시급8,720",
경기 양주시, GS25옥정본점,16:00~23:00,"시급8,720",
경기 시흥시, GS25정왕프라자점,22:00~09:00,"시급8,720",
서울 강서구, GS25화곡나누리점,22:00~07:00,"시급9,000",
서울 은평구, GS25녹번퍼스트점,21:00~07:00,"시급8,720",
충남 천안시, GS25직산군동점,11:00~22:00,"시급9,000",
부산 동래구, GS25 부산사직점,21:00~08:00,"시급8,720",
강원 양양군, GS25하조대터미널점,12:30~21:30,"시급8,720",
충북 청주시, GS25정하로드점,14:00~23:00,"시급8,720",
경북 포항시, GS25포항문덕점,10:00~22:00,"시급8,720",
경기 용인시, GS25용인죽전점,00:30~07:30,"시급8,720",
경기 화성시, GS25남양아이리스점,21:00~10:00,"시급8,720",
부산 동래구, GS25 부산사직점,21:00~08:00,"시급8,720",
제주 제주시, GS25연동누리안점,23:00~09:00,"시급8,720",
경기 부천시, GS25 부천역사2점,시간협의,"시급8,720",
충북 청주시, GS25정하로드점,05:30~14:00,"시급8,720",
울산 울주군, GS25남창대안점,시간협의,"시급8,720",
울산 남구, GS25삼산제일점,15:00~23:00,"시급8,800",
경기 파주시, GS25파주금곡점,05:30~10:00,"시급8,720",
경기 용인시, GS25수지송화점,24:00~07:00,"시급8,720",
경기 안양시, GS25안양친목마을점,00:00~24:00,"시급8,720",
경기 수원시, GS25 망포원룸점,23:00~08:00,"시급8,720",
대구 수성구, GS25 황금제일점,22:00~08:00,"시급8,720",
경남 진주시, GS25 하대상아점,16:00~23:00,"시급8,720",
경기 안양시, GS25안양나래점,00:00~24:00,"시급8,720",
충북 청주시, GS25청주산남점,21:00~08:00,"시급9,000",
충남 부여군, GS25부여동남점,06:00~00:00,"시급8,720",
인천 미추홀, GS25 학익태산점,09:00~16:00,"시급8,720",
경남 창원시, GS25상남오거리점,23:00~08:00,"시급8,720",
서울 종로구, 종로익선,23:00~08:00,"시급9,200",
충남 홍성군, GS25홍성의료원점,15:00~22:00,"시급8,720",
대전 서구, GS25스타웍스점,24:00~07:00,"시급8,720",
충북 청주시, GS25청주산남점,21:00~08:00,"시급9,000",
