place,title,time,pay,date
강원 원주시, (주)GS리테일 랄라블라 원주중앙점,15:30~20:00,"시급8,720",
전남 여수시, (주)지에스리테일 랄라블라여수충무점,17:00~22:00,"시급8,720",
경남 진주시, (주)지에스리테일,11:00~15:00,"시급8,720",
서울 관악구, GS리테일H&B사업부문 신림점,17:00~22:00,"시급8,720",
경북 구미시, GS리테일 H&B 랄라블라 구미인동점,16:30~20:00,"시급8,720",
서울 강서구, GS리테일 H&B 랄라블라 화곡점,10:00~15:00,"시급8,720",
경북 포항시, (주)지에스리테일,10:00~13:30,"시급8,720",
서울 강남구, GS리테일 H&B / 신논현역점,08:00~11:00,"시급8,720",
충남 천안시, (주)지에스리테일,18:30~22:00,"시급8,720",
서울 강북구, (주)지에스리테일 랄라블라미아사거리점,10:30~15:00,"시급8,720",
서울 강북구, (주)지에스리테일 랄라블라미아사거리점,10:30~15:00,"시급8,720",
충남 천안시, (주)지에스리테일,11:30~15:00,"시급8,720",
울산 남구, GS리테일 H&B / 삼산점,16:30~19:30,"시급8,720",
경기 광명시, (주)지에스리테일 랄라블라 철산점,10:00~15:00,"시급8,720",
전북 전주시, (주)지에스리테일,17:00~20:30,"시급8,720",
서울 강서구, GS리테일 H&B 랄라블라 화곡점,10:00~15:00,"시급8,720",
전북 전주시, GS리테일 H&B / 전북도청점,17:30~22:00,"시급8,720",
경기 평택시, (주)지에스리테일 랄라블라평택점,11:00~15:30,"시급8,720",
서울 구로구, (주)지에스리테일,18:00~21:00,"시급8,720",
경기 김포시, GS리테일 H&B / 강남역점,19:30~23:00,"시급8,720",
서울 강서구, GS리테일 H&B 랄라블라 화곡점,10:00~15:00,"시급8,720",
경북 경산시, (주)지에스리테일,11:00~13:00,"시급8,720",
서울 강서구, GS리테일 H&B 랄라블라 화곡점,10:00~15:00,"시급8,720",
경기 광명시, (주)지에스리테일 랄라블라 철산점,10:00~15:00,"시급8,720",
서울 강서구, GS리테일 H&B 사업부문 염창역점,11:30~15:00,"시급8,720",
인천 남동구, GS리테일H&B 랄라블라 구월로데오점,14:00~21:30,"시급8,720",
경남 김해시, GS리테일 H&B 김해율하점,16:00~19:30,"시급8,720",
강원 원주시, (주)GS리테일 랄라블라 원주중앙점,15:30~20:00,"시급8,720",
전남 여수시, (주)지에스리테일 랄라블라여수충무점,17:00~22:00,"시급8,720",
