place,title,time,pay,date
울산 울주군, GS수퍼마켓 울산구영점,07:30~13:00,"시급8,720",
울산 울주군, GS수퍼마켓 울산구영점,07:30~13:00,"시급8,720",
울산 울주군, GS수퍼마켓 울산구영점,07:30~13:00,"시급8,720",
울산 울주군, GS수퍼마켓 울산구영점,07:30~13:00,"시급8,720",
경기 김포시, GS수퍼마켓 김포고촌점,09:00~14:00,"시급8,720",
서울 강북구, GS수퍼마켓 길음뉴타운점,08:00~16:00,"시급8,720",
서울 도봉구, GS수퍼마켓 길음뉴타운점,08:00~16:00,"시급8,720",
경북 칠곡군, GS수퍼마켓 왜관점,시간협의,"시급8,720",
경남 양산시, GS수퍼마켓 물금대방점,16:00~23:00,"시급8,720",
경기 고양시, GS수퍼마켓 고양벽제점,08:00~11:00,"시급8,720",
경북 포항시, GS수퍼마켓 포항메트로점,17:00~23:00,"시급8,720",
강원 원주시, GS수퍼마켓 원주혁신점,16:30~23:00,"시급10,000",
경북 포항시, GS수퍼마켓 포항메트로점,08:00~14:00,"시급8,720",
경남 창원시, GS수퍼마켓 진해여좌점,시간협의,"시급8,720",
경남 창원시, GS수퍼마켓 진해풍호점,시간협의,"시급8,720",
경기 전체, GS수퍼마켓 미래점,09:00~16:00,"시급8,720",
경기 화성시, GS수퍼마켓 화성반송점,09:00~16:00,"시급8,720",
서울 은평구, GS수퍼마켓 녹번이캐슬점N,16:00~23:00,"시급8,720",
경기 수원시, GS수퍼마켓 수원매현점,시간협의,"시급8,720",
서울 은평구, GS수퍼마켓 녹번이캐슬점N,08:00~14:30,"시급8,720",
경남 진주시, GS수퍼마켓 진주센트럴점,09:00~23:00,"시급8,720",
경남 진주시, GS수퍼마켓 진주센트럴점,09:00~23:00,"시급8,720",
서울 노원구, GS수퍼마켓 길음뉴타운점,08:00~16:00,"시급8,720",
경기 전체, GS수퍼마켓 용인한숲시티4점,시간협의,"월급1,600,000",
경남 창원시, GS수퍼마켓 창원유니시티점,08:00~14:00,"시급8,720",
경남 창원시, GS수퍼마켓 마산점,14:00~20:30,"시급8,720",
경기 평택시, GS수퍼마켓 평택세교점,08:30~15:00,"시급8,720",
경북 포항시, GS수퍼마켓 포항양덕점,시간협의,"시급8,720",
서울 강북구, GS수퍼마켓 길음뉴타운점,08:00~16:00,"시급8,720",
경남 창원시, GS수퍼마켓 마산월영점,09:00~12:30,"시급8,720",
강원 강릉시, GS수퍼마켓 강릉포남점,16:00~23:00,"시급8,720",
경기 용인시, GS수퍼마켓 용인점,시간협의,"시급8,720",
경기 용인시, GS수퍼마켓 용인점,시간협의,"시급8,720",
서울 강남구, GS수퍼마켓 대치사거리점,16:00~22:00,"시급8,720",
서울 마포구, GS수퍼마켓 마포상암점,04:00~11:00,"시급8,720",
대구 달성군, GS수퍼마켓 죽곡점,09:00~23:00,"시급8,720",
경기 시흥시, GS수퍼마켓 배곧중흥점,16:00~22:00,"시급8,720",
경남 진주시, GS수퍼마켓 진주센트럴점,09:00~23:00,"시급8,720",
경남 진주시, GS수퍼마켓 진주센트럴점,09:00~23:00,"시급8,720",
부산 부산진, GS수퍼마켓 초읍점,시간협의,"시급8,720",
