place,title,time,pay,date
서울 강서구, KFC 발산역,시간협의,"시급8,720",
경기 고양시, KFC 일산장항,시간협의,"시급8,720",
서울 영등포, KFC 당산역,시간협의,"시급8,720",
경기 안산시, KFC 산본역,시간협의,"시급8,720",
서울 영등포, KFC 당산역,시간협의,"시급8,720",
경기 하남시, KFC 하남시청,시간협의,"시급8,720",
서울 강동구, KFC 둔촌동,시간협의,"시급8,720",
서울 강동구, KFC 둔촌동,시간협의,"시급8,720",
대구 달서구, KFC 상인네거리,시간협의,"시급8,720",
대구 달서구, KFC 상인네거리,시간협의,"시급8,720",
대구 달서구, KFC 상인네거리,시간협의,"시급8,720",
경기 수원시, KFC 수원인계DT,09:00~16:30,"시급8,720",
서울 강동구, KFC 천호역,시간협의,"시급8,720",
광주 광산구, KFC 광주수완,시간협의,"시급8,720",
광주 전체, KFC 광주용봉DT,시간협의,"시급8,720",
서울 강동구, KFC 명일DI,09:00~00:00,"시급8,720",
서울 전체, KFC 강남역,17:00~23:30,"시급8,720",
서울 전체, KFC 강남역,17:00~23:30,"시급8,720",
강원 춘천시, KFC 춘천석사,시간협의,"시급8,720",
강원 춘천시, KFC 춘천석사,시간협의,"시급8,720",
경기 남양주, KFC 덕소,시간협의,"시급8,720",
서울 강서구, KFC 목동사거리,시간협의,"시급8,720",
경기 남양주, KFC 덕소,시간협의,"시급8,720",
대구 수성구, KFC 대구시지,17:00~23:30,"시급8,720",
경기 파주시, KFC 야당역,17:00~01:00,"시급8,720",
서울 송파구, KFC 잠실,시간협의,"시급8,720",
충북 청주시, KFC 청주오창,시간협의,"시급8,720",
경기 하남시, KFC 미사역,시간협의,"시급8,720",
서울 전체, KFC 일원동,시간협의,"시급8,720",
서울 강동구, KFC 둔촌동,시간협의,"시급8,720",
서울 전체, KFC 일원동,시간협의,"시급8,720",
서울 전체, KFC 일원동,시간협의,"시급8,720",
인천 부평구, KFC 부평역,17:00~00:30,"시급8,720",
경기 하남시, KFC 하남시청,시간협의,"시급8,720",
울산 남구, KFC 울산현대,18:00~24:00,"시급8,720",
경북 포항시, KFC 포항터미널,18:00~23:00,"시급8,720",
경기 성남시, KFC 위례중앙,시간협의,"시급8,720",
경기 성남시, KFC 위례중앙,16:00~24:00,"시급8,720",
강원 원주시, KFC 원주단계DT,시간협의,"시급8,720",
강원 원주시, KFC 원주단계DT,시간협의,"시급8,720",
