place,title,time,pay,date
경기 시흥시, SK에너지 SK명성주유소,05:00~14:00,"월급2,350,000",
대구 달서구, SK에너지 SK에너지(주) 삼성제일주,22:00~01:00,"시급8,720",
대구 달서구, SK에너지 SK에너지(주) 삼성제일주,22:00~01:00,"시급8,720",
경기 용인시, SK에너지 SK에너지(주) 대흥셀프주,16:00~24:00,"월급2,100,000",
전국 전체, SK에너지 강평주유소,14:00~23:00,"시급11,236",
서울 전체, SK에너지 강평주유소,14:00~23:00,"시급11,236",
경북 포항시, SK에너지 포항충전소,07:00~14:30,"시급8,720",
서울 마포구, SK에너지 (주)안국에너지 망원동주유,14:30~23:00,"시급8,720",
서울 송파구, SK에너지 한강에너지(주)퍼스트주유소,15:00~01:00,"월급2,520,000",
서울 송파구, SK에너지 한강에너지(주)퍼스트주유소,15:00~01:00,"월급2,520,000",
서울 송파구, SK에너지 한강에너지(주)퍼스트주유소,15:00~01:00,"월급2,520,000",
서울 송파구, SK에너지 한강에너지(주)퍼스트주유소,15:00~01:00,"월급2,520,000",
경기 전체, SK에너지 기안셀프주유소,시간협의,"시급10,000",
대구 동구, SK에너지 국가대표제2주유소,23:00~07:00,"월급2,100,000",
인천 서구, SK에너지 청라에너지,14:00~22:00,"월급1,901,380",
서울 마포구, SK에너지 (주)안국에너지 망원동주유,14:30~23:00,"시급8,720",
광주 남구, SK에너지 SK월드컵주유소,08:00~18:30,"시급8,720",
서울 관악구, SK에너지 유정주유소,시간협의,"시급8,720",
경북 포항시, SK에너지 포항충전소,07:00~14:30,"시급8,720",
광주 남구, SK에너지 SK월드컵주유소,08:00~18:30,"시급8,720",
광주 남구, SK에너지 SK월드컵주유소,08:00~18:30,"시급8,720",
경기 용인시, SK에너지 풍덕천Self주유소,09:00~18:00,"월급2,350,000",
경기 용인시, SK에너지 SK에너지(주) 대흥셀프주,16:00~24:00,"월급2,100,000",
경기 시흥시, SK에너지 (주)시흥에너지 배곧주유소,05:00~14:00,"월급2,350,000",
경남 양산시, SK에너지 양산주유소,08:00~14:00,"시급8,720",
서울 마포구, SK에너지 (주)안국에너지 망원동주유,14:30~23:00,"시급8,720",
경기 의정부, SK에너지 원에너지(주) 호원주유소,14:00~23:00,"월급2,000,000",
서울 강서구, SK에너지 염창동주유소,시간협의,"월급2,050,000",
서울 강서구, SK에너지 방화주유소,시간협의,"월급2,000,000",
서울 마포구, SK에너지 (주)안국에너지 망원동주유,14:30~23:00,"시급8,720",
서울 마포구, SK에너지 SK에너지(주) 안국주유소,07:00~15:00,"월급2,100,000",
서울 마포구, SK에너지 SK에너지(주) 안국주유소,15:00~23:00,"월급2,100,000",
경기 전체, SK에너지 호성주유소,시간협의,"월급2,500,000",
전국 전체, SK에너지 고인돌(하)주유소충전소,08:00~20:00,"월급2,590,000",
서울 강서구, SK에너지 염창동주유소,시간협의,"월급2,050,000",
경기 평택시, SK에너지 항만주유소,14:00~22:00,"월급2,130,000",
경기 용인시, SK에너지 SK에너지(주) 대흥셀프주,16:00~24:00,"월급2,100,000",
인천 부평구, SK에너지 부개주유소,13:00~20:00,"시급8,720",
인천 부평구, SK에너지 부개주유소,13:00~20:00,"시급8,720",
인천 부평구, SK에너지 부개주유소,13:00~20:00,"시급8,720",
