place,title,time,pay,date
서울 전체, 티지아이프라이데이 롯데백화점 잠실,시간협의,"시급10,470",
경기 고양시, TGIF 일산점,시간협의,"시급10,470",
부산 중구, TGIF광복점,시간협의,"시급10,470",
서울 전체, 티지아이프라이데이 롯데백화점 잠실,시간협의,"시급10,470",
경기 안양시, T.G.I Fridays 평촌점,시간협의,"시급10,470",
경기 안양시, T.G.I Fridays 평촌점,00:00~24:00,"시급10,470",
경기 안양시, T.G.I Fridays 평촌점,시간협의,"시급10,470",
서울 노원구, 티지아이프라이데이 롯데백화점노원점,17:30~21:00,"시급10,470",
서울 전체, 티지아이프라이데이 롯데백화점 잠실,시간협의,"시급10,470",
경기 파주시, TG파주점,시간협의,"시급10,470",
대전 서구, TGI FRIDAYS TG대전점,시간협의,"시급10,470",
서울 영등포, TGI FRIDAYS TG영등포점,시간협의,"시급10,470",
