place,title,time,pay,date
경기 고양시, 이마트에브리데이 고양삼송점,14:30~21:00,"월급1,595,760",
경기 오산시, 이마트에브리데이 동탄카림점,시간협의,"월급1,595,760",
경기 수원시, 이마트에브리데이 신영통점,16:30~23:00,"월급1,709,120",
경기 김포시, 이마트에브리데이 김포자이점,시간협의,"월급1,595,760",
세종 새롬동, 이마트에브리데이 세종캐슬점,16:30~23:00,"월급1,709,120",
세종 보람동, 이마트에브리데이 세종중흥점,16:30~23:00,"월급1,709,120",
경기 광명시, 이마트에브리데이 광명역점,시간협의,"월급1,595,760",
경기 광명시, 이마트에브리데이 광명역점,시간협의,"월급1,595,760",
서울 관악구, 이마트에브리데이 서초그랑자이점,시간협의,"월급1,595,760",
서울 강남구, 이마트에브리데이 서초그랑자이점,시간협의,"월급1,595,760",
서울 서초구, 이마트에브리데이 서초그랑자이점,시간협의,"월급1,595,760",
서울 강동구, 이마트에브리데이 고덕강일점,16:30~23:00,"월급1,709,120",
경기 고양시, 이마트에브리데이 고양삼송점,09:00~15:30,"월급1,595,760",
경기 의정부, 이마트에브리데이 신곡점,16:30~23:00,"월급1,709,120",
경기 김포시, 이마트에브리데이 풍무2점,13:00~19:30,"월급1,595,760",
서울 서초구, 이마트에브리데이 서초래미안점,시간협의,"월급1,595,760",
서울 관악구, 이마트에브리데이 서초래미안점,시간협의,"월급1,595,760",
서울 서초구, 이마트에브리데이 서초동점,10:00~16:30,"월급1,595,760",
서울 전체, 이마트에브리데이 이문점,시간협의,"월급1,595,760",
서울 동대문, 이마트에브리데이 이문점,시간협의,"월급1,595,760",
서울 서초구, 이마트에브리데이 남부터미널점,16:30~23:00,"월급1,709,120",
서울 동작구, 이마트에브리데이 남부터미널점,16:30~23:00,"월급1,709,120",
경기 김포시, 이마트에브리데이 고촌2점,16:30~23:00,"월급1,709,120",
경기 화성시, 이마트에브리데이 병점점,16:30~23:00,"월급1,709,120",
경기 성남시, 이마트에브리데이 서판교점,08:30~15:00,"월급1,595,760",
서울 중랑구, 이마트에브리데이 면목동점,14:30~21:00,"월급1,595,760",
서울 동작구, 이마트에브리데이 흑석동점,09:00~15:30,"월급1,595,760",
경기 수원시, 이마트에브리데이 수원태장점,15:00~21:30,"월급1,595,760",
인천 전체, 이마트에브리데이 인천대입구역점,시간협의,"월급1,595,760",
충북 진천군, 이마트에브리데이 진천옥동점,09:00~15:30,"월급1,595,760",
충북 음성군, 이마트에브리데이 음성점,10:00~16:30,"월급1,595,760",
서울 전체, 이마트에브리데이 성북동점,08:00~14:30,"월급1,595,760",
충남 서산시, 이마트에브리데이 서산읍내점,09:00~15:30,"월급1,595,760",
세종 전체, 이마트에브리데이 세종신동아점,09:00~15:30,"월급1,595,760",
경기 구리시, 이마트에브리데이 구리갈매점,08:00~14:30,"월급1,665,760",
서울 송파구, 이마트에브리데이 송파점,16:30~23:00,"월급1,709,120",
서울 송파구, 이마트에브리데이 송파점,07:00~13:30,"월급1,595,760",
경기 남양주, 이마트에브리데이 다산점,16:30~23:00,"월급1,709,120",
경기 남양주, 이마트에브리데이 평내점,15:30~22:00,"월급1,595,760",
세종 새롬동, 이마트에브리데이 세종캐슬점,13:00~19:30,"월급1,595,760",
