place,title,time,pay,date
서울 마포구, (주)초록마을 본사직영,09:00~18:00,"월급1,950,000",
경기 용인시, (주)초록마을 본사직영,09:00~18:00,"월급2,360,000",
서울 서초구, (주)초록마을 본사직영,09:00~18:00,"월급2,360,000",
서울 중랑구, (주)초록마을 본사직영,09:00~21:00,"월급2,750,000",
서울 송파구, (주)초록마을 본사직영,09:00~18:00,"월급2,360,000",
서울 송파구, (주)초록마을 본사직영,09:00~18:00,"월급2,360,000",
부산 해운대, (주)초록마을 본사직영,10:00~19:00,"월급2,400,000",
서울 서초구, (주)초록마을 본사직영,10:00~19:00,"월급2,400,000",
서울 송파구, (주)초록마을 본사직영,10:00~19:00,"월급2,400,000",
대전 유성구, (주)초록마을 본사직영,09:00~18:00,"월급2,400,000",
서울 강남구, (주)초록마을 본사직영,11:00~20:00,"월급2,400,000",
서울 서초구, (주)초록마을 본사직영,11:00~20:00,"월급2,400,000",
대구 달서구, (주)초록마을 본사직영,09:00~18:00,"월급2,400,000",
경북 포항시, (주)초록마을 본사직영,09:00~18:00,"월급2,400,000",
서울 광진구, (주)초록마을 본사직영,09:00~13:00,"시급10,470",
