place,title,time,pay,date
인천 계양구, 경복궁 계산점,10:00~22:00,"월급2,200,000",
인천 계양구, 삿뽀로 계산점,10:00~22:00,"월급2,300,000",
서울 은평구, 경복궁 녹번점,12:00~21:00,"시급10,000",
서울 마포구, 삿뽀로 홍대점,10:00~22:00,"월급2,400,000",
경기 안산시, 삿뽀로 안산점,10:00~22:00,"월급2,200,000",
서울 강남구, 경복궁 오크우드점,시간협의,"월급2,500,000",
서울 강남구, 경복궁 오크우드점,시간협의,"시급12,000",
서울 강남구, 경복궁 오크우드점,시간협의,"월급2,300,000",
부산 해운대, 삿뽀로 부산점,시간협의,"월급2,300,000",
부산 해운대, 삿뽀로 부산점,시간협의,"월급2,300,000",
인천 연수구, 엔타스 팔진향 한옥마을점,10:00~22:00,"월급2,200,000",
인천 연수구, 엔타스 팔진향 한옥마을점,10:00~22:00,"월급2,200,000",
경기 하남시, 엔타스 팔진향 하남점,10:00~22:00,"월급2,500,000",
경기 하남시, 엔타스 팔진향 하남점,10:00~22:00,"시급13,000",
부산 해운대, 삿뽀로 부산점,시간협의,"월급2,300,000",
부산 해운대, 삿뽀로 부산점,시간협의,"월급2,300,000",
경기 성남시, 엔타스 고구려 판교점,10:00~22:00,"월급3,000,000",
경기 성남시, 엔타스 고구려 판교점,10:00~22:00,"월급3,000,000",
경기 성남시, 삿뽀로 판교점,10:00~22:00,"월급2,200,000",
경기 성남시, 삿뽀로 판교점,10:00~22:00,"월급2,200,000",
경기 성남시, 삿뽀로 판교점,10:00~22:00,"월급2,200,000",
경기 고양시, 삿뽀로 백석점,시간협의,"월급2,300,000",
경기 고양시, 삿뽀로 백석점,시간협의,"월급2,300,000",
경기 고양시, 삿뽀로 백석점,시간협의,"월급2,300,000",
경기 하남시, 삿뽀로 하남점,10:00~22:00,"월급2,300,000",
경기 하남시, 삿뽀로 하남점,10:00~22:00,"월급2,300,000",
경기 하남시, 삿뽀로 하남점,10:00~22:00,"월급2,300,000",
경기 하남시, 삿뽀로 하남점,10:00~22:00,"월급2,300,000",
인천 연수구, 삿뽀로 한옥마을점,10:00~22:00,"월급2,300,000",
인천 연수구, 삿뽀로 한옥마을점,시간협의,"시급8,750",
인천 연수구, 삿뽀로 한옥마을점,시간협의,"월급2,200,000",
인천 연수구, 삿뽀로 한옥마을점,시간협의,"시급8,750",
서울 관악구, 삿뽀로 서초점,10:00~22:00,"월급2,300,000",
서울 동작구, 삿뽀로 서초점,10:00~22:00,"월급2,300,000",
서울 동작구, 삿뽀로 서초점,10:00~22:00,"월급2,800,000",
울산 남구, 경복궁 울산점,10:00~22:00,"월급2,250,000",
울산 중구, 경복궁 울산점,10:00~22:00,"월급2,250,000",
부산 해운대, 경복궁 부산점,10:00~22:00,"월급2,150,000",
부산 해운대, 경복궁 부산점,10:00~22:00,"월급2,150,000",
부산 해운대, 경복궁 부산점,10:00~22:00,"월급2,150,000",
