place,title,time,pay,date
인천 미추홀, 크라운호프 인천용현점,16:00~23:00,"월급1,900,000",
경기 안양시, 크라운호프 관양점,18:30~22:30,"시급9,500",
인천 남동구, 크라운호프 인천서창2지구점,17:00~24:00,"시급9,500",
광주 광산구, 크라운호프 광주신창,18:00~01:00,"시급10,000",
광주 남구, 크라운호프 봉선점,19:00~00:00,"시급8,720",
광주 남구, 크라운호프 봉선점,19:00~00:00,"시급8,720",
전북 김제시, 크라운호프 전북김제점,05:00~12:00,"시급9,500",
세종 전체, 크라운호프 세종고운,17:30~22:30,"시급10,380",
전북 전주시, 크라운호프 전주호성점,16:00~02:00,"월급2,500,000",
전북 김제시, 크라운호프 전북김제점,17:00~12:00,"시급9,500",
대구 달서구, 크라운호프 대구대곡점,시간협의,"시급9,000",
충남 천안시, 크라운호프 천안두정점,18:00~05:00,"월급2,510,000",
울산 울주군, 크라운호프 울산천상,시간협의,"시급8,800",
세종 전체, 크라운호프 세종고운,17:30~22:30,"시급10,380",
전북 전주시, 크라운호프 송천2호점,시간협의,"시급10,000",
제주 제주시, 크라운호프 연동점,22:00~23:00,"시급9,000",
전북 전주시, 크라운호프 전주호성점,16:00~02:00,"월급2,500,000",
경북 경주시, 금복주류 경주용황점,시간협의,"시급9,000",
경남 김해시, 크라운호프 김해주촌,시간협의,"시급8,720",
경남 김해시, 크라운호프 김해주촌,17:00~01:00,"월급2,000,000",
경북 경주시, 크라운호프 경주안강,시간협의,"시급9,000",
전북 전주시, 크라운호프 전주삼천점,20:00~00:00,"시급9,000",
경기 부천시, 크라운호프 신중동점,시간협의,"시급9,000",
경북 경산시, 크라운호프 경산하양점,23:00~04:00,"시급8,720",
충남 천안시, 크라운호프 천안두정점,18:00~05:00,"월급2,510,000",
경기 성남시, 경성주막1929 성남태평,시간협의,"월급2,400,000",
부산 사하구, 크라운호프 부산동아대,17:00~04:00,"월급2,550,000",
광주 남구, 크라운호프 봉선점,19:00~00:00,"시급8,720",
전남 여수시, 크라운호프 장성마을점,19:00~24:00,"시급10,000",
인천 부평구, 크라운호프 삼산점,시간협의,"시급9,000",
서울 강서구, 크라운호프 마곡나루,15:00~22:30,"시급9,500",
울산 울주군, 크라운호프 울산천상,시간협의,"시급8,800",
충남 천안시, 크라운호프 천안두정점,18:00~05:00,"월급2,510,000",
전북 전주시, 크라운호프 전주호성점,시간협의,"시급9,000",
전북 전주시, 크라운호프 전주삼천점,20:00~00:00,"시급9,000",
전북 전주시, 크라운호프 전주삼천점,20:00~00:00,"시급9,000",
경남 창원시, 크라운호프 창원봉곡점,17:30~03:00,"월급2,400,000",
경남 창원시, 크라운호프 창원봉곡점,17:30~00:30,"시급9,000",
인천 미추홀, 크라운호프 인천용현점,17:00~22:30,"시급8,800",
부산 사하구, 크라운호프 부산동아대,17:00~04:00,"월급2,550,000",
