place,title,time,pay,date
부산 북구, 교촌치킨 부산남북부 만덕1호점,17:00~22:00,"시급9,000",
서울 강동구, 교촌치킨 서울 길1호,12:00~24:00,"월급3,100,000",
서울 송파구, 교촌치킨 서울동부 문정법조점,17:00~24:00,"시급12,000",
서울 강동구, 교촌치킨 서울 길1호,18:00~20:00,"시급12,000",
서울 동작구, 교촌치킨 상도,18:00~24:00,"시급9,500",
서울 동작구, 교촌치킨 상도,12:00~24:00,"월급2,500,000",
서울 강서구, 교촌치킨 서울서부 강서구청점,시간협의,"시급10,500",
서울 강서구, 교촌치킨 서울서부 강서구청점,시간협의,"시급10,500",
광주 북구, 교촌치킨 첨단신용점,18:00~22:00,"시급8,720",
광주 북구, 교촌치킨 첨단신용점,18:00~22:00,"시급8,720",
서울 강서구, 교촌치킨 서울서부 강서구청점,시간협의,"시급10,500",
서울 도봉구, 교촌치킨 서울 창3동,18:00~24:00,"시급8,800",
경기 시흥시, 교촌치킨 신천1호점,18:00~00:30,"시급9,000",
경기 시흥시, 교촌치킨 신천1호점,18:00~00:30,"시급9,000",
서울 강동구, 교촌치킨 서울동부 상일점,시간협의,"시급12,000",
경기 군포시, 교촌치킨 경기중부 산본역점,17:00~22:00,"시급9,000",
경기 군포시, 교촌치킨 경기중부 산본역점,17:00~22:00,"시급9,000",
경기 군포시, 교촌치킨 경기중부 산본역점,17:00~22:00,"시급9,000",
경기 군포시, 교촌치킨 경기중부 산본역점,17:00~22:00,"시급9,000",
서울 강서구, 교촌치킨 서울서부 강서구청점,시간협의,"시급10,500",
대전 대덕구, 교촌치킨 대전 법동점,17:00~23:00,"시급11,000",
서울 동작구, 교촌치킨 상도,12:00~24:00,"월급2,500,000",
서울 동작구, 교촌치킨 상도,18:00~24:00,"시급9,500",
충북 청주시, 교촌치킨 용암2호,18:00~21:00,"시급9,000",
부산 금정구, 교촌치킨 구서1호,18:00~24:00,"시급8,720",
부산 금정구, 교촌치킨 구서1호,18:00~24:00,"시급8,720",
울산 중구, 교촌치킨 울산 태화점,17:30~24:00,"시급11,000",
경기 의정부, 교촌치킨 민락,17:00~24:00,"시급9,000",
경기 의정부, 교촌치킨 민락,17:00~23:00,"시급10,000",
경기 의정부, 교촌치킨 민락,17:00~23:00,"시급10,000",
서울 송파구, 교촌치킨 서울동부 문정법조점,17:00~24:00,"시급12,000",
광주 서구, 교촌치킨 화정2호,17:00~24:00,"시급9,500",
서울 강동구, 교촌치킨 서울 길1호,11:30~24:00,"월급3,100,000",
광주 서구, 교촌치킨 화정2호,17:00~24:00,"시급11,000",
광주 남구, 교촌치킨 화정2호,17:00~24:00,"시급11,000",
광주 남구, 교촌치킨 화정2호,12:00~24:00,"시급11,000",
대구 달성군, 교촌치킨 옥포,18:00~23:00,"시급8,720",
광주 서구, 교촌치킨 광주 쌍촌1호,12:00~24:00,"시급10,000",
부산 사하구, 교촌치킨 괴정1호,16:30~23:30,"월급1,740,000",
광주 서구, 교촌치킨 광주 쌍촌1호,17:00~24:00,"시급9,000",
