place,title,time,pay,date
경기 양주시, (주)이마트,09:00~21:00,"시급9,990",
경기 파주시, 노브랜드 파주다율점,09:00~22:30,"시급9,990",
대전 서구, 노브랜드탄방점,08:00~22:00,"시급9,990",
인천 연수구, 노브랜드 인천송도센트럴점,시간협의,"시급9,990",
경기 안양시, 노브랜드 안양평촌점,08:00~16:00,"시급9,990",
대전 중구, (주)이마트(노브랜드 대전세이백화점),08:00~21:00,"시급9,990",
경기 김포시, (주)이마트,10:30~22:00,"시급9,990",
경기 남양주, (주)이마트 노브랜드,08:30~22:00,"시급9,990",
세종 전체, 노브랜드 세종아름점,09:00~17:00,"시급9,990",
경기 구리시, 노브랜드 구리갈매점,08:00~22:00,"시급9,990",
충남 공주시, 노브랜드 공주신관동점,08:00~22:30,"시급9,990",
경기 시흥시, 노브랜드 시흥목감점,08:00~22:00,"시급9,990",
전남 나주시, (주)이마트,08:00~22:00,"시급9,990",
서울 강서구, 이마트 No Brand 강서가양점,시간협의,"시급9,990",
서울 강남구, 노브랜드 강남세곡점,08:00~22:30,"시급9,990",
서울 강서구, 이마트 No Brand 강서가양점,시간협의,"시급9,990",
인천 연수구, 노브랜드 송도센트럴점,시간협의,"시급9,990",
경기 화성시, 노브랜드 화성동탄리치안점,09:00~17:00,"시급9,990",
경기 고양시, (주)이마트 노브랜드 고양도내점,09:00~22:30,"시급9,990",
서울 강남구, 노브랜드 강남세곡점,08:00~22:30,"시급9,990",
경기 하남시, (주)이마트,10:30~22:30,"시급9,990",
세종 전체, 노브랜드 세종아름점,09:00~17:00,"시급9,990",
경기 고양시, (주)이마트,시간협의,"시급9,990",
서울 강남구, (주)이마트 노브랜드,08:00~22:00,"시급9,990",
경기 양주시, (주)이마트,09:00~21:00,"시급9,990",
경기 고양시, (주)이마트,시간협의,"시급9,990",
세종 조치원읍, (주)이마트 노브랜드세종조치원점,09:00~22:00,"시급9,990",
경기 성남시, (주)이마트,08:00~22:30,"시급9,990",
경기 수원시, (주)이마트,08:30~16:30,"시급9,990",
경기 파주시, 노브랜드 파주다율점,09:00~22:30,"시급9,990",
경기 성남시, (주)이마트,08:00~22:30,"시급9,990",
대전 서구, 노브랜드 대전관저점,08:00~22:00,"시급9,990",
경기 고양시, (주)이마트 노브랜드 고양도내점,09:00~22:30,"시급9,990",
경기 남양주, (주)이마트,08:30~16:30,"시급9,990",
경기 오산시, 노브랜드 오산금암점,09:00~17:00,"시급9,990",
경기 시흥시, 노브랜드 시흥목감점,08:00~22:00,"시급9,990",
서울 금천구, 노브랜드 마리오아울렛점,09:00~21:30,"시급9,990",
서울 금천구, 노브랜드 마리오아울렛점,09:00~21:30,"시급9,990",
경기 수원시, (주)이마트 노브랜드 수원호매실2점,08:30~10:30,"시급9,700",
대전 서구, 노브랜드탄방점,08:00~22:00,"시급9,990",
