place,title,time,pay,date
서울 관악구, 다이소 봉천2호점,08:00~17:00,"월급1,822,480",
경기 안산시, 다이소 안산선부점,09:00~18:00,"월급1,822,480",
경기 안산시, 다이소 안산선부점,09:00~15:00,"시급8,720",
경기 안산시, 다이소 안산고잔본점,09:00~18:00,"월급1,822,480",
경기 안산시, 다이소 안산중앙점,16:00~22:00,"시급8,720",
경기 안양시, 다이소 관양시장점,10:00~16:00,"시급8,720",
경기 안양시, 다이소 관양시장점,07:30~16:30,"월급1,822,480",
경기 안산시, 다이소 상록수역점,09:30~18:30,"월급1,822,480",
경기 김포시, 다이소 김포풍무로점,08:00~17:00,"월급1,822,480",
경기 김포시, 다이소 김포풍무로점,16:00~22:00,"시급8,720",
인천 서구, 다이소 인천검단사거리역점,16:00~22:00,"시급8,720",
인천 서구, 다이소 인천검단사거리역점,08:00~17:00,"월급1,822,480",
경기 김포시, 다이소 김포감정본점,10:00~16:00,"시급8,720",
인천 서구, 다이소 인천가정동점,10:00~16:00,"시급8,720",
경기 화성시, 동탄2신도시점,시간협의,"월급1,822,480",
인천 강화군, 다이소 강화본점,15:00~21:00,"시급8,720",
인천 미추홀, 다이소 인천도화동점,07:00~16:00,"월급1,822,480",
인천 미추홀, 다이소 인천도화동점,16:00~22:00,"시급8,720",
경기 오산시, 다이소 오산점,시간협의,"월급1,822,480",
경기 화성시, 다이소 화성봉담2호점,시간협의,"월급1,822,480",
경기 수원시, 다이소 수원호매실점,시간협의,"월급1,822,480",
경기 수원시, 다이소 수원호매실점,시간협의,"월급1,822,480",
경기 김포시, 다이소 김포구래점,08:00~17:00,"월급1,822,480",
경기 수원시, 다이소 수원역점,시간협의,"월급1,822,480",
인천 연수구, 다이소 송도트리플스트리트점,10:00~16:00,"시급8,720",
인천 미추홀, 다이소 인천신기사거리점,08:00~14:00,"시급8,720",
인천 미추홀, 다이소 인천신기사거리점,08:00~17:00,"월급1,822,480",
인천 남동구, 다이소 인천서창점,08:00~17:00,"월급1,822,480",
인천 부평구, 다이소 부평2호점,07:00~13:00,"시급8,720",
경기 화성시, 다이소 동탄점,시간협의,"월급1,822,480",
인천 연수구, 다이소 인천옥련시장점,08:30~17:30,"월급1,822,480",
인천 연수구, 다이소 인천옥련시장점,15:00~21:00,"시급8,720",
인천 연수구, 다이소 인천송도1호점,07:00~16:00,"월급1,822,480",
경기 김포시, 다이소 김포장기점,07:00~16:00,"월급1,822,480",
경기 안성시, 다이소 안성2호점,시간협의,"월급1,822,480",
인천 미추홀, 다이소 인천석바위점,16:00~22:00,"시급8,720",
서울 강서구, 다이소 가양역2호점,16:00~22:00,"시급8,720",
제주 제주시, 다이소 제주노형점,16:00~22:00,"시급8,720",
경기 용인시, 광교상현역점,시간협의,"월급1,822,480",
인천 동구, 다이소 인천송림점,08:00~14:00,"시급8,720",
