place,title,time,pay,date
울산 남구, 대한곱창 울산달동점,17:00~24:00,"시급8,800",
울산 남구, 대한곱창 울산달동점,17:00~24:00,"시급8,800",
경기 광주시, 대한곱창 광주초월점,시간협의,"시급9,000",
경기 광주시, 대한곱창 광주초월점,시간협의,"시급9,000",
경기 광주시, 대한곱창 광주초월점,시간협의,"시급9,000",
세종 소담동, 대한곱창 세종소담점,18:30~22:00,"시급9,000",
세종 소담동, 대한곱창 세종소담점,18:30~22:30,"시급9,000",
경기 남양주, 대한곱창 마석점,17:00~22:00,"시급9,000",
충북 청주시, 대한곱창 청주지웰점,18:00~24:00,"시급9,200",
충북 청주시, 대한곱창 청주지웰점,19:00~22:00,"시급12,000",
세종 소담동, 대한곱창 세종소담점,14:00~24:00,"월급2,400,000",
서울 노원구, 대한곱창 중계점,14:00~23:00,"월급2,300,000",
울산 남구, 대한곱창 울산달동점,17:00~24:00,"시급8,800",
부산 남구, 대한곱창 부산경성대점,19:00~22:00,"시급8,720",
부산 남구, 대한곱창 부산경성대점,18:30~21:30,"시급8,720",
부산 남구, 대한곱창 부산경성대점,18:00~21:30,"시급8,720",
서울 송파구, 대한곱창 문정역점,15:00~22:00,"시급10,500",
서울 노원구, 대한곱창 중계점,14:00~23:00,"월급2,300,000",
부산 금정구, 대한곱창 부산대점,시간협의,"월급2,200,000",
부산 금정구, 대한곱창 부산대점,시간협의,"월급2,200,000",
부산 금정구, 대한곱창 부산대점,시간협의,"월급2,200,000",
부산 금정구, 대한곱창 부산대점,시간협의,"월급2,200,000",
충북 충주시, 대한곱창 충주점,17:00~22:00,"시급10,000",
서울 노원구, 대한곱창 중계점,14:00~23:00,"월급2,300,000",
울산 남구, 대한곱창 울산달동점,17:00~24:00,"시급8,800",
부산 강서구, 대한곱창 부산명지점,17:00~22:00,"시급10,000",
부산 강서구, 대한곱창 부산명지점,15:00~24:00,"월급2,500,000",
광주 서구, 대한곱창 광주금호점,18:30~22:00,"시급8,720",
서울 전체, 대한곱창 선릉점,10:30~22:30,"월급2,400,000",
서울 전체, 대한곱창 선릉점,10:30~22:30,"월급2,800,000",
전남 여수시, 대한곱창 여수웅천점,22:00~02:00,"월급1,600,000",
경기 용인시, 대한곱창 수지구청점,17:30~21:30,"시급10,000",
경기 광주시, 대한곱창 광주초월점,시간협의,"시급9,000",
경기 김포시, 대한곱창 걸포북변역점,14:00~24:00,"건별2,200,000",
충북 충주시, 대한곱창 충주점,17:00~23:00,"시급9,000",
서울 전체, 대한곱창 선릉점,10:30~22:30,"월급2,800,000",
경기 남양주, 대한곱창 마석점,17:00~22:00,"시급9,000",
부산 강서구, 대한곱창 부산명지점,15:00~24:00,"월급2,500,000",
부산 강서구, 대한곱창 부산명지점,17:00~22:00,"시급10,000",
충북 충주시, 대한곱창 충주점,18:00~22:00,"시급9,000",
