place,title,time,pay,date
경남 창원시, 도미노피자 마산교방점,18:00~22:30,"시급10,500",
경기 포천시, 도미노피자 포천송우점,11:00~22:30,"시급9,500",
경기 포천시, 도미노피자 포천송우점,11:00~22:30,"시급9,500",
경기 포천시, 도미노피자 포천송우점,11:00~22:30,"시급9,500",
전북 전주시, 도미노피자 전주서신점,11:30~22:30,"시급8,720",
전북 전주시, 도미노피자 전주서신점,11:30~22:30,"시급8,720",
전북 전주시, 도미노피자 전주서신점,11:30~22:30,"시급8,720",
전북 전주시, 도미노피자 전주서신점,11:30~22:30,"시급8,720",
경기 성남시, 도미노피자 판교점,11:00~22:00,"시급8,720",
경기 성남시, 도미노피자 판교점,11:00~22:00,"시급8,720",
경기 성남시, 도미노피자 판교점,11:00~22:00,"시급8,720",
경기 성남시, 도미노피자 판교점,11:00~22:00,"시급8,720",
경기 고양시, 도미노피자 일산점,시간협의,"주급600,000",
경기 고양시, 도미노피자 일산점,시간협의,"주급600,000",
경기 고양시, 도미노피자 일산점,시간협의,"주급600,000",
경기 고양시, 도미노피자 일산점,시간협의,"주급600,000",
경기 화성시, 도미노피자 발안향남점,11:00~22:00,"시급10,000",
경기 화성시, 도미노피자 발안향남점,11:00~22:00,"시급10,000",
경기 고양시, 도미노피자 원당점,12:00~22:00,"시급9,500",
경기 화성시, 도미노피자 발안향남점,11:00~22:00,"시급10,000",
경기 안양시, 도미노피자 평촌점,시간협의,"시급12,000",
경기 안양시, 도미노피자 평촌점,시간협의,"시급12,000",
경기 안양시, 도미노피자 평촌점,시간협의,"시급12,000",
경기 안양시, 도미노피자 평촌점,11:00~22:00,"시급8,720",
서울 성북구, 도미노피자 미아점,11:30~22:00,"주급550,000",
경기 고양시, 도미노피자 대화점,11:30~22:30,"주급650,000",
부산 북구, 도미노피자 덕천점,11:00~22:00,"시급11,000",
부산 북구, 도미노피자 덕천점,11:00~22:00,"시급11,000",
서울 노원구, 도미노피자 월계점,11:30~22:30,"주급450,000",
서울 노원구, 도미노피자 월계점,11:30~22:30,"주급450,000",
서울 노원구, 도미노피자 월계점,11:30~22:30,"주급450,000",
서울 노원구, 도미노피자 월계점,11:30~22:30,"주급450,000",
울산 동구, 도미노피자 울산전하점,시간협의,"시급10,500",
부산 북구, 도미노피자 덕천점,11:00~22:00,"시급11,000",
부산 북구, 도미노피자 덕천점,11:00~22:00,"시급11,000",
인천 남동구, 도미노피자 인천만수점,11:30~22:30,"시급11,000",
대구 전체, 도미노피자 대구 중앙점,11:30~23:00,"시급10,000",
경북 안동시, 도미노피자 안동점,시간협의,"시급8,720",
경기 평택시, 도미노피자 송탄점,11:00~22:30,"시급8,720",
경기 안성시, 도미노피자 공도점,11:30~22:00,"시급14,000",
