place,title,time,pay,date
강원 강릉시, 도야족발보쌈 강릉점,17:00~23:00,"시급9,000",
강원 강릉시, 도야족발보쌈 강릉점,17:00~23:00,"시급9,000",
강원 강릉시, 도야족발보쌈 강릉점,17:00~23:00,"시급9,000",
강원 강릉시, 도야족발보쌈 강릉점,17:00~23:00,"시급9,000",
전남 순천시, 도야족발보쌈 조례점,시간협의,"월급2,500,000",
서울 중랑구, 도야족발보쌈 신내점,13:00~00:00,"월급2,800,000",
전남 순천시, 도야족발보쌈 조례점,시간협의,"시급9,000",
부산 전체, 도야족발보쌈 연산점,14:30~21:00,"시급9,200",
전남 순천시, 도야족발보쌈 조례점,시간협의,"월급2,500,000",
강원 강릉시, 도야족발보쌈 강릉점,17:00~01:00,"시급9,000",
부산 강서구, 도야족발보쌈 명지점,시간협의,"시급9,000",
부산 강서구, 도야족발보쌈 명지점,시간협의,"월급2,600,000",
부산 사하구, 도야족발보쌈 하단점,18:00~21:00,"시급9,000",
경남 김해시, 도야족발보쌈 물금점2,18:00~22:00,"시급8,800",
서울 중랑구, 도야족발보쌈 신내점,13:00~00:00,"월급2,800,000",
광주 서구, 도야족발보쌈 쌍촌점,15:00~24:00,"월급2,349,210",
