place,title,time,pay,date
전남 광양시, 딜리온 [딜리온] 전남광양지사,시간협의,"일급200,000",
전남 광양시, 딜리온 [딜리온] 전남광양지사,시간협의,"일급200,000",
전남 광양시, 딜리온 [딜리온] 전남광양지사,시간협의,"일급200,000",
경기 오산시, [딜리온] 경기 오산점,10:00~22:00,"월급5,000,000",
경기 오산시, [딜리온] 경기 오산점,10:00~22:00,"연봉70,000,000",
대구 달서구, [딜리온] 대구용산점,00:00~24:00,"건별4,000",
대구 달서구, [딜리온] 대구달서점,00:00~24:00,"건별4,000",
경기 오산시, 딜리온 [딜리온] 경기오산지사,08:00~02:00,"일급300,000",
경기 오산시, 딜리온 [딜리온] 경기오산지사,시간협의,"연봉100,000,000",
대구 달성군, 딜리온 [딜리온] 대구 구지지점,시간협의,"일급150,000",
대구 달성군, 딜리온 [딜리온] 대구 구지지점,시간협의,"일급150,000",
대구 달성군, 딜리온 [딜리온] 대구 구지지점,시간협의,"일급150,000",
경기 오산시, 딜리온 [딜리온]경기오산2지사,시간협의,"시급30,000",
경기 오산시, 딜리온 [딜리온]경기오산2지사,시간협의,"시급20,000",
경기 오산시, 딜리온 [딜리온]경기오산2지사,시간협의,"시급20,000",
대구 달서구, [딜리온] 대구용산점,00:00~24:00,"건별4,000",
대구 달서구, [딜리온] 대구다사점,00:00~24:00,"건별4,000",
대구 달서구, [딜리온] 대구다사점,00:00~24:00,"건별4,000",
대구 달서구, [딜리온] 대구용산점,00:00~24:00,"건별4,000",
대구 달서구, [딜리온] 대구달서점,00:00~24:00,"건별4,000",
전북 전주시, [딜리온] 전주지사,09:00~03:00,"월급5,000,000",
전북 전주시, [딜리온] 전주지사,09:00~03:00,"월급5,000,000",
전북 전주시, [딜리온] 전주지사,시간협의,"월급5,000,000",
경기 평택시, 딜리온 [딜리온]경기평택지사,시간협의,"건별3,500",
경기 평택시, 딜리온 [딜리온]경기평택지사,시간협의,"건별3,500",
서울 전체, 딜리온 [딜리온] 서울 은평지사,시간협의,"건별4,300",
경기 수원시, 딜리온 [딜리온]수원온수골지사,09:00~03:00,"월급4,000,000",
경기 수원시, 딜리온 [딜리온]수원온수골지사,09:00~03:00,"월급4,000,000",
경기 고양시, 딜리온 [딜리온]경기원당지사,시간협의,"건별3,200",
대구 전체, [딜리온] 대구두류점,시간협의,"월급4,000,000",
대구 전체, [딜리온] 대구두류점,시간협의,"월급4,000,000",
대구 서구, 딜리온 [딜리온] 대구중리동지사,시간협의,"일급200,000",
대구 서구, 딜리온 [딜리온] 대구중리동지사,시간협의,"일급200,000",
대구 북구, [딜리온] 대구사수점,11:00~24:00,"월급4,000,000",
대구 북구, [딜리온] 대구사수점,11:00~24:00,"월급4,000,000",
대구 북구, [딜리온] 대구사수점,11:00~24:00,"월급4,000,000",
인천 부평구, 딜리온 [딜리온]부천부개지사,10:00~01:00,"월급5,000,000",
인천 미추홀, 딜리온 [딜리온] 미추홀숭의지사,시간협의,"일급200,000",
인천 미추홀, 딜리온 [딜리온] 미추홀숭의지사,시간협의,"일급200,000",
인천 미추홀, 딜리온 [딜리온] 미추홀숭의지사,시간협의,"일급200,000",
