place,title,time,pay,date
대전 유성구, 대전 궁동지점,시간협의,"일급200,000",
대전 유성구, 대전 궁동지점,시간협의,"일급200,000",
대전 유성구, 대전 궁동지점,시간협의,"일급200,000",
대전 중구, 딜버 대전 서구본점,00:00~24:00,"일급250,000",
대전 서구, 딜버 대전 서구본점,00:00~24:00,"일급250,000",
대전 유성구, 딜버 원신흥지점,시간협의,"일급250,000",
대전 유성구, 딜버 원신흥지점,시간협의,"일급250,000",
대전 유성구, 딜버 원신흥지점,시간협의,"일급250,000",
경기 화성시, 딜버 화성 봉담점,10:00~02:00,"일급200,000",
경기 화성시, 딜버 화성 봉담점,10:00~02:00,"일급200,000",
경기 부천시, 딜버 부천원미점,시간협의,"일급150,000",
경기 부천시, 딜버 부천원미점,11:00~23:00,"일급200,000",
경기 부천시, 부천경인점,시간협의,"일급200,000",
경기 부천시, 부천경인점,시간협의,"일급200,000",
경기 부천시, 부천경인점,시간협의,"일급200,000",
경기 부천시, 부천2호점,시간협의,"일급150,000",
경기 부천시, 부천2호점,시간협의,"월급5,000,000",
경기 부천시, 딜버 부천점,시간협의,"일급200,000",
경기 부천시, 딜버 부천점,시간협의,"월급5,000,000",
경기 부천시, 딜버 부천점,시간협의,"월급5,000,000",
경기 양주시, 딜버 딜버 경기양주옥정점,시간협의,"일급200,000",
경기 양주시, 딜버 딜버 경기양주옥정점,시간협의,"일급200,000",
경기 양주시, 딜버 딜버 경기양주옥정점,시간협의,"일급200,000",
대전 서구, 딜버 대전가수원점,시간협의,"일급250,000",
대전 서구, 딜버 대전가수원점,시간협의,"일급250,000",
전북 익산시, 딜버 익산본점,시간협의,"일급250,000",
전북 익산시, 딜버 익산본점,시간협의,"일급250,000",
전북 익산시, 딜버 익산본점,시간협의,"일급250,000",
경남 김해시, 장유3지점,08:00~04:00,"일급200,000",
경남 김해시, 장유3지점,08:00~04:00,"일급200,000",
대전 유성구, 딜버 대전 원내점,시간협의,"일급200,000",
대전 유성구, 딜버 대전 원내점,시간협의,"일급200,000",
전남 목포시, 딜버 목포점,시간협의,"일급150,000",
전남 목포시, 딜버 목포점,시간협의,"일급150,000",
전남 목포시, 딜버 목포점,시간협의,"일급150,000",
강원 강릉시, 딜버 강릉점,시간협의,"건별3,200",
광주 북구, 광주신안점,18:00~03:00,"일급160,000",
광주 북구, 광주신안점,18:00~03:00,"일급160,000",
광주 북구, 딜버 광주 용봉점,18:00~24:00,"일급200,000",
광주 북구, 딜버 광주 용봉점,18:00~24:00,"일급200,000",
