place,title,time,pay,date
서울 서초구, 러쉬 신세계강남,시간협의,"시급10,790",
서울 양천구, (주)러쉬코리아 현대목동점,시간협의,"시급10,790",
서울 중구, 러쉬 명동역,12:00~21:00,"시급10,790",
서울 서초구, (주)러쉬코리아 강남역점,10:00~22:00,"시급10,790",
서울 강남구, 러쉬 현대본점,09:30~20:30,"시급10,790",
대전 서구, 러쉬 갤러리아 타임월드점,10:00~20:30,"시급10,790",
서울 송파구, (주)러쉬코리아,12:00~21:00,"시급10,790",
경기 고양시, (주)러쉬코리아,시간협의,"시급10,790",
경기 용인시, (주)러쉬코리아,12:00~21:00,"시급10,790",
대전 서구, 러쉬 롯데백화점 대전점,10:00~20:30,"시급10,790",
서울 서초구, (주)러쉬코리아 강남역점,10:00~22:00,"시급10,790",
서울 강남구, 러쉬 스타필드코엑스점,12:00~21:00,"시급10,790",
서울 마포구, (주)러쉬코리아,시간협의,"시급107,490",
대구 전체, (주)러쉬코리아,10:00~20:30,"시급10,790",
울산 남구, (주)러쉬코리아,10:00~20:30,"시급10,790",
경기 부천시, (주)러쉬코리아,시간협의,"시급10,790",
대전 서구, 러쉬 롯데백화점 대전점,10:00~20:30,"시급10,790",
경기 화성시, (주)러쉬코리아,시간협의,"시급10,790",
서울 강북구, (주)러쉬코리아,10:00~20:30,"시급10,790",
충북 진천군, 러쉬코리아,10:00~18:00,"시급10,790",
경기 수원시, (주)러쉬코리아,09:30~20:30,"시급10,790",
경기 수원시, (주)러쉬코리아,09:30~20:30,"시급10,790",
경기 성남시, (주)러쉬코리아,시간협의,"시급10,790",
부산 전체, (주)러쉬코리아,시간협의,"시급10,790",
