place,title,time,pay,date
경기 안양시, 롯데리아 평촌주공공이점,시간협의,"시급8,720",
서울 강동구, 롯데리아 암사역점,시간협의,"시급8,720",
서울 강남구, 롯데리아 강남일원동점,10:00~23:30,"시급8,720",
인천 부평구, 롯데리아 부평점,시간협의,"월급1,822,480",
경기 성남시, 롯데리아 위례우남역점,시간협의,"월급2,200,000",
경기 안양시, 롯데리아 안양점,시간협의,"시급8,720",
경기 안양시, 롯데리아 안양점,시간협의,"시급8,720",
경기 안양시, 롯데리아 안양점,시간협의,"시급8,720",
경기 안양시, 롯데리아 안양점,시간협의,"시급8,720",
대전 대덕구, 롯데리아 대전송촌점,시간협의,"시급8,720",
부산 사상구, 롯데리아 부산사상점,시간협의,"시급8,720",
인천 미추홀, 롯데리아 인천학익점,18:00~23:00,"시급8,720",
서울 강동구, 롯데리아 암사역점,시간협의,"시급8,720",
경기 파주시, 롯데리아 파주당동점,시간협의,"시급8,720",
서울 관악구, 롯데리아 세이브마트점,시간협의,"월급2,500,000",
경기 부천시, 롯데리아 부천오정점,17:00~22:00,"시급8,720",
경기 군포시, 롯데리아 군포송정점,시간협의,"시급8,720",
경기 군포시, 롯데리아 군포송정점,시간협의,"시급8,720",
서울 성동구, 롯데리아 답십리점,시간협의,"시급8,720",
서울 성동구, 롯데리아 답십리점,시간협의,"시급8,720",
서울 관악구, 롯데리아 서울대입구역점,시간협의,"시급8,720",
서울 관악구, 롯데리아 서울대입구역점,시간협의,"시급8,720",
서울 관악구, 롯데리아 서울대입구역점,시간협의,"시급8,720",
경북 포항시, 롯데리아 포항죽도점,시간협의,"시급8,720",
경기 안산시, 롯데리아 안산그랑시티자이,시간협의,"월급2,000,000",
경북 포항시, 롯데리아 포항죽도점,00:00~24:00,"시급8,720",
경기 시흥시, 롯데리아 시흥제일점,18:00~22:30,"시급8,720",
경기 시흥시, 롯데리아 시흥제일점,18:00~22:30,"시급8,720",
경기 시흥시, 롯데리아 시흥제일점,18:00~22:30,"시급8,720",
경기 시흥시, 롯데리아 시흥제일점,18:00~22:30,"시급8,720",
경북 포항시, 롯데리아 포항죽도점,시간협의,"시급8,720",
서울 구로구, 롯데리아 개봉역점,17:00~23:00,"시급8,720",
서울 강남구, 롯데리아 역삼점,00:00~24:00,"시급8,720",
서울 강남구, 롯데리아 역삼점,00:00~24:00,"시급8,720",
서울 강남구, 롯데리아 역삼점,00:00~24:00,"시급8,720",
서울 강남구, 롯데리아 역삼점,00:00~24:00,"시급8,720",
경기 파주시, 롯데리아 문산점,시간협의,"월급2,200,000",
부산 남구, 롯데리아 문현점,18:00~23:00,"시급8,720",
서울 관악구, 롯데리아 세이브마트점,10:00~23:00,"시급10,480",
경기 파주시, 롯데리아 파주당동점,시간협의,"월급1,900,000",
