place,title,time,pay,date
경기 전체, 롯데마트 신갈점,00:00~24:00,"시급8,750",
서울 송파구, 롯데마트 잠실점,시간협의,"시급8,750",
서울 송파구, 롯데마트 잠실점,시간협의,"시급8,750",
제주 제주시, 롯데마트 제주점,09:00~17:00,"시급8,850",
경북 김천시, 롯데마트김천점,09:00~22:00,"시급8,750",
전남 여수시, 롯데마트여천점,10:00~18:00,"시급8,750",
경북 김천시, 롯데마트김천점,09:00~23:00,"시급8,750",
경기 전체, 롯데마트 신갈점,00:00~24:00,"시급8,750",
경기 성남시, 롯데마트 판교점,시간협의,"시급8,750",
경기 전체, 롯데마트 신갈점,00:00~24:00,"시급8,750",
충남 천안시, 롯데마트성정점,09:00~17:00,"시급8,850",
경기 시흥시, 롯데마트 배곧점,시간협의,"시급8,850",
경남 거제시, 롯데쇼핑(주)롯데마트거제점,22:00~07:00,"일급120,000",
서울 송파구, 롯데마트 잠실점,시간협의,"시급8,850",
경기 양평군, 롯데마트 경기양평점,09:00~17:00,"시급8,850",
경남 거제시, 롯데쇼핑(주)롯데마트거제점,16:30~22:00,"시급8,750",
경기 평택시, 롯데쇼핑(주)롯데마트 평택점,시간협의,"월급1,600,000",
서울 전체, 롯데쇼핑(주)롯데마트 서울양평점,10:00~18:00,"시급8,750",
경남 창원시, 롯데마트 양덕점,09:00~17:00,"시급8,750",
경기 시흥시, 롯데마트 배곧점,시간협의,"시급8,850",
경기 시흥시, 롯데마트시흥점,10:00~22:00,"시급8,750",
인천 연수구, 롯데마트 송도점,09:00~22:00,"시급8,750",
제주 제주시, 롯데마트 제주점,09:00~17:00,"시급8,850",
경기 수원시, 롯데마트 영통점,09:00~22:00,"시급8,750",
충남 서산시, 롯데쇼핑(주)롯데마트 서산점,09:30~22:00,"시급8,750",
경기 시흥시, 롯데마트 배곧점,시간협의,"시급8,850",
경기 의왕시, 롯데마트 의왕점,시간협의,"시급8,850",
경기 수원시, 롯데마트 영통점,09:00~22:00,"시급8,750",
경기 전체, 롯데쇼핑(주) 롯데마트광교점,시간협의,"시급8,850",
대전 유성구, 롯데마트 대덕점,09:00~22:00,"시급8,850",
대전 유성구, 롯데마트 대덕점,09:00~22:00,"시급8,850",
서울 은평구, 롯데마트 은평점,00:00~24:00,"시급8,750",
서울 송파구, 롯데마트송파점,시간협의,"시급8,750",
서울 송파구, 롯데마트송파점,시간협의,"시급8,750",
부산 동래구, 롯데마트동래점,07:00~15:00,"시급8,850",
경기 수원시, 롯데마트 광교점,시간협의,"시급8,850",
서울 전체, 롯데마트행당역점,시간협의,"시급8,750",
경기 평택시, 롯데쇼핑(주)롯데마트 평택점,시간협의,"시급8,850",
경기 김포시, 롯데마트 김포한강점,10:00~22:00,"시급8,750",
경기 시흥시, 롯데마트시흥점,08:00~22:00,"시급8,850",
