place,title,time,pay,date
강원 원주시, 마왕족발 원주단계점,14:00~24:00,"월급2,300,000",
서울 송파구, 마왕족발 위례신도시점,14:30~23:00,"월급2,400,000",
서울 강남구, 마왕족발 자곡점,15:00~23:00,"월급2,100,000",
강원 원주시, 마왕족발 원주단계점,14:00~24:00,"월급2,300,000",
대전 서구, 마왕족발 대전둔산직영점,11:00~20:00,"월급2,630,000",
대전 서구, 마왕족발 대전둔산직영점,11:00~20:00,"월급2,630,000",
대전 서구, 마왕족발 대전둔산직영점,11:00~20:00,"월급2,630,000",
대전 서구, 마왕족발 대전둔산직영점,11:00~20:00,"월급2,630,000",
대구 달서구, 마왕족발 대구계명대점,시간협의,"시급8,720",
경기 화성시, 마왕족발 동탄호수공원점,15:00~22:00,"시급10,500",
경기 화성시, 마왕족발 동탄호수공원점,15:00~23:00,"시급10,500",
인천 연수구, 마왕족발 인천연수점(직영),15:00~24:00,"월급2,500,000",
경기 고양시, 마왕족발 일산탄현점,18:00~02:00,"시급10,464",
경기 고양시, 마왕족발 일산탄현점,18:00~02:00,"시급10,464",
인천 서구, 마왕족발 청라점,16:00~00:30,"월급2,300,000",
부산 연제구, 마왕족발 부산연산점,17:30~20:30,"시급10,000",
서울 송파구, 마왕족발 방이점(직영),15:00~24:00,"월급2,500,000",
경기 고양시, 마왕족발 일산탄현점,18:00~02:00,"시급10,464",
경기 고양시, 마왕족발 일산탄현점,18:00~02:00,"시급10,464",
서울 송파구, 마왕족발 방이점(직영),15:00~24:00,"월급2,500,000",
경기 성남시, 마왕족발 정자점(직영),18:00~21:00,"시급10,500",
인천 계양구, 마왕족발 인천효성점,시간협의,"월급2,300,000",
인천 전체, 마왕족발 인천연수점(직영),15:00~24:00,"월급2,500,000",
인천 연수구, 마왕족발 인천연수점(직영),15:00~24:00,"시급10,464",
경기 화성시, 마왕족발 화송반송점(직영),15:00~24:00,"월급2,500,000",
경기 용인시, 마왕족발 용인동백점,11:00~23:00,"시급10,500",
강원 원주시, 마왕족발 원주단계점,14:00~24:00,"월급2,300,000",
서울 송파구, 마왕족발 방이점(직영),15:00~24:00,"월급2,500,000",
경기 성남시, 마왕족발 정자점(직영),18:00~21:00,"시급10,500",
경기 오산시, 마왕족발 오산세마역점,17:00~24:00,"시급9,000",
인천 서구, 마왕족발 인천서구청점,18:00~22:00,"시급9,000",
경기 파주시, 마왕족발 파주금릉역점,17:00~01:00,"시급10,000",
