place,title,time,pay,date
서울 마포구, 매드포갈릭 상암MBC점,11:30~20:30,"시급10,470",
경기 수원시, 매드포갈릭 수원인계점,시간협의,"시급10,470",
서울 송파구, 매드포갈릭 롯데월드타워점,13:00~22:00,"시급10,470",
경기 수원시, 매드포갈릭 롯데시네마 수원역점,시간협의,"시급10,470",
경기 성남시, 매드포갈릭 분당서현점,12:00~21:00,"시급10,470",
서울 용산구, 엠에프지코리아 매드포갈릭용산아이파크몰,시간협의,"시급10,470",
서울 강남구, 매드포갈릭 도곡점,12:00~21:00,"시급10,470",
부산 기장군, 매드포갈릭 롯데몰동부산점,시간협의,"시급10,470",
경기 평택시, (주)엠에프지코리아,18:00~21:00,"시급10,470",
인천 연수구, 매드포갈릭 송도점,12:00~21:00,"시급10,470",
서울 전체, 매드포갈릭 발산점,12:00~21:00,"시급10,470",
서울 전체, 매드포갈릭 발산점,12:00~21:00,"시급10,470",
서울 송파구, 매드포갈릭 롯데월드타워점,13:00~22:00,"시급10,470",
인천 연수구, 매드포갈릭 송도점,12:00~21:00,"시급8,720",
인천 연수구, 매드포갈릭 송도점,13:00~21:00,"시급8,720",
서울 강남구, 매드포갈릭봉은사아이파크타워점,12:00~21:00,"시급10,470",
경기 안성시, 매드포갈릭 안성스타필드점,시간협의,"시급10,470",
대전 서구, 매드포갈릭 대전둔산점,11:30~20:30,"시급10,470",
경기 성남시, 매드포갈릭 분당서현점,12:00~21:00,"시급10,470",
경기 평택시, 매드포갈릭 평택AK플라자점,시간협의,"시급10,470",
부산 기장군, 매드포갈릭 롯데몰동부산점,시간협의,"시급10,470",
서울 강남구, 매드포갈릭 도곡점,12:00~21:00,"시급10,470",
서울 강남구, 매드포갈릭 도곡점,12:00~21:00,"시급10,470",
광주 서구, 매드포갈릭 광주광천점,시간협의,"시급10,470",
서울 양천구, 매드포갈릭 목동점,18:00~21:00,"시급10,470",
경기 부천시, 매드포갈릭 부천중동현대점,18:30~21:30,"시급10,470",
서울 광진구, 매드포갈릭 건대스타시티점,시간협의,"시급10,470",
부산 기장군, 매드포갈릭 롯데몰동부산점,시간협의,"시급10,470",
경기 성남시, 판교 라스트리트점,12:00~21:00,"시급10,470",
서울 강남구, 매드포갈릭봉은사아이파크타워점,11:30~20:30,"시급10,470",
서울 송파구, 주) 엠에프지코리아 엠스테이크하우스,시간협의,"시급10,470",
서울 전체, 매드포갈릭 삼성타운점,시간협의,"시급10,470",
서울 전체, 매드포갈릭 삼성타운점,시간협의,"시급10,470",
서울 전체, 매드포갈릭 삼성타운점,시간협의,"시급10,470",
서울 전체, 매드포갈릭 삼성타운점,시간협의,"시급10,470",
서울 전체, (주)엠에프지코리아 매드포갈릭 잠원점,시간협의,"시급10,470",
서울 광진구, 매드포갈릭 건대스타시티점,시간협의,"시급10,470",
서울 서초구, 매드포갈릭 사당점,12:00~21:00,"시급10,470",
서울 전체, 매드포갈릭 발산점,12:00~21:00,"시급10,470",
서울 송파구, 매드포갈릭 롯데월드타워점,13:00~22:00,"시급10,470",
