place,title,time,pay,date
서울 구로구, 매머드커피 구로대명벨리온점,11:30~14:00,"시급9,000",
경기 성남시, 매머드커피 판교제2테크노벨리점,11:30~16:00,"시급10,500",
서울 영등포, 매머드커피 여의도증권가,08:00~15:00,"시급8,720",
서울 영등포, 매머드커피 여의도증권가,08:00~15:00,"시급8,720",
서울 영등포, 매머드커피 여의도증권가,08:00~15:00,"시급8,720",
서울 구로구, 매머드커피 구로대명벨리온점,11:30~14:00,"시급9,000",
경기 성남시, 매머드커피 판교제2테크노벨리점,11:30~16:00,"시급10,500",
서울 구로구, 매머드커피 구로대명벨리온점,11:30~14:00,"시급9,000",
경기 성남시, 매머드커피 판교,08:00~09:30,"시급9,200",
경기 성남시, 매머드커피 판교,11:30~16:00,"시급10,500",
경기 성남시, 매머드커피 판교,08:00~09:30,"시급9,200",
경기 성남시, 매머드커피 판교,11:30~16:00,"시급10,500",
경기 성남시, 매머드커피 판교제2테크노벨리점,11:30~16:00,"시급10,500",
경기 성남시, 매머드커피 판교제2테크노벨리점,11:30~16:00,"시급10,500",
서울 강남구, 매머드커피 선정릉,08:00~14:00,"시급10,500",
서울 구로구, 매머드커피 구로디지털중앙,08:00~15:00,"시급8,720",
인천 남동구, 매머드커피 인천시청점,19:00~22:00,"시급8,720",
인천 남동구, 매머드커피 인천시청점,19:00~22:00,"시급8,720",
서울 광진구, 매머드커피 뚝섬유원지,14:00~21:00,"시급8,720",
서울 중구, 매머드커피 명동,12:00~17:00,"시급8,720",
서울 중구, 매머드커피 소공동,시간협의,"시급8,720",
서울 강남구, 매머드커피 선정릉,08:00~14:00,"시급10,500",
서울 강남구, 매머드커피 역삼역점,17:00~22:00,"시급8,720",
서울 강남구, 매머드커피 역삼역점,18:00~23:00,"시급8,720",
서울 중구, 매머드커피 장교환화,07:00~15:00,"시급10,464",
서울 중구, 매머드커피 명동,12:00~17:00,"시급8,720",
서울 중구, 매머드커피 명동,12:00~17:00,"시급8,720",
서울 중구, 매머드커피 장교환화,07:00~13:30,"시급10,464",
서울 강남구, 매머드커피 역삼역점,18:00~23:00,"시급8,720",
서울 강남구, 매머드커피 선정릉,12:00~15:00,"시급10,500",
