place,title,time,pay,date
강원 원주시, 맥도날드 원주 단계 DT점,시간협의,"시급8,720",
경기 용인시, 맥도날드 강남대점,시간협의,"시급8,720",
광주 서구, 맥도날드 상무대점,시간협의,"시급8,720",
경기 화성시, 맥도날드 동탄 SK점,시간협의,"시급8,720",
서울 서초구, 맥도날드 서초 뱅뱅점,시간협의,"시급8,720",
대구 달서구, 맥도날드 대구 이곡 DT점,시간협의,"시급8,720",
서울 금천구, 맥도날드 마리오 아울렛점,시간협의,"시급8,720",
경북 포항시, 맥도날드 포항 II점,시간협의,"시급8,720",
서울 금천구, 맥도날드 마리오 아울렛점,시간협의,"시급8,720",
충남 천안시, 맥도날드 천안 원성 DT점,시간협의,"시급8,720",
경북 포항시, 맥도날드 포항 II점,시간협의,"시급8,720",
서울 서대문, 맥도날드 명지대점,시간협의,"시급8,720",
경남 밀양시, 맥도날드 밀양 DT점,시간협의,"시급8,720",
인천 중구, 맥도날드 신흥 DT점,시간협의,"시급8,720",
경기 군포시, 맥도날드 산본 이마트점,시간협의,"시급8,720",
부산 연제구, 맥도날드 부산 교대 DT점,시간협의,"시급8,720",
대구 수성구, 맥도날드 시지 DT점,시간협의,"시급8,720",
서울 종로구, 맥도날드 서울 동묘역점,시간협의,"시급8,720",
경기 화성시, 맥도날드 동탄 SK점,시간협의,"시급8,720",
경남 통영시, 맥도날드 통영 죽림 DT점,시간협의,"시급8,720",
경기 고양시, 맥도날드 화정점,시간협의,"시급8,720",
서울 노원구, 맥도날드 과학기술대점,시간협의,"시급8,720",
서울 도봉구, 맥도날드 쌍문 DT점,시간협의,"시급8,720",
충남 천안시, 맥도날드 천안 원성 DT점,시간협의,"시급8,720",
대구 달서구, 맥도날드 대구 본리 DT점,시간협의,"시급8,720",
인천 연수구, 맥도날드 인천 옥련 DT점,시간협의,"시급8,720",
전남 순천시, 맥도날드 순천 조례 DT점,시간협의,"시급8,720",
전남 순천시, 맥도날드 순천 조례 DT점,시간협의,"시급8,720",
경북 구미시, 맥도날드 구미 옥계 DT점,시간협의,"시급8,720",
경기 수원시, 맥도날드 수원 아주대점,시간협의,"시급8,720",
경기 화성시, 맥도날드 동탄 SK점,시간협의,"시급8,720",
경기 광명시, 맥도날드 광명 DT점,시간협의,"시급8,720",
경남 통영시, 맥도날드 통영 죽림 DT점,시간협의,"시급8,720",
대구 수성구, 맥도날드 시지 DT점,시간협의,"시급8,720",
경남 거제시, 맥도날드 옥포 SK DT점,시간협의,"시급8,720",
대구 수성구, 맥도날드 만촌 이마트점,시간협의,"시급8,720",
서울 중랑구, 맥도날드 상봉 이마트점,시간협의,"시급8,720",
전남 무안군, 맥도날드 목포 남악 DT점,시간협의,"시급8,720",
전북 정읍시, 맥도날드 전북 정읍 DT점,시간협의,"시급8,720",
경기 남양주, 맥도날드 마석 DT점,시간협의,"시급8,720",
