place,title,time,pay,date
부산 부산진, 부릉 부산부전지점,00:00~24:00,"건별3,000",
부산 부산진, 부릉 부산부전지점,00:00~24:00,"건별3,000",
부산 부산진, 부릉 부산부전지점,00:00~24:00,"건별3,000",
경기 광주시, 부릉 광주경안지점,10:00~01:00,"월급5,000,000",
부산 전체, 부릉 부산거제지점,시간협의,"건별3,200",
서울 강서구, 부릉 강서화곡지점,시간협의,"건별3,200",
서울 동작구, 부릉 동작이수지점,시간협의,"건별3,700",
경기 안양시, 부릉 안양관양지점,시간협의,"건별3,000",
부산 북구, 부릉 부산구포지점,11:00~24:00,"건별3,000",
부산 북구, 부릉 부산구포지점,11:00~24:00,"건별3,000",
서울 강남구, 부릉 강남삼성지점,10:30~23:00,"건별3,000",
서울 강남구, 부릉 강남삼성지점,10:30~23:00,"건별3,000",
충남 당진시, 부릉 당진읍내지점,시간협의,"건별3,200",
충남 당진시, 부릉 당진읍내지점,시간협의,"건별3,200",
대구 북구, 부릉 대구침산지점,시간협의,"건별3,000",
경기 안양시, 부릉 안양관양지점,시간협의,"건별3,000",
전북 전주시, 부릉 전주만성지점,10:00~01:00,"월급4,000,000",
인천 서구, 인천서구연희지점,10:00~10:00,"일급200,000",
인천 서구, 인천서구연희지점,10:00~10:00,"일급200,000",
인천 서구, 인천서구연희지점,10:00~10:00,"일급200,000",
서울 동작구, 부릉 동작노량진지점,09:00~00:00,"건별3,300",
서울 동작구, 부릉 동작노량진지점,09:00~00:00,"건별3,300",
부산 북구, 부릉 부산북구구포지점,시간협의,"일급100,000",
부산 북구, 부릉 부산북구구포지점,시간협의,"일급100,000",
경남 양산시, 부릉 양산범어지점,10:30~02:00,"월급5,000,000",
부산 동구, 부릉 부산초량지점,11:00~02:00,"월급4,000,000",
부산 동구, 부릉 부산초량지점,11:00~02:00,"월급4,000,000",
부산 동구, 부릉 부산초량지점,11:00~02:00,"월급4,000,000",
경북 경산시, 부릉 경산정평지점,10:00~02:00,"건별3,000",
경북 경산시, 부릉 경산정평지점,10:00~02:00,"건별3,000",
경북 경산시, 부릉 경산정평지점,10:00~02:00,"건별3,000",
서울 은평구, 부릉 종로교남지점,시간협의,"건별3,200",
서울 은평구, 부릉 종로교남지점,시간협의,"건별3,200",
서울 금천구, 부릉 금천시흥지점,시간협의,"일급200,000",
경기 평택시, 부릉 평택지산신장지점,10:00~01:30,"월급5,000,000",
부산 금정구, 부릉 부산장전지점,09:00~02:00,"건별3,000",
서울 강북구, 부릉 강북미아지점,09:00~00:00,"건별3,000",
서울 강북구, 부릉 강북미아지점,09:00~00:00,"건별3,000",
서울 강북구, 부릉 강북미아지점,09:00~00:00,"건별3,000",
인천 미추홀, 부릉 인천인현지점,11:00~01:00,"일급250,000",
