place,title,time,pay,date
서울 마포구, 바스버거 연남점,16:30~22:30,"시급10,464",
서울 마포구, 바스버거 연남점,16:30~22:30,"시급10,464",
서울 마포구, 바스버거 연남점,16:30~22:30,"시급10,464",
서울 마포구, 바스버거 연남점,16:30~22:30,"시급10,464",
서울 송파구, 바스버거 잠실점,10:00~21:00,"시급10,464",
서울 송파구, 바스버거 잠실점,16:00~22:30,"시급10,464",
서울 송파구, 바스버거 잠실점,16:00~22:30,"시급10,464",
서울 서대문, 바스버거 상암점,11:00~21:00,"시급10,464",
서울 마포구, 바스버거 상암점,09:30~19:00,"시급10,464",
서울 마포구, 바스버거 상암점,09:30~19:00,"시급10,464",
서울 중구, 바스버거 을지로점,17:00~22:30,"시급10,464",
서울 중구, 바스버거 을지로점,17:00~22:30,"시급10,464",
서울 중구, 바스버거 을지로점,17:00~22:30,"시급10,464",
경기 성남시, 바스버거 판교점,09:30~15:30,"시급10,464",
경기 성남시, 바스버거 판교점,17:00~22:00,"시급10,464",
경기 성남시, 바스버거 정자점,09:00~16:00,"시급10,464",
경기 성남시, 바스버거 정자점,09:00~16:00,"시급10,464",
경기 성남시, 바스버거 정자점,09:00~16:00,"시급10,464",
서울 강서구, 바스버거 마곡점,17:00~23:00,"시급10,464",
서울 강서구, 바스버거 마곡점,17:00~23:00,"시급10,464",
서울 강서구, 바스버거 마곡점,17:00~23:00,"시급10,464",
서울 강남구, 바스버거 선릉점,10:00~16:00,"시급10,464",
서울 강남구, 바스버거 선릉점,09:00~15:00,"시급10,464",
서울 송파구, 바스버거 문정역점,17:00~22:30,"시급10,464",
서울 송파구, 바스버거 문정역점,10:00~15:00,"시급10,464",
서울 송파구, 바스버거 문정역점,16:30~22:30,"연봉17,000,000",
서울 강남구, 바스버거 역삼점,16:30~22:30,"시급10,464",
서울 강남구, 바스버거 역삼점,16:30~22:30,"시급10,464",
서울 강남구, 바스버거 역삼점,16:30~22:30,"연봉17,000,000",
서울 영등포, 바스버거 국회점,17:00~22:00,"시급10,464",
서울 영등포, 바스버거 국회점,17:00~22:00,"시급10,464",
서울 영등포, 바스버거 국회점,16:30~22:30,"연봉17,000,000",
서울 영등포, 바스버거 국회점,16:30~22:30,"연봉17,000,000",
서울 용산구, 바스버거 용산점,시간협의,"월급2,500,000",
서울 용산구, 바스버거 용산점,시간협의,"월급2,500,000",
서울 용산구, 바스버거 용산점,시간협의,"월급2,500,000",
서울 용산구, 바스버거 용산점,시간협의,"시급10,000",
서울 성동구, 바스버거 성수점,09:30~15:00,"시급10,464",
서울 성동구, 바스버거 성수점,09:30~15:00,"시급10,464",
경기 성남시, 바스버거 정자점,16:30~22:30,"연봉17,000,000",
