place,title,time,pay,date
인천 연수구, 배스킨라빈스 송도 홈플러스점,시간협의,"시급9,000",
서울 동작구, 배스킨라빈스 교대점,18:30~22:00,"시급8,720",
서울 구로구, 배스킨라빈스 개봉중앙점,10:00~15:00,"시급8,720",
서울 전체, 배스킨라빈슨,19:00~22:00,"시급8,720",
경북 김천시, 배스킨리빈스 김천혁신,시간협의,"시급11,300",
경북 김천시, 배스킨리빈스 김천혁신,시간협의,"시급11,300",
경기 화성시, 배스킨라빈스 나루마을점,16:00~19:30,"시급8,720",
경북 김천시, 배스킨리빈스 김천혁신,시간협의,"시급11,300",
경북 경주시, 배스킨라빈스,18:00~23:00,"시급8,720",
서울 강서구, 양천향교역점 배스킨라빈스,18:30~23:00,"시급8,720",
서울 동작구, 배스킨라빈스 교대점,18:30~22:00,"시급8,720",
경기 화성시, 배스킨라빈스 화성안녕점,시간협의,"시급8,720",
서울 송파구, 베스킨라빈스방이점,18:00~24:00,"시급8,800",
서울 강남구, 배스킨라빈스 포이동점,시간협의,"시급8,800",
인천 연수구, 배스킨라빈스(송도호반에듀시티점),시간협의,"시급8,800",
경기 수원시, 배스킨라빈스 수원이마트점,18:00~22:30,"시급8,720",
서울 전체, 배스킨라빈슨,19:00~22:00,"시급8,720",
충북 진천군, 배스킨라빈스 충북덕산점,시간협의,"시급8,720",
부산 영도구, 배스킨라빈스(영도점),18:30~23:00,"시급8,720",
경북 구미시, 배스킨라빈스구미상모,18:00~23:00,"시급8,720",
경기 수원시, 배스킨라빈스 광교호수마을점,시간협의,"시급8,720",
서울 전체, 배스킨라빈스 청계천점,18:00~22:00,"시급8,720",
대전 동구, 배스킨라빈스 대전용운,시간협의,"월급2,000,000",
서울 강동구, 베스킨라빈스,14:00~18:00,"시급8,720",
서울 전체, 배스킨라빈스 숭실대점,16:00~23:30,"시급8,720",
광주 남구, 베스킨라빈스31 진월점,18:00~23:00,"시급8,720",
경기 수원시, 배스킨라빈스 광교호수마을점,시간협의,"시급8,720",
서울 송파구, 베스킨라빈스방이점,18:00~24:00,"시급8,800",
서울 성동구, 베스킨라빈스  성동금호점,시간협의,"시급8,800",
충남 당진시, 배스킨라빈스,19:00~23:00,"시급8,720",
전북 군산시, 배스킨라빈스군산조촌점,시간협의,"시급8,720",
대구 북구, 배스킨라빈스 산격점,19:00~23:30,"시급8,720",
경기 남양주, 배스킨라빈스 별내로데오,19:00~23:00,"시급8,720",
서울 전체, 배스킨라빈스 포이동점,00:00~24:00,"시급8,720",
인천 서구, 배스킨라빈스 인천 가정점,18:00~23:00,"시급8,720",
전남 무안군, 배스킨라빈스무안남악점,10:00~15:00,"시급8,720",
경기 성남시, 배스킨라빈스위례창곡점,18:00~23:00,"시급8,720",
경기 성남시, 배스킨라빈스위례창곡점,19:00~23:00,"시급8,720",
서울 전체, 배스킨라빈스 숭실대점,16:00~23:30,"월급1,700,000",
경기 김포시, 배스킨라빈스 김포통진점,시간협의,"시급9,000",
