place,title,time,pay,date
경기 수원시, 역전우동0410 영통역점,17:00~21:30,"시급9,000",
서울 강동구, 더본코리아 홍콩반점0410 명일동점,11:00~21:00,"월급2,100,000",
부산 서구, 홍콩반점0410 부산동대신점,11:00~21:30,"월급2,500,000",
부산 서구, 홍콩반점0410 부산동대신점,10:30~15:00,"시급8,720",
광주 동구, 역전우동0410 광주충장로점,10:00~22:00,"월급2,500,000",
서울 강서구, 더본코리아 홍콩반점0410 마곡나루역,10:30~13:30,"시급9,000",
광주 동구, 역전우동0410 광주충장로점,10:00~22:00,"월급2,500,000",
광주 동구, 역전우동0410 광주충장로점,10:00~22:00,"월급2,500,000",
서울 강서구, 더본코리아 홍콩반점0410 마곡나루역,11:00~15:00,"시급10,000",
서울 강서구, 더본코리아 홍콩반점0410 마곡나루역,10:30~14:30,"시급9,000",
경기 용인시, 더본코리아 홍콩반점0410 수지구청점,10:00~21:00,"월급2,550,000",
경남 진주시, 더본코리아 홍콩반점0410 진주초전점,18:00~20:00,"시급8,720",
서울 도봉구, 더본코리아 홍콩반점0410 방학동점,10:00~21:30,"월급2,900,000",
대전 서구, 더본코리아 역전우동0410 대전탄방역,17:00~22:30,"시급9,000",
경기 용인시, 더본코리아 홍콩반점0410 죽전단대점,11:30~15:30,"시급9,000",
대전 서구, 더본코리아 역전우동0410 대전탄방역,17:30~22:30,"시급9,000",
서울 성동구, 더본코리아 홍콩반점0410 성수역점,10:30~10:00,"시급10,000",
서울 성동구, 더본코리아 홍콩반점0410 성수역점,10:00~22:00,"월급2,800,000",
서울 성동구, 더본코리아 홍콩반점0410 성수역점,10:00~22:00,"월급2,700,000",
대구 동구, 백스비어 대구율하점,17:00~01:00,"월급1,900,000",
경기 안양시, 홍콩반점0410 안양명학역점,10:00~20:00,"시급10,000",
경북 경산시, 리춘시장 경산옥산점,17:00~03:00,"시급9,000",
서울 광진구, 더본코리아 홍콩반점0410 어린이대공,10:30~22:30,"월급2,400,000",
서울 광진구, 더본코리아 홍콩반점0410 어린이대공,10:30~22:30,"월급2,600,000",
경기 평택시, 미정국수0410 평택포승점,17:00~22:00,"시급8,720",
부산 동구, 더본코리아 홍콩반점0410 부산역점,09:30~21:00,"월급2,600,000",
경남 진주시, 더본코리아 홍콩반점0410 진주초전점,10:30~21:30,"월급2,300,000",
서울 광진구, 더본코리아 홍콩반점0410 건대입구역,11:00~17:00,"시급8,720",
부산 동래구, 더본코리아 백스비어 동래역점,19:00~03:00,"월급2,000,000",
서울 도봉구, 더본코리아 홍콩반점0410 방학동점,10:00~21:30,"월급2,900,000",
대구 전체, 더본코리아 홍콩반점0410 대구중앙로,10:00~21:00,"시급8,720",
서울 도봉구, 더본코리아 홍콩반점0410 방학동점,10:00~21:30,"월급2,900,000",
부산 부산진, 막이오름 부산서면점,시간협의,"시급8,720",
경기 성남시, 더본코리아 롤링파스타 서현역점,10:30~21:30,"월급2,300,000",
인천 부평구, 더본코리아 한신포차 인천삼산점,15:00~01:00,"월급2,700,000",
서울 영등포, 더본코리아 홍콩반점0410 신풍점,10:00~22:00,"월급2,500,000",
서울 전체, 더본코리아 홍콩반점0410 독산홈플러,10:00~21:30,"월급2,600,000",
인천 서구, 더본코리아 홍콩반점0410 인천청라점,09:00~21:00,"시급8,720",
부산 중구, 롤링파스타 부산남포점,10:30~21:30,"월급2,400,000",
경기 화성시, 한신포차 화성봉담점,15:00~03:00,"월급2,600,000",
