place,title,time,pay,date
서울 전체, 버거킹 건대입구역점,시간협의,"시급8,720",
서울 용산구, 버거킹 국제점,09:30~15:00,"시급8,720",
인천 미추홀, 버거킹 인천주안점,시간협의,"시급8,720",
서울 강서구, 버거킹 내발산점,시간협의,"시급8,720",
서울 강서구, 버거킹 내발산점,시간협의,"시급8,720",
서울 강서구, 버거킹 내발산점,시간협의,"시급8,720",
서울 강서구, 버거킹 내발산점,시간협의,"시급8,720",
경기 수원시, 버거킹 송죽SK점,시간협의,"시급8,720",
서울 강남구, 버거킹 청담점,시간협의,"시급8,720",
서울 강남구, 버거킹 청담점,시간협의,"시급8,720",
서울 강남구, 버거킹 청담점,시간협의,"시급8,720",
서울 강남구, 버거킹 청담점,시간협의,"시급8,720",
경기 고양시, 버거킹 고양삼송점,시간협의,"시급8,720",
경기 시흥시, 버거킹 시흥정왕점,시간협의,"시급8,720",
경기 수원시, 버거킹 아주대병원점,시간협의,"시급8,720",
경기 오산시, 버거킹 오산세교에스오일점,00:00~24:00,"시급8,720",
충남 천안시, 버거킹 천안원성DT점,시간협의,"시급8,720",
경기 하남시, 버거킹 하남이마트점,시간협의,"시급8,720",
경기 하남시, 버거킹 하남이마트점,시간협의,"시급8,720",
경북 포항시, 버거킹 포항철강단지SK점,시간협의,"시급8,720",
경기 하남시, 버거킹 하남이마트점,시간협의,"시급8,720",
경기 하남시, 버거킹 하남이마트점,시간협의,"시급8,720",
경기 구리시, 구리SK점,22:00~07:00,"시급8,720",
경북 포항시, 버거킹 포항철강단지SK점,시간협의,"시급8,720",
서울 노원구, 버거킹 하계점,시간협의,"시급8,720",
서울 동대문, 버거킹 경희대점,18:00~01:30,"시급8,720",
경기 광주시, 버거킹 경기광주태전점,시간협의,"시급8,720",
대구 달서구, 버거킹 대구월촌역FS점,시간협의,"시급8,720",
경북 구미시, 버거킹 구미도량DT점,16:00~24:00,"시급8,720",
서울 송파구, 버거킹 문정점,시간협의,"시급8,720",
부산 해운대, 버거킹 부산센텀오일뱅크점,시간협의,"시급8,720",
서울 금천구, 버거킹 구로점,17:30~01:30,"시급8,720",
울산 전체, 버거킹 울산신정FS점(S),시간협의,"시급8,720",
부산 부산진, 버거킹 부산태화점,시간협의,"시급8,720",
서울 영등포, 영등포KT점,00:00~24:00,"시급8,720",
경북 포항시, 버거킹 포항버스터미널점,12:00~19:00,"시급8,720",
대구 달성군, 대구테크노폴리스점,16:00~23:00,"시급8,720",
대구 동구, 대구율하점(S),시간협의,"시급8,720",
경북 구미시, 버거킹 구미이마트점,09:00~11:00,"시급8,720",
울산 동구, 울산동구오일뱅크점,시간협의,"시급8,720",
