place,title,time,pay,date
경남 창원시, 사보텐 창원시티세븐몰,12:00~16:00,"시급8,720",
서울 서초구, 사보텐 신논현점,12:00~17:00,"시급10,308",
서울 영등포, 사보텐 경방타임스퀘어점,시간협의,"시급8,720",
서울 서초구, (주)캘리스코 사보텐신논현점,12:00~17:00,"시급10,030",
서울 동대문, 사보텐 청량리역사점,시간협의,"시급8,720",
서울 동대문, 사보텐 청량리역사점,시간협의,"시급8,720",
서울 동대문, 사보텐 청량리역사점,시간협의,"시급8,720",
서울 강남구, (주)캘리스코,10:00~22:00,"시급8,720",
경기 의정부, (주)캘리스코,시간협의,"시급8,720",
서울 성북구, (주)캘리스코 현대미아점,14:00~20:00,"시급8,720",
충북 청주시, 주식회사 캘리스코 사보텐 청주 터미널,시간협의,"시급8,720",
서울 송파구, (주)캘리스코,시간협의,"시급8,720",
서울 송파구, 사보텐 딜리버리송파점,시간협의,"시급8,720",
서울 송파구, 사보텐 딜리버리송파점,시간협의,"시급8,720",
경남 창원시, 사보텐 창원시티세븐몰,12:00~16:00,"시급8,720",
광주 서구, 사보텐 신세계광주점,12:30~20:30,"시급8,720",
서울 송파구, 사보텐 딜리버리송파점,시간협의,"시급8,720",
서울 송파구, 사보텐 딜리버리송파점,시간협의,"시급8,720",
서울 서초구, 사보텐 신논현점,12:00~17:00,"시급10,308",
부산 해운대, (주)켈리스코 히바린센텀점,시간협의,"시급8,720",
경기 여주시, (주)캘리스코 히바린 여주첼시점,13:00~21:30,"시급8,720",
서울 서초구, 사보텐 교대역점,시간협의,"시급8,720",
서울 강남구, (주)캘리스코,10:00~22:00,"시급8,720",
서울 영등포, (주)캘리스코,10:00~22:00,"시급8,720",
부산 전체, 히바린 롯데부산본점,11:00~16:00,"시급8,720",
부산 전체, 히바린 롯데부산본점,11:00~16:00,"시급8,720",
부산 전체, 히바린 롯데부산본점,11:00~16:00,"시급8,720",
경남 창원시, 사보텐 신세계마산점,12:00~16:30,"시급8,720",
서울 강남구, (주)캘리스코 사보텐 코엑스점,10:00~15:00,"시급8,720",
경남 창원시, 사보텐 신세계마산점,12:00~17:00,"시급8,720",
서울 강남구, (주)캘리스코 사보텐 코엑스점,10:00~15:00,"시급8,720",
서울 서초구, 사보텐 교대역점,17:00~22:00,"시급8,720",
경남 창원시, 사보텐 신세계마산점,12:00~17:00,"시급8,720",
