place,title,time,pay,date
대전 유성구, 상무초밥 대전유성점,시간협의,"월급2,700,000",
경기 고양시, 상무초밥 일산라페스타점,시간협의,"월급4,000,000",
충남 천안시, 상무초밥 신불당점,10:00~21:00,"월급2,630,000",
충남 천안시, 상무초밥 신불당점,10:00~21:00,"월급2,630,000",
충남 천안시, 상무초밥 신불당점,10:00~21:00,"월급2,630,000",
충남 천안시, 상무초밥 신불당점,10:00~21:00,"월급2,630,000",
대전 서구, 상무초밥 대전둔산점,시간협의,"월급2,400,000",
전북 전주시, 상무초밥 전주송천점,시간협의,"월급4,000,000",
전북 전주시, 상무초밥 전주송천점,시간협의,"시급8,720",
대전 유성구, 상무초밥 대전유성점,시간협의,"월급2,700,000",
경남 창원시, 상무초밥 창원점,10:00~22:00,"월급3,500,000",
경남 창원시, 상무초밥 창원점,10:00~22:00,"월급3,500,000",
광주 서구, 상무초밥 상무점,10:00~23:00,"월급4,000,000",
전북 전주시, 상무초밥 전주도청점,시간협의,"월급2,700,000",
전북 전주시, 상무초밥 전주도청점,시간협의,"월급2,700,000",
전남 여수시, 상무초밥 여수점,10:00~22:00,"월급2,600,000",
전남 여수시, 상무초밥 여수점,시간협의,"월급2,500,000",
광주 광산구, 상무초밥 수완지구점,10:00~22:00,"월급4,000,000",
대전 서구, 상무초밥 대전둔산점,시간협의,"월급2,700,000",
경기 화성시, 상무초밥 동탄점,시간협의,"월급2,650,000",
대전 유성구, 상무초밥 대전유성점,시간협의,"월급2,700,000",
경기 김포시, 상무초밥 김포구래점,시간협의,"월급2,400,000",
전북 익산시, 상무초밥 익산점,09:00~20:00,"월급2,700,000",
대전 서구, 상무초밥 대전둔산점,시간협의,"월급2,700,000",
경남 창원시, 상무초밥 창원점,10:00~22:00,"월급3,500,000",
대전 유성구, 상무초밥 대전유성점,시간협의,"월급2,700,000",
서울 강동구, 상무초밥 길동점,시간협의,"월급3,800,000",
광주 전체, 상무초밥 용봉점,10:00~22:00,"월급3,000,000",
전남 여수시, 상무초밥 낭만포차거리점,시간협의,"월급3,000,000",
광주 서구, 상무초밥 상무점,10:00~23:00,"월급4,000,000",
전북 익산시, 상무초밥 익산점,11:00~22:00,"시급8,720",
전남 여수시, 상무초밥 낭만포차거리점,시간협의,"월급3,000,000",
전남 여수시, 상무초밥 낭만포차거리점,시간협의,"월급3,000,000",
전남 여수시, 상무초밥 낭만포차거리점,시간협의,"월급3,000,000",
서울 관악구, 상무초밥 구로디지털단지점,10:00~21:30,"월급4,500,000",
대전 서구, 상무초밥 대전둔산점,시간협의,"월급2,700,000",
광주 서구, 상무초밥 상무점,10:00~23:00,"월급4,000,000",
경기 군포시, 상무초밥 산본점,10:00~21:00,"월급2,600,000",
광주 서구, 상무초밥 상무점,10:00~23:00,"월급4,000,000",
광주 전체, 상무초밥 용봉점,10:00~22:00,"월급3,000,000",
