place,title,time,pay,date
부산 동구, 성원아이북랜드 부산중부영업본부,14:00~22:00,"월급1,000,000",
부산 부산진, 성원아이북랜드 부산중부영업본부,14:00~22:00,"월급1,000,000",
경기 용인시, 성원아이북랜드 용인영업본부,시간협의,"월급1,000,000",
경기 용인시, 성원아이북랜드 용인영업본부,시간협의,"월급1,000,000",
서울 강북구, 성원아이북랜드 성북강북영업본부,14:00~20:00,"월급1,000,000",
서울 강북구, 성원아이북랜드 성북강북영업본부,14:00~20:00,"월급1,000,000",
서울 강북구, 성원아이북랜드 성북강북영업본부,14:00~20:00,"월급1,000,000",
경기 수원시, 성원아이북랜드 수원영업본부,14:30~18:00,"월급1,000,000",
경기 수원시, 성원아이북랜드 수원영업본부,14:30~18:00,"월급1,000,000",
서울 동작구, 성원아이북랜드 동작관악영업본부,시간협의,"월급1,000,000",
서울 관악구, 성원아이북랜드 동작관악영업본부,시간협의,"월급1,000,000",
대구 북구, 성원아이북랜드 대구서북부영업본부,시간협의,"건별35,000",
서울 구로구, 성원아이북랜드 구로금천광명영업본부,시간협의,"월급1,000,000",
경기 광명시, 성원아이북랜드 구로금천광명영업본부,시간협의,"월급1,000,000",
충북 청주시, 성원아이북랜드 청주영업본부,15:00~20:00,"월급1,000,000",
충북 청주시, 성원아이북랜드 청주영업본부,15:00~20:00,"월급1,000,000",
서울 영등포, 성원아이북랜드 강서양천영업본부,14:00~20:00,"월급1,000,000",
서울 양천구, 성원아이북랜드 강서양천영업본부,14:00~20:00,"월급1,000,000",
서울 강서구, 성원아이북랜드 강서양천영업본부,14:00~20:00,"월급1,000,000",
인천 부평구, 성원아이북랜드 부천부평영업본부,13:00~18:00,"건별30,000",
경기 고양시, 성원아이북랜드 덕양영업본부,시간협의,"월급1,500,000",
경기 고양시, 성원아이북랜드 덕양영업본부,시간협의,"월급1,500,000",
경기 고양시, 성원아이북랜드 덕양영업본부,시간협의,"월급1,000,000",
대구 달서구, 성원아이북랜드 대구달서달성영업본부,시간협의,"월급1,500,000",
대구 달서구, 성원아이북랜드 대구달서달성영업본부,시간협의,"건별35,000",
대전 중구, 성원아이북랜드 대전문화영업본부,시간협의,"건별30,000",
대전 중구, 성원아이북랜드 대전문화영업본부,시간협의,"건별30,000",
대전 중구, 성원아이북랜드 대전문화영업본부,시간협의,"건별30,000",
대구 수성구, 성원아이북랜드 대구중부영업본부,10:00~20:00,"건별35,000",
대구 수성구, 성원아이북랜드 대구중부영업본부,10:00~20:00,"건별35,000",
경남 창원시, 성원아이북랜드 김해창원영업본부,시간협의,"건별35,000",
경남 김해시, 성원아이북랜드 김해창원영업본부,시간협의,"건별35,000",
경기 하남시, 성원아이북랜드 하남영업본부,시간협의,"건별11,600",
경기 하남시, 성원아이북랜드 하남영업본부,시간협의,"건별11,600",
경기 하남시, 성원아이북랜드 하남영업본부,시간협의,"월급1,000,000",
서울 송파구, 성원아이북랜드 송파영업본부,14:00~20:00,"월급1,000,000",
충남 당진시, 성원아이북랜드 아산B영업본부,시간협의,"건별30,000",
충남 당진시, 성원아이북랜드 아산B영업본부,시간협의,"건별20,000",
충남 당진시, 성원아이북랜드 아산B영업본부,시간협의,"건별20,000",
충남 아산시, 성원아이북랜드 아산영업본부,시간협의,"건별30,000",
