place,title,time,pay,date
서울 마포구, 세븐일레븐 대흥미소점,18:00~23:00,"시급8,720",
경기 평택시, 세븐일레븐 평택동아백합점,06:00~11:00,"시급8,720",
서울 마포구, 세븐일레븐 대흥미소점,13:00~18:00,"시급8,720",
부산 동래구, 세븐일레븐 부산동래SK뷰점,23:00~07:00,"시급8,720",
서울 강남구, 세븐일레븐 도곡3호점,22:00~08:00,"시급10,000",
경기 안양시, 세븐일레븐 인덕원도원점,01:00~12:00,"시급8,720",
서울 서대문, 세븐일레븐 연희점,22:00~08:00,"시급9,000",
인천 서구, 세븐일레븐 청라초교점,23:00~09:00,"시급8,720",
서울 강서구, 세븐일레븐 내발산점,06:00~12:00,"시급8,720",
경북 안동시, 세븐일레븐 안동옥동타운점,시간협의,"시급8,720",
부산 동래구, 세븐일레븐 부산동래SK뷰점,23:00~07:00,"시급8,720",
서울 마포구, 세븐일레븐 성산동우점,22:00~08:00,"시급9,500",
부산 동래구, 세븐일레븐 부산동래SK뷰점,15:00~23:00,"시급8,720",
서울 마포구, 세븐일레븐 성산동우점,22:00~08:00,"시급9,500",
서울 강서구, 세븐일레븐 내발산점,19:00~00:00,"시급8,720",
경기 화성시, 세븐일레븐 동탄우평점,08:00~15:00,"시급8,720",
경기 평택시, 세븐일레븐 팽성동우2호점,14:00~20:00,"시급8,720",
경기 화성시, 세븐일레븐 화성진안점,16:00~23:00,"시급8,720",
경기 평택시, 세븐일레븐 팽성동우1호점,10:00~16:00,"시급8,720",
서울 강서구, 세븐일레븐 마곡15단지점,16:00~23:00,"시급8,720",
경기 성남시, 세븐일레븐 성남아리스타점,22:00~08:00,"시급9,000",
경기 화성시, 세븐일레븐 동탄석우원룸점,시간협의,"시급8,720",
경기 화성시, 세븐일레븐 동탄여울시티점,22:00~08:00,"시급9,000",
경기 화성시, 세븐일레븐 동탄여울시티점,15:00~22:00,"시급8,720",
서울 관악구, 세븐일레븐 서울대입구역점,23:00~06:00,"시급9,000",
경남 양산시, 세븐일레븐 양산리버블루점,12:30~14:30,"시급8,720",
경기 성남시, 세븐일레븐 분당청솔주공점,08:00~15:00,"시급8,720",
경기 포천시, 세븐일레븐 포천아트밸리점,06:00~20:00,"시급8,720",
경기 성남시, 세븐일레븐 천사의도시점,14:00~22:00,"시급8,720",
경기 시흥시, 세븐일레븐 시흥월곶유호점,22:00~08:00,"시급8,720",
경기 용인시, 세븐일레븐 용인둔전중앙점,시간협의,"월급2,200,000",
경기 용인시, 세븐일레븐 용인수지성복점,시간협의,"시급8,720",
경기 평택시, 세븐일레븐 평택서부역점,20:00~02:00,"시급8,720",
경남 양산시, 세븐일레븐 양산덕신대승점,시간협의,"시급8,720",
부산 기장군, 세븐일레븐 부산정관타운점,14:30~22:30,"시급8,720",
세종 대평동, 세븐일레븐 세종황산프라자점,06:30~09:00,"시급8,720",
경기 화성시, 세븐일레븐 화성봉담마하점,08:00~09:30,"시급8,720",
경남 양산시, 세븐일레븐 양산리버블루점,12:30~14:30,"시급8,720",
경남 양산시, 세븐일레븐 양산덕신대승점,시간협의,"시급8,720",
경기 성남시, 세븐일레븐 천사의도시점,15:00~22:00,"시급8,800",
