place,title,time,pay,date
부산 부산진, 쉐이크쉑 서면점,09:00~18:00,"시급8,820",
경기 고양시, 주)파리크라상 쉐이크쉑 고양점,07:00~23:00,"시급8,820",
인천 연수구, (주)파리크라상 쉐이크쉑 송도점,00:00~24:00,"시급8,820",
경기 고양시, 쉐이크쉑 고양점,07:00~23:00,"시급8,820",
경기 화성시, (주)파리크라상 쉐이크쉑 동탄점,00:00~24:00,"시급8,820",
서울 강남구, (주)파리크라상,08:00~23:00,"시급8,820",
서울 영등포, 쉐이크쉑 타임스퀘어점,09:00~18:00,"시급8,820",
서울 전체, 쉐이크쉑 센트럴시티점,07:00~23:00,"시급8,820",
서울 관악구, 쉐이크쉑 신림점,08:00~23:00,"시급8,820",
서울 전체, (주)파리크라상 쉐이크쉑 코엑스점,00:00~24:00,"시급8,820",
서울 강남구, (주)파리크라상,08:00~23:00,"시급8,820",
서울 전체, (주)파리크라상 쉐이크쉑 신림점,08:00~23:00,"시급8,820",
서울 마포구, 쉐이크쉑 홍대점,시간협의,"시급8,820",
서울 강남구, (주)파리크라상,08:00~23:00,"시급8,820",
서울 강남구, 쉐이크쉑 강남점,시간협의,"시급8,820",
서울 전체, (주)파리크라상,07:00~23:00,"시급8,820",
