place,title,time,pay,date
경기 의정부, 슈퍼히어로 의정부G,시간협의,"건별4,000",
경기 의정부, 의정부브라더,시간협의,"건별4,000",
경기 양주시, 슈퍼히어로 양주옥정지사,시간협의,"건별3,500",
경기 양주시, 슈퍼히어로 양주옥정지사,시간협의,"건별3,500",
부산 강서구, 슈퍼히어로 부산바른콜,시간협의,"건별3,200",
부산 강서구, 슈퍼히어로 부산바른콜,시간협의,"건별3,200",
부산 강서구, 슈퍼히어로 부산바른콜,시간협의,"건별3,200",
서울 동작구, 슈퍼히어로 동작빵빵지사,10:00~01:30,"일급200,000",
경남 진주시, 슈퍼히어로 진주엠케이2,시간협의,"건별3,000",
경남 진주시, 슈퍼히어로 진주엠케이2,시간협의,"건별3,000",
경남 진주시, 슈퍼히어로 진주엠케이2,시간협의,"건별3,000",
경기 의정부, 슈퍼히어로 의정부드림,시간협의,"건별4,000",
경기 의정부, 슈퍼히어로 의정부드림,시간협의,"건별4,000",
경기 의정부, 슈퍼히어로 의정부A,시간협의,"건별4,000",
경기 의정부, 슈퍼히어로 의정부A,시간협의,"건별4,000",
경기 의정부, 슈퍼히어로 의정부A,시간협의,"건별4,000",
서울 강서구, 슈퍼히어로 화곡지사,10:00~01:00,"월급4,000,000",
강원 강릉시, 슈퍼히어로 강릉지사,시간협의,"건별3,200",
경남 진주시, 슈퍼히어로 진주엠케이,시간협의,"건별3,000",
경남 진주시, 슈퍼히어로 진주엠케이,시간협의,"건별3,000",
서울 강서구, 슈퍼히어로 화곡지사,10:00~01:00,"월급4,000,000",
경북 김천시, 슈퍼히어로 김천지사,11:00~02:00,"월급5,000,000",
경북 김천시, 슈퍼히어로 김천지사,11:00~02:00,"월급5,000,000",
경북 김천시, 슈퍼히어로 김천지사,11:00~02:00,"일급250,000",
경기 구리시, 슈퍼히어로 갈매별내지사,시간협의,"일급200,000",
경기 남양주, 슈퍼히어로 갈매별내지사,시간협의,"일급200,000",
경기 안양시, 슈퍼히어로 안양센터,시간협의,"시급8,720",
경기 의정부, 의정부브라더,시간협의,"건별4,000",
경기 파주시, 슈퍼히어로 파주운정지사,시간협의,"주급1,000,000",
경기 파주시, 슈퍼히어로 파주운정지사,시간협의,"주급1,000,000",
경기 파주시, 슈퍼히어로 파주운정지사,시간협의,"주급1,000,000",
서울 구로구, 슈퍼히어로 구디지사,11:00~02:00,"건별4,500",
