place,title,time,pay,date
서울 서초구, 스타벅스커피 코리아 강남대로논현R,06:30~22:30,"시급9,200",
서울 전체, 스타벅스커피 코리아 선유동이레빌딩,06:30~23:00,"시급9,200",
서울 전체, 스타벅스커피 코리아 선유동이레빌딩,06:30~23:00,"시급9,200",
서울 강남구, 스타벅스커피 코리아 선릉동신빌딩R,06:30~22:30,"시급9,200",
서울 강남구, 스타벅스커피 코리아 선릉동신빌딩R,06:30~22:30,"시급9,200",
서울 서초구, 스타벅스커피 코리아 강남대로신사,06:30~22:30,"시급9,200",
서울 강남구, 스타벅스커피 코리아 신사역성일빌딩,06:30~22:30,"시급9,200",
서울 강남구, 스타벅스커피 코리아 신사역,06:30~22:30,"시급9,200",
서울 서초구, 스타벅스커피 코리아 영동2교,시간협의,"시급9,200",
대전 대덕구, 스타벅스커피 코리아 대전신탄진DT,06:00~23:00,"시급9,200",
서울 강동구, 스타벅스커피 코리아 강동구청DT,시간협의,"시급9,200",
서울 서초구, 스타벅스커피 코리아 논현역,06:30~22:30,"시급9,200",
서울 서초구, 스타벅스커피 코리아 신논현역,06:30~22:30,"시급9,200",
서울 강남구, 스타벅스커피 코리아 강남대로,06:30~22:30,"시급9,200",
서울 강남구, 스타벅스커피 코리아 강남구청역,시간협의,"시급9,200",
경기 하남시, 스타벅스커피 코리아 미사역효성,시간협의,"시급9,200",
강원 강릉시, 스타벅스커피 코리아 강릉송정DT,시간협의,"시급9,200",
전북 익산시, 스타벅스커피 코리아 익산영등DT,06:30~23:00,"시급9,200",
경남 창원시, 스타벅스커피 코리아 창원시티세븐,시간협의,"시급9,200",
경기 하남시, 스타벅스커피 코리아 미사역효성,시간협의,"시급9,200",
서울 전체, 스타벅스커피 코리아 대치한티,시간협의,"시급9,200",
대전 대덕구, 스타벅스커피 코리아 대전한남대DT,시간협의,"시급9,200",
경기 성남시, 스타벅스커피 코리아 분당서울대병원4,06:00~19:30,"시급9,200",
서울 은평구, 스타벅스커피 코리아 은평구청입구,06:30~22:30,"시급9,200",
서울 강남구, 스타벅스커피 코리아 강남구청역,시간협의,"시급9,200",
경기 안양시, 스타벅스커피 코리아 평촌역DT,시간협의,"시급9,200",
제주 제주시, 스타벅스커피 코리아 제주애월DT,07:30~22:00,"시급9,200",
전남 여수시, 스타벅스커피 코리아 여수여서,시간협의,"시급9,200",
경남 진주시, 스타벅스커피 코리아 진주칠암DT,06:30~23:30,"시급9,200",
서울 강남구, 스타벅스커피 코리아 구역삼사거리,시간협의,"시급9,200",
충남 서산시, 스타벅스커피 코리아 서산예천DT,06:30~23:00,"시급9,200",
세종 보람동, 스타벅스커피 코리아 세종보람,시간협의,"시급9,200",
경기 하남시, 스타벅스커피 코리아 스타필드하남1F(,시간협의,"시급9,200",
경기 수원시, 스타벅스커피 코리아 수원성균관대,06:00~23:00,"시급9,200",
서울 전체, 스타벅스커피 코리아 서울세관사거리,시간협의,"시급9,200",
경기 성남시, 스타벅스커피 코리아 분당이매,07:00~22:00,"시급9,200",
세종 보람동, 스타벅스커피 코리아 세종보람,시간협의,"시급9,200",
강원 동해시, 스타벅스커피 코리아 동해DT,시간협의,"시급9,200",
세종 보람동, 스타벅스커피 코리아 세종보람,시간협의,"시급9,200",
전북 전주시, 스타벅스커피 코리아 전주백제대로DT,시간협의,"시급9,200",
