place,title,time,pay,date
서울 성북구, 노브랜드버거 을지로4가역점,18:00~22:30,"시급8,900",
서울 서초구, [신세계푸드] 올반프리미엄센트럴시티점,12:00~22:00,"월급1,860,000",
경기 고양시, 노브랜드버거 원마운트점,시간협의,"시급8,900",
서울 강남구, 주)신세계푸드 노브랜드버거 학동역점,시간협의,"시급8,900",
서울 강동구, 노브랜드버거 길동역점,시간협의,"시급8,900",
서울 서초구, 올반 센트럴시티점,10:30~16:30,"시급8,900",
인천 전체, 노브랜드버거 인천계양구청점,시간협의,"시급8,900",
서울 성북구, 노브랜드버거 대치대원빌딩점,시간협의,"시급8,900",
서울 송파구, 신세계푸드 NBB 남부터미널점,13:30~22:30,"시급8,900",
서울 종로구, 신세계푸드 노브랜드버거 서울시청점,17:30~22:30,"시급8,900",
인천 전체, 노브랜드버거 인천계양구청점,시간협의,"시급8,900",
서울 관악구, BPB(사당역5번출구앞),15:30~00:30,"월급2,000,000",
서울 전체, (주)신세계푸드 셰프투고 역삼점,11:00~20:00,"시급9,300",
서울 성북구, 노브랜드버거 대치대원빌딩점,시간협의,"시급8,900",
서울 성동구, 신세계분식,10:00~19:00,"시급10,000",
서울 성동구, 신세계분식,10:00~19:00,"시급10,000",
서울 성동구, 신세계분식,10:00~19:00,"시급10,000",
서울 강서구, (주)신세계푸드 노브랜드버거 마곡점,시간협의,"시급8,900",
서울 성동구, 신세계분식,10:00~19:00,"월급2,090,000",
서울 성동구, 신세계분식,10:00~19:00,"월급2,090,000",
서울 송파구, 신세계푸드 NBB 남부터미널점,13:30~22:30,"시급8,900",
서울 금천구, 신세계푸드 NBB 가산디지털단지점,11:00~17:30,"시급8,900",
경기 김포시, 노브랜드버거 김포장기점,시간협의,"시급8,900",
서울 중랑구, 신세계푸드 NBB 남부터미널점,13:30~22:30,"시급8,900",
서울 중랑구, 신세계푸드 NBB 남부터미널점,13:30~22:30,"시급8,900",
서울 노원구, 노브랜드버거 을지로4가역점,18:00~22:30,"시급8,900",
부산 해운대, 베키아에누보 센텀점,11:00~20:00,"월급1,860,100",
서울 중랑구, 주)신세계푸드 노브랜드버거 학동역점,시간협의,"시급8,900",
대전 유성구, (주)신세계푸드,시간협의,"월급1,860,100",
서울 중구, 노브랜드버거 을지로4가역점,18:00~22:30,"시급8,900",
서울 성북구, 보노보노 스시 성수점,11:00~21:30,"월급2,150,000",
서울 광진구, 보노보노 스시 성수점,11:00~21:30,"월급2,150,000",
서울 송파구, 노브랜드버거 대치점,시간협의,"시급8,900",
대구 중구, (주)신세계푸드 노브랜드버거 대구동성,14:00~23:00,"시급8,900",
서울 금천구, 신세계푸드 NBB 가산디지털단지점,11:00~20:00,"시급8,900",
서울 동대문, 보노보노 스시 성수점,11:00~21:30,"월급2,150,000",
서울 서대문, 노브랜드버거 연신내점,11:00~13:30,"시급8,900",
서울 은평구, 노브랜드버거 연신내점,11:00~13:30,"시급8,900",
서울 강서구, (주)신세계푸드 노브랜드버거 마곡점,시간협의,"시급8,900",
서울 송파구, 신세계푸드 NBB 거여역점,13:30~22:30,"시급8,900",
