place,title,time,pay,date
서울 송파구, 써브웨이 잠실새내역점,08:00~16:00,"시급9,000",
광주 광산구, 써브웨이 광주첨단점,17:30~23:30,"시급8,720",
경기 성남시, 써브웨이성남시청점,17:00~22:00,"시급10,464",
경남 양산시, 써브웨이 남양산점,15:30~20:00,"시급8,720",
경남 창원시, 서브웨이 마산경남대점,시간협의,"시급8,720",
서울 강남구, 써브웨이,07:30~15:00,"시급8,720",
대구 중구, 써브웨이 대구동성로(2호),17:00~23:00,"시급8,720",
서울 강동구, 써브웨이 고덕역점,18:00~22:00,"시급8,720",
서울 성북구, 써브웨이 동덕여대점,08:00~15:00,"시급8,720",
경남 김해시, 써브웨이 김해장유점,시간협의,"시급8,720",
서울 성동구, 써브웨이 한양대,시간협의,"시급9,200",
서울 서초구, 써브웨이 교대,17:00~22:00,"시급8,720",
서울 서초구, 써브웨이 교대,14:00~18:00,"시급9,000",
서울 강남구, 써브웨이 역삼점,시간협의,"시급8,720",
서울 강남구, 써브웨이 역삼점,시간협의,"시급8,720",
서울 서초구, 써브웨이 교대,07:00~14:00,"시급9,000",
경기 고양시, 써브웨이 일산고양삼송점,16:00~23:30,"시급9,160",
서울 은평구, 써브웨이 응암,16:00~23:00,"시급8,720",
울산 남구, 써브웨이 울산 옥동점,08:00~15:30,"시급8,720",
서울 은평구, 써브웨이 응암,15:00~22:00,"시급8,720",
경남 김해시, 써브웨이 김해장유점,08:00~16:00,"시급8,720",
경기 성남시, 써브웨이 성남신흥점,08:00~14:30,"시급9,000",
서울 강남구, 써브웨이선정릉역점,07:30~01:00,"시급8,720",
서울 용산구, 서브웨이 남영역점,16:30~22:30,"시급8,720",
경남 김해시, 써브웨이 김해장유점,15:00~22:00,"시급8,720",
경남 김해시, 써브웨이 김해장유점,시간협의,"월급1,900,000",
충남 천안시, 써브웨이천안신부점,07:30~16:30,"연봉24,000,000",
울산 중구, 써브웨이 성남점,18:00~22:30,"시급8,720",
인천 미추홀, 써브웨이 SUBWAY 인천주안역점,17:00~23:30,"시급8,750",
충남 천안시, 써브웨이 천안신부점,16:00~23:30,"시급8,720",
부산 전체, 써브웨이 부산 좌동점(장산역),00:00~24:00,"시급8,720",
서울 관악구, 써브웨이 서울대점,10:00~17:00,"시급9,000",
경기 고양시, 써브웨이 일산탄현점,06:30~15:00,"월급2,100,000",
경기 고양시, 서브웨이 일산탄현점,시간협의,"시급8,900",
서울 동작구, 서브웨이 서초법원점,16:00~22:00,"시급8,720",
서울 은평구, 서브웨이,08:00~14:00,"시급8,750",
서울 은평구, 서브웨이,08:00~14:00,"시급8,750",
경기 성남시, 써브웨이 분당정자,08:00~16:00,"시급9,000",
경기 성남시, 써브웨이 분당수내점,시간협의,"시급10,500",
전남 나주시, 써브웨이 나주혁신점,시간협의,"시급9,000",
