place,title,time,pay,date
제주 제주시, 아소비 제주지사,14:00~18:00,"월급2,000,000",
서울 서대문, 아소비 은평서대문지사,02:30~05:30,"월급2,000,000",
서울 은평구, 아소비 은평서대문지사,01:30~05:30,"월급2,000,000",
서울 마포구, 아소비 은평서대문지사,01:30~05:30,"월급2,000,000",
경북 구미시, 아소비 대구북구구미지사,13:00~19:00,"월급2,000,000",
경북 구미시, 아소비 대구북구구미지사,13:00~19:00,"월급2,000,000",
대구 달성군, 아소비 대구달서달성지사,시간협의,"월급2,000,000",
대구 달성군, 아소비 대구달서달성지사,시간협의,"월급2,000,000",
서울 성북구, 아소비 강북도봉지사,14:00~18:00,"월급2,000,000",
서울 강북구, 아소비 강북도봉지사,14:00~18:00,"월급2,000,000",
서울 강북구, 아소비 강북도봉지사,14:00~18:00,"월급2,000,000",
서울 도봉구, 아소비 성북지사,14:00~18:00,"월급2,000,000",
서울 성북구, 아소비 성북지사,14:00~18:00,"월급2,000,000",
경기 부천시, 아소비 부천시흥지사,14:00~18:00,"월급2,000,000",
경기 시흥시, 아소비 부천시흥지사,14:00~18:00,"월급2,000,000",
경기 시흥시, 아소비 부천시흥지사,14:00~18:00,"월급2,000,000",
경기 화성시, 아소비 수원화성오산지사,13:00~18:00,"월급1,800,000",
경기 화성시, 아소비 수원화성오산지사,13:00~18:00,"월급1,800,000",
제주 제주시, 아소비 제주지사,14:00~18:00,"월급2,000,000",
충북 청주시, 아소비 청주지사,13:00~18:00,"월급2,000,000",
충북 청주시, 아소비 청주지사,13:00~18:00,"월급2,000,000",
경기 의정부, 아소비 의정부양주지사,14:00~18:00,"월급2,000,000",
경기 양주시, 아소비 의정부양주지사,14:00~18:00,"월급2,000,000",
경기 의정부, 아소비 의정부양주지사,14:00~18:00,"월급2,000,000",
경북 경산시, 아소비 경산지사,13:30~18:30,"월급2,000,000",
경북 경산시, 아소비 경산지사,13:30~18:30,"월급2,000,000",
대구 동구, 아소비 대구동구지사,13:30~18:30,"월급2,000,000",
대구 동구, 아소비 대구동구지사,13:30~18:30,"월급2,000,000",
경남 김해시, 아소비 김해양산지사,13:00~19:00,"월급1,700,000",
경남 김해시, 아소비 김해양산지사,13:00~19:00,"월급1,700,000",
경남 양산시, 아소비 김해양산지사,13:00~19:00,"월급1,700,000",
서울 중랑구, 아소비 동북지사(노원/중랑),14:00~19:00,"월급1,900,000",
서울 노원구, 아소비 동북지사(노원/중랑),14:00~19:00,"월급1,900,000",
경기 남양주, 아소비 동북지사(남양주/구리),14:00~19:00,"월급1,900,000",
경기 남양주, 아소비 동북지사(남양주/구리),14:00~19:00,"월급1,900,000",
경기 남양주, 아소비 동북지사(남양주/구리),14:00~19:00,"월급1,900,000",
경기 하남시, 아소비 하남지사,14:00~19:00,"월급2,000,000",
경기 하남시, 아소비 하남지사,14:00~19:00,"월급2,000,000",
경기 하남시, 아소비 하남지사,14:00~19:00,"월급2,000,000",
서울 송파구, 아소비 송파강동지사,14:00~19:00,"월급2,000,000",
