place,title,time,pay,date
광주 북구, 아워홈 한국광기술원광주점,08:30~14:30,"월급1,400,000",
서울 전체, 아워홈 파르나스그랜드점,시간협의,"시급8,720",
서울 강서구, 아워홈 이대서울병원강서점,05:00~11:00,"시급8,720",
서울 강서구, 아워홈 이대서울병원강서점,05:00~04:00,"시급8,720",
경기 성남시, 두산타워분당점,07:30~14:00,"시급10,000",
경기 성남시, 두산타워분당점,09:00~16:00,"시급12,000",
인천 강화군, 아워홈 SK와이번스드림파크강화점,06:00~16:00,"월급2,500,000",
서울 전체, 아워홈 파르나스그랜드점,09:00~18:00,"시급8,720",
인천 서구, 아워홈 지엠테크니컬센터코리아,09:00~15:00,"시급8,720",
인천 서구, 아워홈 지엠테크니컬센터코리아,06:00~14:30,"시급8,720",
서울 금천구, 아워홈 LG전자가산RnD캠퍼스별관점,10:00~14:30,"시급8,720",
경기 부천시, 아워홈 삼성미래산후조리원부천점,05:30~14:30,"시급9,200",
서울 강남구, 아워홈 KB손해보험강남점,12:00~17:00,"시급8,720",
경남 김해시, 아워홈 넥센김해점,06:30~14:00,"시급8,720",
울산 울주군, 아워홈 LG하우시스울산점,11:00~20:00,"일급69,760",
인천 전체, 아워홈 한미반도체인천점,시간협의,"시급9,500",
충북 청주시, 아워홈 LS산전청주점,09:30~18:30,"시급8,720",
충북 청주시, 아워홈 LS산전청주점,10:00~16:00,"시급8,720",
경남 양산시, 양산부산대학교병원점,시간협의,"시급8,720",
경기 성남시, 두산타워분당점,06:30~13:00,"시급9,000",
경남 김해시, 아워홈 넥센김해점,08:30~14:00,"시급8,720",
경기 수원시, 아워홈 유당마을실버타운수원점,06:00~10:30,"시급8,720",
경기 성남시, 아워홈 실리콘파크분당점,10:00~15:00,"시급8,720",
경남 김해시, 아워홈 행성김해점,09:00~18:30,"시급8,720",
경남 양산시, 아워홈 쿠쿠양산점,09:00~18:00,"시급8,720",
경기 평택시, 아워홈 LG이노텍평택점,09:00~18:00,"시급11,000",
경기 성남시, 두산타워분당점,09:00~16:00,"시급12,000",
경기 김포시, 아워홈 빅손김포점,10:00~14:30,"시급10,000",
충북 청주시, 아워홈 LS산전청주점,12:30~18:30,"시급8,720",
충북 청주시, 아워홈 LS산전청주점,10:00~16:00,"시급8,720",
세종 반곡동, 아워홈 트리니움여성병원세종점,15:30~19:30,"시급8,720",
충북 청주시, 아워홈 LG화학청주점,06:00~14:30,"시급8,720",
경기 고양시, 아워홈 다스람요양병원일산점,10:00~19:00,"시급8,720",
충북 청주시, 아워홈 키파운드리청주점,08:30~15:00,"시급10,000",
충북 청주시, 아워홈 키파운드리청주점,08:30~15:00,"시급10,000",
충북 청주시, 아워홈 키파운드리청주점,08:30~15:00,"시급10,000",
부산 기장군, 아워홈 동남권원자력의학원,09:30~18:30,"시급9,000",
부산 기장군, 아워홈 동남권원자력의학원,10:30~19:30,"시급10,000",
부산 동래구, 아워홈 세화병원부산점,11:30~14:30,"시급8,720",
경기 부천시, 아워홈 서울여성병원부천점,06:00~15:00,"시급8,720",
