place,title,time,pay,date
경기 성남시, 에그드랍 판교역점,09:30~13:30,"시급9,000",
울산 북구, 에그드랍 울산신천점,11:00~16:00,"시급8,720",
인천 남동구, 에그드랍 인천구월힐캐슬점,13:00~20:30,"시급9,000",
부산 해운대, 에그드랍 부산장산역점,시간협의,"시급9,000",
부산 해운대, 에그드랍 부산장산역점,시간협의,"월급1,300,000",
부산 해운대, 에그드랍 부산장산역점,시간협의,"시급9,000",
부산 해운대, 에그드랍 부산장산역점,시간협의,"시급9,000",
경기 성남시, 에그드랍 판교역점,08:00~12:00,"시급8,800",
경기 안산시, 에그드랍 안산고잔점,시간협의,"시급8,720",
경기 수원시, 에그드랍 아주대점,시간협의,"시급8,800",
경기 안산시, 에그드랍 안산고잔점,시간협의,"월급2,200,000",
경기 용인시, 에그드랍 용인역북점,시간협의,"시급8,900",
경기 용인시, 에그드랍 용인동백점,시간협의,"시급8,900",
부산 수영구, 에그드랍 부산수영점,07:30~03:30,"시급8,720",
경기 수원시, 에그드랍 앨리웨이광교점,16:00~22:30,"시급8,900",
서울 강남구, 에그드랍 양재역점,시간협의,"시급11,000",
서울 동작구, 에그드랍 본사,시간협의,"월급2,000,000",
서울 강북구, 에그드랍 본사,시간협의,"월급2,000,000",
서울 서초구, 에그드랍 본사,시간협의,"월급2,000,000",
서울 송파구, 에그드랍 본사,시간협의,"월급2,000,000",
서울 서초구, 에그드랍 세인트그릴 본사,시간협의,"월급2,000,000",
서울 강남구, 에그드랍 세인트그릴 본사,시간협의,"월급2,000,000",
서울 송파구, 에그드랍 세인트그릴 본사,시간협의,"월급2,000,000",
서울 서초구, 에그드랍 세인트그릴 본사,시간협의,"월급2,000,000",
경기 수원시, 에그드랍 앨리웨이광교점,16:00~22:30,"시급8,900",
경기 수원시, 에그드랍 앨리웨이광교점,16:00~22:30,"시급8,900",
경기 화성시, 에그드랍 동탄영천점,17:30~21:30,"시급9,000",
경기 수원시, 에그드랍 아주대점,시간협의,"시급8,800",
경기 화성시, 에그드랍 동탄북광장점,시간협의,"시급9,100",
인천 남동구, 에그드랍 인천구월힐캐슬점,13:00~20:30,"시급9,000",
충남 천안시, 에그드랍 천안터미널점,08:00~15:00,"월급2,000,000",
인천 남동구, 에그드랍 인천구월점,12:00~04:30,"시급8,720",
경남 양산시, 에그드랍 양산물금점,09:00~15:00,"시급9,000",
세종 전체, 에그드랍 세종새롬점,10:00~21:00,"월급2,700,000",
서울 강서구, 에그드랍 염창역점,08:30~21:30,"월급2,300,000",
경기 남양주, 에그드랍 남양주다산지금점,14:00~20:30,"시급9,000",
서울 강남구, 에그드랍 한티역점,17:00~22:30,"월급1,400,000",
서울 강남구, 에그드랍 한티역점,시간협의,"월급2,100,000",
경기 용인시, 에그드랍 롯데몰수지점,시간협의,"시급9,000",
경북 안동시, 에그드랍 안동점,시간협의,"시급9,000",
