place,title,time,pay,date
서울 양천구, 에잇세컨즈 현대목동점,10:30~19:30,"시급10,470",
서울 양천구, 에잇세컨즈 현대목동점,13:00~22:00,"시급10,470",
경기 파주시, 8seconds,시간협의,"시급10,470",
경기 부천시, 에잇세컨즈 현대중동점,13:00~22:00,"시급10,470",
부산 전체, 제일패션리테일(주),12:30~21:30,"시급8,720",
서울 양천구, 에잇세컨즈 현대목동점,13:00~22:00,"시급10,470",
부산 기장군, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",
경남 창원시, 제일패션리테일(주),13:00~22:00,"연봉26,500,000",
광주 북구, 제일패션리테일(주),13:00~22:00,"연봉26,500,000",
울산 남구, 제일패션리테일(주),13:00~22:00,"연봉26,500,000",
경기 포천시, 제일패션리테일(주),13:00~22:00,"연봉26,500,000",
서울 강동구, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",
경기 남양주, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",
부산 중구, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",
서울 영등포, 제일패션리테일(주),13:30~22:30,"시급10,470",
서울 강남구, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",
경기 이천시, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",
부산 부산진, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",
경기 수원시, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",
대구 중구, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",
서울 용산구, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",
전북 전주시, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",
경기 고양시, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",
경기 의정부, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",
경기 고양시, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",
경기 하남시, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",
서울 송파구, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",
경기 화성시, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",
서울 강남구, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",
서울 서대문, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",
서울 양천구, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",
경기 시흥시, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",
경기 의왕시, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",
경북 포항시, 제일패션리테일(주),13:00~22:00,"연봉29,000,000",
경남 창원시, 제일패션리테일(주),13:00~22:00,"연봉29,000,000",
울산 남구, 제일패션리테일(주),13:00~22:00,"연봉29,000,000",
광주 동구, 제일패션리테일(주),13:00~22:00,"연봉29,000,000",
울산 남구, 제일패션리테일(주),13:00~22:00,"연봉29,000,000",
경기 하남시, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",
광주 동구, 제일패션리테일(주),13:00~22:00,"연봉26,500,000",
