place,title,time,pay,date
경기 수원시, 엔제리너스 동수원신협점,08:30~04:30,"월급2,050,000",
경남 창원시, 엔제리너스 진해자은점,시간협의,"시급8,720",
대구 전체, 엔제리너스 칠곡구암역점,24:00~08:30,"월급2,180,000",
대구 전체, 엔제리너스 칠곡구암역점,시간협의,"월급1,830,000",
서울 전체, 엔제리너스 서울역사점,시간협의,"시급8,720",
인천 미추홀, 엔제리너스 롯데백인천터미널점,시간협의,"시급8,720",
서울 중구, 엔제리너스 명동시티호텔점,09:00~16:30,"시급8,720",
경남 김해시, 엔제리너스 김해봉황D/I점,00:00~24:00,"시급8,720",
충남 천안시, 엔제리너스 천안직산점,12:00~15:00,"시급8,720",
서울 강동구, 엔제리너스 강동경희대병원점,시간협의,"시급8,720",
서울 송파구, 엔제리너스 롯데백잠실,시간협의,"시급8,720",
서울 광진구, 엔제리너스 건대역점,시간협의,"시급8,720",
경기 수원시, 엔제리너스 동수원신협점,08:30~04:30,"월급2,050,000",
부산 기장군, 엔제리너스 롯데아울렛동부산1층점,13:00~22:00,"시급8,720",
서울 강동구, 엔제리너스 강동경희대병원점,시간협의,"시급8,720",
서울 강남구, 엔제리너스 수서환승통로점,시간협의,"시급8,720",
대구 전체, 엔제리너스 칠곡구암역점,시간협의,"월급1,830,000",
대구 전체, 엔제리너스 칠곡구암역점,24:00~08:30,"월급2,180,000",
서울 송파구, 엔제리너스 잠실롯데월드몰F1점,시간협의,"시급8,720",
충남 천안시, 엔제리너스 천안직산점,15:00~24:00,"월급1,822,480",
서울 전체, 엔제리너스 서울역사점,시간협의,"시급8,720",
강원 원주시, 엔제리너스 원주단구점,09:00~17:00,"시급8,720",
대구 전체, 엔제리너스 대구칠성시장역점,시간협의,"월급1,830,000",
대구 북구, 엔제리너스 대구칠성시장역점,00:00~24:00,"시급8,720",
