place,title,time,pay,date
대구 동구, 더 키친 일뽀르노 신세계대구점,10:00~16:00,"시급8,720",
대구 동구, 크리스탈제이드코리아,12:00~21:00,"시급8,720",
광주 전체, 폴바셋 롯데아울렛광주수완점,09:00~23:00,"시급9,000",
부산 전체, 상하목장 밀크아이스크림 롯데몰동부산점,10:00~22:00,"시급8,720",
부산 전체, 폴 바셋 롯데몰 동부산점,09:00~22:00,"시급9,000",
서울 중랑구, 폴바셋 수서역점,07:30~23:00,"시급9,000",
서울 전체, 폴바셋 롯데강남점,08:00~22:00,"시급9,000",
서울 관악구, 폴바셋 수서역점,07:30~23:00,"시급9,000",
서울 동작구, 폴바셋 방배역점,07:00~23:00,"시급9,000",
서울 광진구, 폴바셋 압구정2호점,07:00~23:00,"시급9,000",
서울 관악구, 폴바셋 롯데백화점관악점,07:00~22:00,"시급9,000",
서울 구로구, 폴바셋 고대구로병원점,06:00~21:30,"시급9,000",
서울 전체, 폴바셋 신세계강남점,09:00~22:00,"시급9,000",
전북 전주시, 폴 바셋 전주 혁신도시점,07:00~23:00,"시급9,000",
서울 영등포, 폴바셋 신세계 타임스퀘어점,09:00~21:30,"시급9,000",
서울 관악구, 폴바셋 롯데마트서초점,08:00~23:00,"시급9,000",
서울 동작구, 폴바셋 방배역점,07:00~23:00,"시급9,000",
경기 부천시, 폴바셋 현대백화점중동점,08:30~23:00,"시급9,000",
서울 강남구, 폴바셋 일원역점,06:00~23:00,"시급9,000",
경기 안성시, 폴바셋 스타필드안성점,08:00~23:00,"시급9,000",
서울 성동구, 폴바셋 한남커피스테이션,07:00~23:00,"시급9,000",
서울 구로구, 폴바셋 고대구로병원점,06:00~21:30,"시급9,000",
서울 관악구, 폴바셋 압구정2호점,07:00~23:00,"시급9,000",
충북 청주시, 폴바셋 현대백화점충청점,08:30~22:00,"시급9,000",
서울 중구, 폴바셋 신세계본점,09:00~22:00,"시급9,000",
서울 전체, 폴바셋 신세계강남점,09:00~22:00,"시급9,000",
경기 의정부, 폴 바셋 의정부 을지대병원점,시간협의,"시급9,000",
경기 용인시, 폴바셋 신세계백화점경기점,09:30~22:30,"시급9,000",
서울 영등포, 폴바셋 신세계 타임스퀘어점,09:00~21:30,"시급9,000",
경기 전체, 폴바셋 AK플라자분당점,07:00~22:00,"시급9,000",
경남 김해시, 폴바셋 롯데아울렛김해점,09:00~22:00,"시급9,000",
서울 전체, 폴바셋 교보문고합정점,09:00~23:00,"시급9,000",
서울 서대문, 폴바셋 AK&홍대점,15:00~20:30,"시급8,720",
서울 서대문, 폴바셋 AK&홍대점,시간협의,"시급9,000",
서울 종로구, 폴바셋 광화문점,06:00~23:00,"시급9,000",
경기 화성시, 폴바셋 롯데백화점동탄점,09:00~21:30,"시급9,000",
서울 종로구, 폴바셋 광화문점,06:00~23:00,"시급9,000",
서울 관악구, 폴바셋 롯데백화점관악점,07:00~22:00,"시급9,000",
서울 전체, 폴바셋 신세계강남점,09:00~22:00,"시급9,000",
서울 전체, 폴바셋 롯데본점,09:00~22:00,"시급9,000",
