place,title,time,pay,date
서울 노원구, 영웅배송 스파이더 공릉2지사,시간협의,"일급200,000",
서울 노원구, 영웅배송 스파이더 공릉2지사,시간협의,"일급200,000",
부산 동래구, 영웅배송 스파이더 사직지사,시간협의,"건별3,500",
부산 동래구, 영웅배송 스파이더 사직지사,시간협의,"건별3,500",
경기 성남시, 영웅배송 스파이더 야탑지사,10:00~01:30,"월급6,000,000",
경기 성남시, 영웅배송 스파이더 야탑지사,10:00~01:30,"일급250,000",
울산 북구, 영웅배송 스파이더 울산화봉송정지사,10:00~02:00,"건별3,500",
울산 전체, 영웅배송 스파이더 울산화봉송정지사,10:00~02:00,"건별3,500",
인천 미추홀, 영웅배송 스파이더 인천 용현지사3,시간협의,"일급200,000",
인천 미추홀, 영웅배송 스파이더 인천 용현지사2,시간협의,"일급200,000",
인천 미추홀, 영웅배송 스파이더 인천 용현지사,시간협의,"일급200,000",
대구 동구, 영웅배송 스파이더 혁신지사,10:00~02:00,"일급200,000",
경남 창원시, 영웅배송 스파이더 GO지점,시간협의,"월급4,000,000",
경남 창원시, 영웅배송 스파이더 GO지점,시간협의,"건별3,300",
경남 창원시, 영웅배송 스파이더 GO지점,시간협의,"일급200,000",
대구 동구, 영웅배송 스파이더 율하지사,10:00~02:00,"일급200,000",
경기 오산시, 영웅배송 스파이더 송죽지사,09:30~03:00,"일급200,000",
경기 의왕시, 영웅배송 스파이더 송죽지사,09:30~03:00,"일급200,000",
경기 용인시, 영웅배송 스파이더 송죽지사,09:30~03:00,"일급200,000",
경기 용인시, 영웅배송 스파이더 파장지사,09:30~03:00,"일급200,000",
경기 수원시, 영웅배송 스파이더 파장지사,09:30~03:00,"일급200,000",
경기 수원시, 영웅배송 스파이더 북수원2지사,시간협의,"일급300,000",
경기 수원시, 영웅배송 스파이더 북수원2지사,시간협의,"일급300,000",
경기 수원시, 영웅배송 스파이더 북수원2지사,시간협의,"일급300,000",
경남 창원시, 영웅배송 스파이더 마산지사,시간협의,"월급5,000,000",
경북 포항시, 영웅배송 스파이더 우현지사2,시간협의,"일급200,000",
울산 전체, 영웅배송 스파이더 남구지사B,시간협의,"일급150,000",
울산 전체, 영웅배송 스파이더 남구지사B,시간협의,"일급150,000",
울산 전체, 영웅배송 스파이더 남구지사B,시간협의,"일급150,000",
울산 전체, 영웅배송 스파이더 남구지사B,시간협의,"일급150,000",
울산 전체, 영웅배송 스파이더 남구지사B,시간협의,"일급150,000",
경기 안성시, 영웅배송 스파이더 평택본부,시간협의,"월급5,000,000",
경기 평택시, 영웅배송 스파이더 평택본부,시간협의,"월급5,000,000",
경기 평택시, 영웅배송 스파이더 평택본부,시간협의,"월급5,000,000",
경기 평택시, 영웅배송 스파이더 평택본부,시간협의,"월급5,000,000",
경기 평택시, 영웅배송 스파이더 평택본부,시간협의,"월급5,000,000",
경기 평택시, 영웅배송 스파이더 평택본부,시간협의,"월급5,000,000",
경기 평택시, 영웅배송 스파이더 평택본부,시간협의,"월급5,000,000",
경기 시흥시, 영웅배송 스파이더 시흥연성지사,시간협의,"일급200,000",
경기 시흥시, 영웅배송 스파이더 시흥연성지사,시간협의,"일급200,000",
