place,title,time,pay,date
서울 전체, 씨제이올리브영(주) 학동역점,15:00~22:30,"시급8,720",
경기 화성시, 올리브영 동탄디엠시티점,10:00~13:00,"시급8,720",
서울 전체, 씨제이올리브영(주),16:00~22:30,"시급8,720",
서울 전체, 씨제이올리브영(주) 학동역점,15:00~22:30,"시급8,720",
서울 전체, 씨제이올리브영(주) 학동역점,15:00~22:30,"시급8,720",
서울 강남구, 씨제이올리브영(주) 학동역점,08:30~16:30,"시급8,720",
대전 유성구, 씨제이올리브영(주),17:30~22:00,"시급8,720",
서울 서초구, 씨제이올리브영(주),08:30~16:00,"시급8,720",
서울 마포구, 씨제이올리브영(주),15:30~21:30,"시급8,720",
서울 강남구, 올리브영 선릉역점,시간협의,"시급8,720",
경기 전체, CJ올리브영 동수원점,09:30~16:00,"시급8,720",
서울 서초구, 씨제이올리브영(주) 강남엔터식스점,14:00~22:00,"시급8,720",
경기 안성시, 올리브영 스타필드안성점,시간협의,"시급8,720",
서울 강남구, 올리브영 세곡동점,11:00~15:30,"시급8,720",
서울 송파구, 씨제이올리브영(주),14:00~20:30,"시급8,720",
경북 포항시, 올리브영 포항장성점,16:00~22:00,"시급8,720",
서울 서대문, 올리브영 아현역점,17:00~22:30,"시급8,720",
서울 강남구, 올리브영 세곡동점,11:00~15:30,"시급8,720",
경기 성남시, CJ올리브영 성남 타운,09:30~16:30,"시급8,720",
경기 성남시, CJ올리브영 성남 타운,09:30~16:30,"시급8,720",
부산 전체, 씨제이올리브영(주),17:30~22:30,"시급8,720",
경기 성남시, 씨제이올리브영(주) 판교아브뉴프랑점,09:30~16:00,"시급8,720",
경기 성남시, 씨제이올리브영(주) 판교아브뉴프랑점,16:00~22:00,"시급8,720",
전북 전주시, 씨제이올리브영(주),15:30~22:00,"시급8,720",
부산 전체, 올리브영 서면중앙대로점,15:30~21:30,"시급8,720",
서울 송파구, 씨제이올리브영(주),16:30~22:30,"시급8,720",
제주 제주시, 씨제이올리브영(주),12:30~18:30,"시급8,720",
제주 제주시, 씨제이올리브영(주),10:30~16:00,"시급8,720",
충북 청주시, 씨제이올리브영(주),14:00~21:30,"시급8,720",
서울 서초구, 씨제이올리브영(주) 강남엔터식스점,16:00~22:00,"시급8,720",
서울 서초구, 씨제이올리브영(주) 강남엔터식스점,14:00~22:00,"시급8,720",
인천 미추홀, 씨제이올리브영(주) 인천앨리웨이점,17:00~22:00,"시급8,720",
광주 광산구, 올리브영 광주선운지구점,시간협의,"시급8,720",
서울 노원구, 씨제이올리브영(주),17:30~22:00,"시급10,464",
서울 서초구, 씨제이올리브영(주) 강남엔터식스점,16:00~22:00,"시급8,720",
서울 서초구, 씨제이올리브영(주) 강남엔터식스점,14:00~22:00,"시급8,720",
부산 금정구, 씨제이올리브영(주),11:00~16:00,"시급8,720",
세종 소담동, 씨제이올리브영(주) 세종소담점,14:00~17:30,"시급8,720",
서울 강남구, 씨제이올리브영(주),08:00~16:00,"시급8,720",
세종 소담동, 씨제이올리브영(주) 세종소담점,10:30~14:00,"시급8,720",
