place,title,time,pay,date
경기 수원시, 웅진씽크빅 동수원지국,시간협의,"월급1,700,000",
경기 안산시, 웅진씽크빅 안산동부지국,13:00~21:00,"월급1,800,000",
전북 남원시, 웅진씽크빅 남원지국,14:00~21:00,"월급2,000,000",
전북 남원시, 웅진씽크빅 남원지국,14:00~21:00,"월급2,000,000",
인천 남동구, 웅진씽크빅 인천남동지국,14:00~20:00,"월급1,200,000",
인천 남동구, 웅진씽크빅 인천남동지국,14:00~20:00,"월급1,200,000",
제주 제주시, 웅진씽크빅 제주동부지국,시간협의,"월급2,000,000",
인천 전체, 웅진씽크빅 인천중부지국,시간협의,"월급1,830,000",
제주 제주시, 웅진씽크빅 제주동부지국,01:00~07:00,"월급1,700,000",
인천 전체, 웅진씽크빅 인천중부지국,시간협의,"월급1,830,000",
제주 제주시, 웅진씽크빅 제주동부지국,시간협의,"월급1,700,000",
부산 동래구, 웅진씽크빅 부산연제지국,14:00~20:00,"월급1,800,000",
부산 동래구, 웅진씽크빅 부산연제지국,14:00~20:00,"월급1,800,000",
경기 부천시, 웅진씽크빅 부천상동지국,시간협의,"월급1,500,000",
경기 남양주, 웅진씽크빅 마석지국,13:00~21:00,"월급1,600,000",
경기 남양주, 웅진씽크빅 마석지국,13:00~21:00,"월급1,600,000",
경기 부천시, 웅진씽크빅 부천상동지국,시간협의,"월급1,500,000",
인천 계양구, 웅진씽크빅 동양지국,시간협의,"월급2,000,000",
경기 부천시, 웅진씽크빅 부천상동지국,시간협의,"월급1,500,000",
강원 동해시, 웅진씽크빅 동해삼척지국,시간협의,"월급1,000,000",
인천 계양구, 웅진씽크빅 동양지국,시간협의,"월급2,000,000",
강원 동해시, 웅진씽크빅 동해삼척지국,시간협의,"월급2,500,000",
인천 계양구, 웅진씽크빅 동양지국,시간협의,"월급1,800,000",
부산 해운대, 웅진씽크빅 해운대지국,15:00~19:00,"월급1,000,000",
부산 해운대, 웅진씽크빅 해운대지국,15:00~19:00,"월급2,000,000",
인천 전체, 웅진씽크빅 만수서창지국,시간협의,"월급2,000,000",
경기 김포시, 웅진씽크빅 김포구래지국,13:00~18:30,"월급2,500,000",
경기 김포시, 웅진씽크빅 김포구래지국,13:00~18:30,"월급2,500,000",
인천 미추홀, 웅진씽크빅 남인천지국,15:00~20:00,"월급1,800,000",
서울 서초구, 웅진씽크빅 반포지국,13:00~21:00,"월급2,100,000",
경기 수원시, 웅진씽크빅 일월지국,13:00~18:30,"월급2,000,000",
인천 부평구, 웅진씽크빅 신부평지국,13:00~19:30,"월급2,000,000",
경기 의정부, 웅진씽크빅 동의정부지국,01:00~06:30,"월급2,000,000",
인천 부평구, 웅진씽크빅 신부평지국,14:00~19:30,"월급2,000,000",
경기 의정부, 웅진씽크빅 동의정부지국,01:00~06:30,"월급2,000,000",
서울 전체, 웅진씽크빅 은평지국,시간협의,"월급1,500,000",
서울 전체, 웅진씽크빅 은평지국,시간협의,"월급1,500,000",
경기 수원시, 웅진씽크빅 일월지국,14:00~18:30,"월급2,500,000",
경기 오산시, 웅진씽크빅 오산지국,13:30~18:00,"월급2,000,000",
경기 광명시, 웅진씽크빅 하안지국,15:00~20:00,"월급1,500,000",
