place,title,time,pay,date
부산 동래구, 원조부안집 부산동래점,17:00~22:00,"시급11,000",
부산 동래구, 원조부안집 부산동래점,17:00~22:00,"시급11,000",
경북 구미시, 원조부안집 구미문성점,16:00~24:00,"월급2,200,000",
경북 구미시, 원조부안집 구미문성점,18:00~22:00,"시급9,000",
울산 남구, 원조부안집 울산삼산점,16:00~01:00,"시급10,000",
인천 미추홀, 원조부안집 인하대역점,시간협의,"시급9,000",
울산 남구, 원조부안집 울산삼산점,16:00~01:00,"시급10,000",
부산 동래구, 원조부안집 부산동래점,17:00~22:00,"시급11,000",
경기 성남시, 원조부안집 판교점,시간협의,"시급12,000",
경기 성남시, 원조부안집 판교점,시간협의,"시급12,000",
경기 성남시, 원조부안집 판교점,시간협의,"시급12,000",
서울 관악구, 원조부안집 신대방점,18:00~23:00,"시급10,000",
경북 구미시, 원조부안집 구미문성점,16:00~24:00,"월급2,200,000",
울산 남구, 원조부안집 울산삼산점,16:00~01:00,"시급10,000",
전북 전주시, 원조부안집 전주서신점,17:00~22:00,"시급9,300",
경북 구미시, 원조부안집 구미문성점,시간협의,"월급1,300,000",
경기 시흥시, 원조부안집 시흥은계점,시간협의,"시급10,000",
서울 서초구, 원조부안집 양재점,14:00~23:00,"월급2,400,000",
전북 전주시, 원조부안집 전주서신점,17:00~22:00,"시급9,300",
전북 전주시, 원조부안집 전주서신점,17:00~22:00,"시급9,300",
인천 미추홀, 원조부안집 인하대역점,시간협의,"시급9,000",
전북 전주시, 원조부안집 전주서신점,17:00~22:00,"시급9,300",
경기 수원시, 원조부안집 만석공원점,18:00~23:00,"시급9,500",
서울 금천구, 원조부안집 독산점,18:00~22:00,"시급10,464",
서울 금천구, 원조부안집 독산점,18:00~22:00,"시급10,464",
서울 금천구, 원조부안집 독산점,18:00~22:00,"시급10,464",
경기 김포시, 원조부안집 김포구래점,시간협의,"시급10,500",
경기 김포시, 원조부안집 김포구래점,시간협의,"시급10,500",
서울 서초구, 원조부안집 교대역점,18:00~22:00,"시급10,500",
서울 서초구, 원조부안집 교대역점,18:00~22:00,"시급10,500",
서울 서초구, 원조부안집 교대역점,18:00~22:00,"시급10,500",
인천 남동구, 원조부안집 인천논현점,18:00~22:30,"시급10,000",
인천 남동구, 원조부안집 인천논현점,18:00~22:30,"시급10,000",
충북 청주시, 원조부안집 청주율량점,시간협의,"월급2,200,000",
충북 청주시, 원조부안집 청주율량점,18:00~22:00,"시급10,000",
경기 수원시, 원조부안집 만석공원점,18:00~23:00,"시급9,500",
서울 관악구, 원조부안집 신대방점,12:30~23:30,"월급2,600,000",
서울 관악구, 원조부안집 신대방점,12:30~23:30,"월급2,600,000",
인천 미추홀, 원조부안집 인하대역점,시간협의,"월급2,400,000",
인천 미추홀, 원조부안집 인하대역점,시간협의,"월급2,400,000",
