place,title,time,pay,date
경북 안동시, 윈윈파트너 [경북안동]금곡점,시간협의,"일급150,000",
부산 수영구, 윈윈파트너 [부산남구수영3호점],시간협의,"일급150,000",
인천 미추홀, 윈윈파트너 [인천미추홀구]용현점,시간협의,"일급250,000",
부산 전체, 윈윈파트너 [부산진구]365-2호점,시간협의,"일급150,000",
부산 부산진, 윈윈파트너 [부산진구]365-2호점,시간협의,"일급150,000",
인천 남동구, 윈윈파트너 [인천남동구]구월점,시간협의,"건별3,500",
충북 청주시, 윈윈파트너 [충북청주]오빠,시간협의,"건별3,200",
충북 청주시, 윈윈파트너 [충북청주]오빠,시간협의,"건별3,200",
부산 동래구, 윈윈파트너 [부산동래]온천점,시간협의,"일급150,000",
부산 동래구, 윈윈파트너 [부산동래]온천점,시간협의,"일급150,000",
인천 남동구, 윈윈파트너 [인천남동구]구월점,시간협의,"건별3,500",
경북 안동시, 윈윈파트너 [경북안동]금곡점,시간협의,"일급150,000",
경북 포항시, 윈윈파트너 윈[포항북구]흥해라,09:00~01:00,"일급150,000",
경북 포항시, 윈윈파트너 윈[포항북구]흥해라점,09:00~01:00,"일급150,000",
경북 포항시, 윈윈파트너 윈[포항북구]흥해라,09:00~01:00,"일급150,000",
부산 북구, 윈윈파트너 WIN.[부산북구]북구2호,시간협의,"월급5,000,000",
부산 북구, 윈윈파트너 [부산북구]신만덕지사,시간협의,"일급150,000",
부산 연제구, 윈윈파트너 [부산연제구]토곡2호점,10:00~24:00,"일급200,000",
충남 부여군, 윈윈파트너 윈윈 충남논산지점,시간협의,"월급5,000,000",
충남 계룡시, 윈윈파트너 윈윈 충남논산지점,시간협의,"월급5,000,000",
인천 미추홀, 윈윈파트너 [인천미추홀구]용현점,시간협의,"일급250,000",
부산 전체, 윈윈파트너 [부산바다1호점],시간협의,"일급200,000",
부산 전체, 윈윈파트너 [부산바다1호점],시간협의,"일급200,000",
부산 전체, 윈윈파트너 [부산바다1호점],시간협의,"일급200,000",
부산 전체, 윈윈파트너 [부산]TDS2(지원팀),시간협의,"일급150,000",
부산 전체, 윈윈파트너 [부산]TDS2(지원팀),시간협의,"일급150,000",
부산 수영구, 윈윈파트너 [부산]TDS1(프리팀),시간협의,"일급170,000",
부산 수영구, 윈윈파트너 [부산]TDS1(프리팀),시간협의,"일급170,000",
경기 평택시, 윈윈파트너 [경기평택]동삭지점,09:00~03:00,"건별3,500",
경기 평택시, 윈윈파트너 [경기평택]동삭지점,09:00~03:00,"건별3,500",
경기 평택시, 윈윈파트너 [경기평택]동삭지점,09:00~03:00,"건별3,500",
경기 평택시, 윈윈파트너 [경기평택]비전점,09:00~02:00,"건별3,500",
경기 평택시, 윈윈파트너 [경기평택]비전점,09:00~02:00,"건별3,500",
경기 의정부, 윈윈파트너 [경기의정부]의정부9팀,시간협의,"일급250,000",
경기 의정부, 윈윈파트너 [경기의정부]의정부9팀,시간협의,"일급250,000",
경기 의정부, 윈윈파트너 [경기의정부]의정부9팀,시간협의,"일급250,000",
부산 연제구, 윈윈파트너 윈[부산연제구]시청지점,시간협의,"일급150,000",
부산 연제구, 윈윈파트너 윈[부산연제구]시청지점,시간협의,"일급150,000",
경기 평택시, 윈윈파트너 [경기평택시]고덕점,10:00~02:00,"월급5,000,000",
경기 평택시, 윈윈파트너 [경기평택시]고덕점,10:00~02:00,"월급5,000,000",
